role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
standard_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.0,1.0,0.024681640638322365,0.010321977951986415,0.031140943106175843,0.03631499879416579,0.05286313873063092,0.009977896932549917,0.23351812674113584,-0.23351812674113584,0.23351812674113584,0.042135399303941765
standard_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.15,1.0,0.024696553194435256,0.010314527596031674,0.031140878586471497,0.03631450085588998,0.052871433553999266,0.009975270692960458,0.23350273587274717,-0.23350273587274717,0.23350273587274717,0.04213579651028908
standard_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.35,1.0,0.024716968492096616,0.010304328054561739,0.031140797269873965,0.036313854890025685,0.05288242456517128,0.009971501607067456,0.23348064744442645,-0.23348064744442645,0.23348064744442645,0.04213637784654117
standard_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.6,1.0,0.024743333182240593,0.01029115617948449,0.03114070314901744,0.03631307614734769,0.05289605208438583,0.009966364166244317,0.2334505398807902,-0.2334505398807902,0.2334505398807902,0.04213718695259373
standard_shifted_peak,0.1,1.1,0.1,0.16,0.05,0.6,1.0,0.0019914052830913354,0.010156801637000133,0.03105211952228715,0.03626530692030606,0.05290078270004324,0.009462043983384795,0.23049501153093704,-0.23049501153093704,0.23049501153093704,0.042137269176359037
standard_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.6,1.0,0.012805305605182633,0.010154528860070889,0.03105238002172228,0.03626432186263697,0.05290724144667593,0.00945992667165247,0.23048260319380706,-0.23048260319380706,0.23048260319380706,0.042137901925908064
standard_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.0,1.0,0.024182436469497783,0.010297992252553536,0.03114023918188166,0.03631472592650195,0.05285444297393767,0.009954710791491525,0.23338224620422532,-0.23338224620422532,0.23338224620422532,0.0421387717957549
standard_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.6,1.0,0.007091756816168849,0.010144545549786964,0.031051715010531045,0.03626472716341176,0.052901525605558566,0.009450626251659806,0.23042809882160845,-0.23042809882160845,0.23042809882160845,0.04213887204588279
standard_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.0,1.0,0.025309945146414176,0.010316679906722631,0.031143558640392876,0.0363171774201412,0.05286621118733929,0.009972775496539115,0.23348811297243033,-0.23348811297243033,0.23348811297243033,0.04213891525121997
standard_shifted_peak,0.1,1.6,0.4,0.16,0.05,0.15,1.0,0.024199114348437634,0.010290461945840611,0.031140174102718854,0.0363142304206912,0.05286270952011739,0.009951996590213346,0.23336633984335078,-0.23336633984335078,0.23336633984335078,0.04213918390741833
