group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04607984952984067,0.03356303268350653,0.033646262121328256,0.024289024,0.024561939752567662,0.002079796,0.0022778680023152267,0.04494874497430075,0.0005643228574881118,-0.5297852065646189
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.030045057911246273,0.01901283047434461,0.020346458386139844,0.011055656,0.012249914995996824,0.001152246,0.0015234472273706594,0.029626131888578013,0.0004297540538505881,-4.427286515518606
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.04527402724629474,0.03422566844436229,0.03427948339254246,0.0273970075,0.026773263487731187,0.004929683,0.0049295720867953904,0.0475365900510276,0.0011491354681726035,-1.0425337257472935
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.05987266133099555,0.0415421622455341,0.04405763958832716,0.030788281,0.03209207751754622,0.001756669,0.001501347047163859,0.05379518378424761,0.0005918590395815737,-6.577292697917907
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.030082036334730392,0.013101952217527814,0.016915034763605796,0.005601714,0.006644806262386076,0.000276839,0.0003155901001963113,0.034515668399707156,0.00032536423258541823,-23.462940004347136
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.05685438334878981,0.04031268236816347,0.042540061636711084,0.031938671,0.03195660409355075,0.002346486,0.002141824461906026,0.0524513522063303,0.000598850451701207,-6.8866043912346475
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.036440084676093956,0.014874971672053231,0.025225709730203227,0.008434416,0.012099658976462105,-0.0029512495,-0.0009541920042143077,0.03213995132566165,0.004041759798398249,-63.96110681889023
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.03836619430602474,0.007978205793411184,0.02600072847125299,0.004279471,0.009196091618167467,-0.000330051,-0.0004240111356057115,0.03589364982750115,0.003102100197177471,-189.40682235175007
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.04640846885878994,0.01860998364776903,0.034749129427701655,0.012153925,0.026155927248073113,-0.004435259,-0.00202085305670764,0.03764230655195889,0.013739403729040995,-79.16997629168651
diag_validation_only:entry,3215,3,0.10590823322237675,0.1339736304204884,0.10058718607029549,0.12652939801327587,0.110339143,0.1317998690743994,-0.026745843,-0.02948744295552981,0.1344799107201537,0.019584055219517463,-26.499731271300142
diag_validation_only:plateau,4712,3,0.06448450059620303,0.09234403594348817,0.05078566537882003,0.07479602538147513,0.0456507775,0.08185752014555,-0.0027473784999999997,-0.0035469163635661067,0.09197376585365749,0.017097420554726017,-43.203459885251185
diag_validation_only:exit,3181,3,0.08665455675983383,0.11908037447917842,0.08083872540270355,0.11134153214257875,0.087034652,0.1123797175526746,-0.03620564,-0.04621109476112199,0.11823661395565474,0.02845746218408697,-37.419633694756406
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.0866043741898238,0.05146439698413284,0.0628264862893482,0.027799833,0.04544444713376375,-0.0034258485,-0.0038571053379548876,0.08846224562475384,0.0004895535203960607,-16.901471646580724
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.06121980036829826,0.02327004260450161,0.04490927397155497,0.011437506,0.029826031125434277,-0.000406586,-0.0014254994490831767,0.06758803279432482,0.005569113095795742,-64.47474239466024
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.07908308633831357,0.044717655678217824,0.06446206079603674,0.030535899,0.06439635850360523,-0.0065930465,-0.012182863499511786,0.08293838024872464,0.0069404627387718585,-31.043750324974102
