group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.03900963146997153,0.014403131442389798,0.024874407784209133,0.006082492,0.009629237932476723,0.000224911,0.0002573155982979425,0.04492854427630809,0.00031445415053569126,-50.955237067678894
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.023878110689241287,0.012090499429458293,0.01192260391758103,0.005326237,0.00527378235020075,0.000309861,0.00034912590003469504,0.02707328984576924,8.028357229046432e-05,0.9216500485445349
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.09483819763115646,0.06093638546954933,0.07739586583080046,0.054369194499999995,0.06726043758018532,-0.007716965,-0.0062425779333194036,0.08142881523179354,0.02134307065626998,-29.02640342341675
low_speed_yaw_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.08946132081661626,0.06032932463143907,0.07116439155029337,0.052169427500000004,0.055082567602958016,-0.003849287,-0.002186075948023154,0.08702184579770637,0.0073209146508027585,-22.83294670456126
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.04637212974070395,0.027171509688461538,0.027088197912229342,0.0127547745,0.012705386351135928,0.0015737250000000002,0.0015718412038163675,0.0594710891239737,2.0429697251537466e-06,0.09224958963109055
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.08879362257562619,0.055096948680555556,0.055097794314673175,0.0279539725,0.02795503065670505,-0.0061936149999999995,-0.006193349225034885,0.08949731971666569,1.271823145600716e-06,-0.0009587200871982571
limiter_active,30265,43,0.07473562868724314,0.08523866014366008,0.06146764182725921,0.06793583110795051,0.053030135,0.05385203123187237,0.002856139,0.003513325487606904,0.08781431793123537,0.0012643135048801674,-14.053580120895857
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06503756026696828,0.05109065278532988,0.05162486794448457,0.043237809,0.04295949624493764,0.003758487,0.002942402791159557,0.06153472265945109,0.0004374639269894558,-2.142976884007814
may4_latest_logs,5217,2,0.032157544166236535,0.048788729656399306,0.02518525240540541,0.03898402958213322,0.020284213,0.03468693007045838,0.005072003,0.0015494442297618524,0.05023611022546993,0.049817101142295844,-51.717834559097035
april_rows,87807,31,0.0371567051200026,0.04085304434511332,0.0238360699141868,0.02728135957159514,0.012086683,0.014935677078911788,0.000549932,0.0009853993037419566,0.03856101424589479,0.0005157289904726924,-9.947973624606615
