group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04591140554623689,0.03356303268350653,0.033481595795956345,0.024289024,0.024370343809717084,0.002079796,0.0022924292806856214,0.04470785928550528,0.0005696306275298558,-0.16230055407980531
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.03007828996473562,0.01901283047434461,0.020380437739612123,0.011055656,0.012277448090380998,0.001152246,0.0015556100699052576,0.029696966298901648,0.0005168075042628836,-4.542790808486934
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.04506196544567037,0.03422566844436229,0.03410380655358754,0.0273970075,0.0266390678809797,0.004929683,0.004902034859635226,0.047314667276790214,0.0011567353345362514,-0.5692543877956555
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.059921594810563965,0.0415421622455341,0.044026146715988854,0.030788281,0.03179404103608414,0.001756669,0.001484738605972695,0.053770254536199734,0.0006044065713288337,-6.664397524373827
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.030247955132141416,0.013101952217527814,0.017043870287797015,0.005601714,0.006695679708632083,0.000276839,0.00029663750489350427,0.03464712835665655,0.0004847187815489689,-24.14390529214916
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.056898648903925986,0.04031268236816347,0.04253952785682026,0.031938671,0.03184012535947087,0.002346486,0.002139239256994443,0.05243215654988341,0.0006365261599773461,-6.96982391805587
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.03659039558729593,0.014874971672053231,0.025313417632830782,0.008434416,0.012088272119568864,-0.0029512495,-0.0011201881596312148,0.032281634006857435,0.003971277352208408,-64.63742641547448
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.038709839656462165,0.007978205793411184,0.026269516239657096,0.004279471,0.0093721339057587,-0.000330051,-0.00042775418572324497,0.036210770467123114,0.0034681703252248198,-191.99903434162763
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.04660628292638606,0.01860998364776903,0.03488396338922881,0.012153925,0.02609271667309354,-0.004435259,-0.001991911862592078,0.037787706439309635,0.013547097848945276,-79.93368047484326
diag_validation_only:entry,3215,3,0.10590823322237675,0.13175897259117947,0.10058718607029549,0.12466886578633846,0.110339143,0.13084169243345778,-0.026745843,-0.02909638416583409,0.13225485625080438,0.01918558331670926,-24.408621107410628
diag_validation_only:plateau,4712,3,0.06448450059620303,0.09168021849024974,0.05078566537882003,0.074451084698972,0.0456507775,0.08184623930915397,-0.0027473784999999997,-0.003593226794036222,0.09132528996018473,0.01666354670692448,-42.1740381682479
diag_validation_only:exit,3181,3,0.08665455675983383,0.11796401524004597,0.08083872540270355,0.11043828657090708,0.087034652,0.11196665482054455,-0.03620564,-0.04622081030023232,0.11714536760460727,0.028000639066069043,-36.131346868448496
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.08548634009352533,0.05146439698413284,0.06222695181900357,0.027799833,0.04546090302876728,-0.0034258485,-0.0038235646356190485,0.08740485355777718,0.0005529550643746925,-15.392311948458891
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.061263075531667315,0.02327004260450161,0.04510562244556517,0.011437506,0.03020278783796377,-0.000406586,-0.0014781615387281758,0.06761533228478296,0.006109096344635868,-64.59100659846999
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.07846391928301923,0.044717655678217824,0.06415023780126143,0.030535899,0.06461467994501234,-0.0065930465,-0.012033105146341629,0.08237119592564573,0.006804453511244238,-30.017766429298398
