group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_corrected_rmse_nm,median_support_nm,rmse_improvement_pct
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.03931249213985479,0.014403131442389798,0.02512647912991095,0.006082492,0.009749613677280387,0.000224911,0.0002536370496020802,0.045220496410012204,0.0005840192798059379,-52.12721441014357
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.02388312837776768,0.012090499429458293,0.011940225539522165,0.005326237,0.0053160813263855335,0.000309861,0.0003418655354084197,0.02707130869443487,0.00015839978385449904,0.9008299633110085
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.09349978996489035,0.06093638546954933,0.07637999394979039,0.054369194499999995,0.06661006003091642,-0.007716965,-0.006225164317336477,0.08018274608826778,0.019269330480075286,-27.205513404352192
low_speed_yaw_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.08808996749684085,0.06032932463143907,0.07018180586334219,0.052169427500000004,0.054386442562253404,-0.003849287,-0.002380385331324556,0.0854726802509124,0.0071733791979593725,-20.950039458128018
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.04637274692407024,0.027171509688461538,0.027088702228701175,0.0127547745,0.012705476129632187,0.0015737250000000002,0.001568392588478959,0.05947170321704321,5.603812799411935e-06,0.090919881419238
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.08879439733339135,0.055096948680555556,0.05509871886156444,0.0279539725,0.02795568796453283,-0.0061936149999999995,-0.006192789234909745,0.08949779683040297,3.534134075941109e-06,-0.001831266076932555
limiter_active,30265,43,0.07473562868724314,0.08427963328452866,0.06146764182725921,0.0672887735807145,0.053030135,0.0535535598505915,0.002856139,0.003398421495616608,0.08676079288250435,0.0012498995065328027,-12.770354334243553
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06505383346141967,0.05109065278532988,0.05160143177315147,0.043237809,0.04289201047922441,0.003758487,0.0031752146654258125,0.06144514758076313,0.0004790303929121677,-2.1685343083308504
may4_latest_logs,5217,2,0.032157544166236535,0.04899433197651218,0.02518525240540541,0.0391108050311754,0.020284213,0.034402199877053785,0.005072003,0.0014606937388240357,0.05049089615502955,0.049656621147849,-52.357194079370174
april_rows,87807,31,0.0371567051200026,0.04087597767310916,0.0238360699141868,0.02730004098102705,0.012086683,0.014936147176989855,0.000549932,0.0009913495581722778,0.03858592050575497,0.0005777770568247475,-10.009694188692627
