region,rows,runs,expanded_bin_lookup_coverage_fraction,top_run,top_run_fraction,baseline_rmse_nm,baseline_median_abs_nm,dataset_split,max_abs_forward_mps,max_abs_yaw_rate_radps
selected_all,36861,9,0.22989067035620303,2026-04-21_05-32-06,0.24090502156751037,0.05167996349438148,0.029755468,,,
high_forward_abs_ge_0p6,403,24,0.45905707196029777,aux002,0.2109181141439206,0.07374162045541191,0.029432035,,,
low_speed_abs_vf_lt_0p05_abs_yaw_ge_0p25,18275,49,0.0,diag003,0.14287277701778386,0.07503820163977237,0.057172988,,,
straightish_abs_yaw_lt_0p25,78871,49,0.0,2026-04-21_05-32-06,0.09274638333481254,0.028985145887909076,0.008369271,,,
selected_run:2026-05-04_20-35-47,3456,1,0.021122685185185185,2026-05-04_20-35-47,1.0,0.035845955637305665,0.025485003,open_floor_fit_downweighted,0.314159095,9.128769875
selected_run:2026-05-04_16-57-53,1761,1,0.0028392958546280523,2026-05-04_16-57-53,1.0,0.023277853453219116,0.013238941,open_floor_validation_only,0.31709516,2.02318573
selected_run:2026-04-22_12-10-34,2187,1,0.06218564243255601,2026-04-22_12-10-34,1.0,0.016217132966177106,0.011327229,open_floor_fit_downweighted,0.590149343,1.099557456
selected_run:2026-04-22_01-06-32,1031,1,0.19495635305528614,2026-04-22_01-06-32,1.0,0.04497527944035794,0.026813516,primary_open_floor_fit_authoritative,0.539761722,2.029294361
selected_run:2026-04-21_05-32-06,8880,1,0.10427927927927928,2026-04-21_05-32-06,1.0,0.04258417382836225,0.034704941,primary_open_floor_fit_authoritative,0.593085408,8.932072054
selected_run:2026-04-21_00-16-10,3757,1,0.4846952355602875,2026-04-21_00-16-10,1.0,0.039823975586254654,0.019252263,primary_open_floor_fit_authoritative,1.177362621,17.807942906
selected_run:2026-04-20_12-10-58,2925,1,0.36376068376068377,2026-04-20_12-10-58,1.0,0.04035482301988178,0.015359407,primary_open_floor_fit_authoritative,0.687039495,21.81766334
selected_run:2026-04-20_08-38-39,7284,1,0.44947830862163646,2026-04-20_08-38-39,1.0,0.05622535775152191,0.036814327499999994,open_floor_fit_downweighted,0.783929706,17.217848704
selected_run:diag003,5580,1,0.17455197132616487,diag003,1.0,0.08523812922205401,0.085086003,diag_validation_only,0.5661835,7.677354
