model,forward_velocity_cell_mps,yaw_rate_cell_radps,vbar_rel_cell_mps,median_residual_additive_nm,count
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.0,0.00011299199999999999,4442
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.025,0.0201819295,1712
vf_yaw_vbar_kernel_cell_surface,0.0,-0.5,0.025,0.0220602575,240
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.025,-0.023017707,190
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.0,-0.025718774,298
vf_yaw_vbar_kernel_cell_surface,0.0,1.0,0.1,-0.065252668,25
vf_yaw_vbar_kernel_cell_surface,0.1,1.0,0.025,-0.029849983,27
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.05,0.0009075574999999998,10
vf_yaw_vbar_kernel_cell_surface,0.1,2.5,0.05,-0.022679539,29
vf_yaw_vbar_kernel_cell_surface,0.1,3.0,0.05,-0.023006897,15
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.05,-0.024168321,26
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.05,-0.026905554,23
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.075,-0.033250209,17
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.025,-0.0028546739999999998,10
vf_yaw_vbar_kernel_cell_surface,0.1,4.5,0.075,-0.017340313,9
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.2,-0.03437643,9
vf_yaw_vbar_kernel_cell_surface,0.0,2.5,0.125,-0.0501654405,28
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.1,-0.023513364,19
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.075,0.012291767,17
vf_yaw_vbar_kernel_cell_surface,0.1,3.5,0.05,-0.019471028,8
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.15,-0.0287340555,14
vf_yaw_vbar_kernel_cell_surface,0.0,4.0,0.15,-0.017060924,9
vf_yaw_vbar_kernel_cell_surface,0.0,4.5,0.175,-0.025523917,30
vf_yaw_vbar_kernel_cell_surface,-0.1,4.0,0.225,-0.03622002,11
vf_yaw_vbar_kernel_cell_surface,0.0,4.5,0.225,-0.025970079,11
vf_yaw_vbar_kernel_cell_surface,0.0,4.5,0.15,-0.011801704,9
vf_yaw_vbar_kernel_cell_surface,0.0,4.5,0.2,-0.044248896,15
vf_yaw_vbar_kernel_cell_surface,0.0,6.0,0.25,-0.019252092,9
vf_yaw_vbar_kernel_cell_surface,0.1,0.5,0.0,-0.0086585615,228
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.025,-0.0318698725,56
vf_yaw_vbar_kernel_cell_surface,0.0,1.5,0.025,-0.038103563,110
vf_yaw_vbar_kernel_cell_surface,0.0,2.0,0.05,-0.0170690395,28
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.0,0.000284432,6126
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.0,-0.0002603765,5750
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.025,0.000726079,750
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.025,6.6557e-05,825
vf_yaw_vbar_kernel_cell_surface,0.2,0.0,0.0,-0.0008012705,668
vf_yaw_vbar_kernel_cell_surface,0.2,0.0,0.025,-0.001171762,133
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.0,0.0008882145,764
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.025,0.002170677,167
vf_yaw_vbar_kernel_cell_surface,-0.1,-0.5,0.0,0.008329089,189
vf_yaw_vbar_kernel_cell_surface,0.1,0.5,0.025,-0.006699594999999999,126
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.025,-0.0014207905,94
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.0,0.006995627,145
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.05,0.052442138,936
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.05,-0.0449649295,502
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.0,-0.0052482405,142
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.025,0.006975513,69
vf_yaw_vbar_kernel_cell_surface,-0.1,-0.5,0.025,0.012274,103
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.1,0.005394995,27
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.075,0.008872634,33
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.05,-0.041169618,38
vf_yaw_vbar_kernel_cell_surface,0.1,0.5,0.05,0.03937048,31
vf_yaw_vbar_kernel_cell_surface,0.0,-0.5,0.05,0.048898162,110
vf_yaw_vbar_kernel_cell_surface,-0.1,-0.5,0.05,-0.010522249,35
vf_yaw_vbar_kernel_cell_surface,0.1,0.0,0.075,0.047330215499999995,236
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.05,0.0016980810000000002,2520
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.0,0.001441133,1371
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.025,0.000530945,275
vf_yaw_vbar_kernel_cell_surface,-0.3,-0.5,0.05,-0.020707092,8
vf_yaw_vbar_kernel_cell_surface,-0.1,-0.5,0.075,0.0054365130000000005,18
vf_yaw_vbar_kernel_cell_surface,-0.3,0.0,0.0,-0.000324149,1477
vf_yaw_vbar_kernel_cell_surface,-0.3,0.0,0.025,0.000618337,239
vf_yaw_vbar_kernel_cell_surface,0.1,0.5,0.075,0.036900183,25
vf_yaw_vbar_kernel_cell_surface,0.3,0.5,0.075,0.014620931,10
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.1,0.03288741,9
vf_yaw_vbar_kernel_cell_surface,0.3,0.5,0.0,0.00375242,17
vf_yaw_vbar_kernel_cell_surface,0.3,0.5,0.025,0.00046639299999999984,14
vf_yaw_vbar_kernel_cell_surface,-0.2,-0.5,0.025,0.019188644,83
vf_yaw_vbar_kernel_cell_surface,-0.2,-0.5,0.0,0.032543914,170
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.05,0.004044203,11
vf_yaw_vbar_kernel_cell_surface,0.3,-0.5,0.025,-0.010007078,15
vf_yaw_vbar_kernel_cell_surface,-0.3,0.5,0.0,0.0063875545,8
vf_yaw_vbar_kernel_cell_surface,0.0,-0.5,0.0,0.0221739915,262
vf_yaw_vbar_kernel_cell_surface,0.6,0.0,0.0,0.0021656814999999998,388
vf_yaw_vbar_kernel_cell_surface,0.6,0.0,0.025,0.0020747005000000002,150
vf_yaw_vbar_kernel_cell_surface,0.5,0.0,0.0,0.003281703,129
vf_yaw_vbar_kernel_cell_surface,0.5,0.0,0.025,0.000643904,54
vf_yaw_vbar_kernel_cell_surface,-0.5,0.0,0.025,0.003691602,46
vf_yaw_vbar_kernel_cell_surface,-0.6,0.0,0.0,0.000923065,443
vf_yaw_vbar_kernel_cell_surface,-0.6,0.0,0.025,-0.0003117,147
vf_yaw_vbar_kernel_cell_surface,-0.5,0.0,0.0,0.003521502,78
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.05,0.023645524,17
vf_yaw_vbar_kernel_cell_surface,0.5,0.5,0.025,0.003417966,9
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.1,-0.0022719934999999997,46
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.1,-0.0023259965,14
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.125,0.002802896,27
vf_yaw_vbar_kernel_cell_surface,0.5,0.0,0.05,0.013505862,13
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.175,0.090406848,37
vf_yaw_vbar_kernel_cell_surface,0.0,-0.5,0.075,0.015334207999999998,48
vf_yaw_vbar_kernel_cell_surface,0.6,-0.5,0.0,0.0087546295,26
vf_yaw_vbar_kernel_cell_surface,0.1,-0.5,0.1,-0.011483575,19
vf_yaw_vbar_kernel_cell_surface,-0.6,0.5,0.025,0.004012709,13
vf_yaw_vbar_kernel_cell_surface,-0.2,0.5,0.025,0.0042843435,12
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.075,-0.020009893,23
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.15,-0.032874711,29
vf_yaw_vbar_kernel_cell_surface,-0.1,0.5,0.125,0.032965689,9
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.05,-0.031219817499999997,90
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.075,-0.0704256125,46
vf_yaw_vbar_kernel_cell_surface,-0.1,0.0,0.175,0.00546298,13
vf_yaw_vbar_kernel_cell_surface,0.0,0.5,0.15,-0.006650491,9
vf_yaw_vbar_kernel_cell_surface,0.0,0.0,0.2,0.058311758500000005,12
vf_yaw_vbar_kernel_cell_surface,0.0,1.0,0.075,-0.0499185515,20
