model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm,run_id,dataset_split,physics_phases_present,training_rows,status
expanded_signed_bin_lookup,leave_selected_run_out:2026-05-04_20-35-47,3456,1,0.021122685185185185,0.035845955637305665,0.036994633183703836,0.0011486775463981705,-0.03204482977161072,0.028876796463541667,0.02972024690451389,0.0008434504409722231,0.025485003,0.0263741205,0.0093600005,0.0095013805,2026-05-04_20-35-47,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-05-04_20-35-47,3456,1,1.0,0.035845955637305665,0.03330092497961428,-0.002545030657691384,0.07099910191940084,0.028876796463541667,0.02660146856354714,-0.0022753278999945274,0.025485003,0.022411538728532972,0.0093600005,0.0069970241302654435,2026-05-04_20-35-47,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-05-04_20-35-47,3456,1,1.0,0.035845955637305665,0.017513695921524797,-0.01833225971578087,0.5114177984615393,0.028876796463541667,0.012674310367792405,-0.01620248609574926,0.025485003,0.009115318562380254,0.0093600005,0.0016995684367574326,2026-05-04_20-35-47,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-05-04_20-35-47,3456,1,1.0,0.035845955637305665,0.033623267753305,-0.0022226878840006653,0.0620066572220902,0.028876796463541667,0.02650007615598394,-0.002376720307557728,0.025485003,0.02207143096918129,0.0093600005,0.005885897537660339,2026-05-04_20-35-47,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-05-04_16-57-53,1761,1,0.0028392958546280523,0.023277853453219116,0.02328453948888073,6.686035661614825e-06,-0.0002872273285443594,0.017940518580919933,0.017952716060193073,1.2197479273140521e-05,0.013238941,0.01331542,-0.000686103,-0.000774296,2026-05-04_16-57-53,open_floor_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-05-04_16-57-53,1761,1,1.0,0.023277853453219116,0.02274328824342656,-0.0005345652097925556,0.022964540560703184,0.017940518580919933,0.01755377418448469,-0.00038674439643524364,0.013238941,0.013279660893530564,-0.000686103,-0.002133491566269236,2026-05-04_16-57-53,open_floor_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-05-04_16-57-53,1761,1,1.0,0.023277853453219116,0.010645393200374501,-0.012632460252844615,0.5426814924422363,0.017940518580919933,0.008582010816671625,-0.009358507764248307,0.013238941,0.007521351882796949,-0.000686103,-0.0009103340436421111,2026-05-04_16-57-53,open_floor_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-05-04_16-57-53,1761,1,1.0,0.023277853453219116,0.02299428012937379,-0.0002835733238453278,0.012182107960049593,0.017940518580919933,0.01778851908028721,-0.00015199950063272266,0.013238941,0.013361743303856016,-0.000686103,-0.003178471855138325,2026-05-04_16-57-53,open_floor_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-22_12-10-34,2187,1,0.06218564243255601,0.016217132966177106,0.016693594902244705,0.0004764619360675994,-0.029380158444857196,0.013081637973022406,0.013354805306355738,0.00027316733333333267,0.011327229,0.011430313,-0.003115615,-0.003214112,2026-04-22_12-10-34,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-22_12-10-34,2187,1,1.0,0.016217132966177106,0.016436745820395417,0.00021961285421831164,-0.013542027106538734,0.013081637973022406,0.013100755976118544,1.911800309613819e-05,0.011327229,0.011455251707974332,-0.003115615,-0.004062254437642343,2026-04-22_12-10-34,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
