component,feature,value,unit,feature_scale,raw_coefficient_nm_per_feature,abs_standardized_coefficient_nm
fixed_launch_core,force_activation_knee_nm,0.035,Nm,,,
fixed_launch_core,stribeck_speed_mps,0.1,m/s,,,
fixed_launch_core,speed_fade_mps,0.64,m/s,,,
fixed_launch_core,rel_weight,0.75,dimensionless,,,
fixed_launch_core,static_extra_nm,0.00239125532944932,Nm,,,
fixed_launch_core,sliding_nm,0.06303158239278875,Nm,,,
surface_hyperparameter,vrel_knee_mps,0.08,m/s,,,
surface_hyperparameter,fwd_knee_mps,0.35,m/s,,,
surface_hyperparameter,ridge,0.01,dimensionless,,,
fitted_surface,contact_creep_tight_nm__gate,0.19725811599832732,Nm standardized coefficient,0.03736305975554078,5.279495771731457,0.19725811599832732
fitted_surface,contact_creep_tight_nm__gate_util,-0.1641719427795162,Nm standardized coefficient,0.02261986568311288,-7.257865501035252,0.1641719427795162
fitted_surface,actual_contact_yaw_authority_nm__gate_util,0.13483781581685778,Nm standardized coefficient,0.01547949424186001,8.71073781288191,0.13483781581685778
fitted_surface,actual_contact_yaw_authority_nm__gate,-0.13198904066898115,Nm standardized coefficient,0.025291535770958943,-5.2187040701789975,0.13198904066898115
fitted_surface,contact_creep_wide_nm__gate,-0.1283732815329795,Nm standardized coefficient,0.027369385495504252,-4.690396923747753,0.1283732815329795
fitted_surface,contact_creep_wide_nm__gate_util,0.12597369871140252,Nm standardized coefficient,0.01665291169414448,7.564665028260347,0.12597369871140252
fitted_surface,applied_yaw_force_authority_nm__gate,-0.029179346307262675,Nm standardized coefficient,0.044614452206248434,-0.6540334995568093,0.029179346307262675
fitted_surface,force_gap_yaw_authority_nm__gate_limiter,-0.014825002689677224,Nm standardized coefficient,0.002628014276060251,-5.641142373055107,0.014825002689677224
fitted_surface,applied_yaw_force_authority_nm__gate_util,0.010093216415480557,Nm standardized coefficient,0.026513128792731877,0.38068748861686363,0.010093216415480557
fitted_surface,applied_yaw_force_authority_nm__gate_high_forward,0.008655137169469383,Nm standardized coefficient,0.0016571251653850192,5.222983363153763,0.008655137169469383
fitted_surface,vbar_rel_mps__gate,0.007154359137261748,Nm standardized coefficient,0.07980818220860032,0.08964443167696629,0.007154359137261748
fitted_surface,launch_core_opposes_nm__gate_high_forward,-0.003938693378398539,Nm standardized coefficient,0.0010068646720202662,-3.9118398806222703,0.003938693378398539
fitted_surface,abs_yaw_rate_radps__gate_high_forward,-0.0019398935173406164,Nm standardized coefficient,0.02346159353682134,-0.08268379188720017,0.0019398935173406164
fitted_surface,contact_creep_tight_nm__gate_high_forward,-0.0006294867917270585,Nm standardized coefficient,0.0012932070237934668,-0.4867641299074722,0.0006294867917270585
fitted_surface,actual_contact_yaw_moment_nm__gate_high_forward,-0.00040570650875995954,Nm standardized coefficient,0.0010146669743733904,-0.39984203586650136,0.00040570650875995954
