model,req_activation_nm,stribeck_speed_mps,speed_fade_mps,rel_weight,tau_fill_s,bristle_slip_distance_m,beta_bristle_static_nm,beta_bristle_sliding_nm,beta_bristle_viscous_nm_per_mps,beta_scale_to_gate,fixedpoint_extra_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,objective_score_nm
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.005,0.08,0.00159530087832681,0.06386306905038046,0.0,1.0001510591560792,0.06501335920678508,0.024396000093790515,0.028547751719521074,0.04889099987185122,0.032807856190401795
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.005,0.08,0.0,0.0654389657861045,0.0,1.007662684336871,0.06501335920678508,0.024397796821226846,0.028563139289196713,0.048917080486504366,0.032819231879799224
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.005,0.03,0.0002934489063253177,0.06522444227199976,0.0,1.0003564254569288,0.06501335920678508,0.02442323254317609,0.02857892742621781,0.04889937184760409,0.032828511135798065
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.005,0.03,0.0,0.06551432186766881,0.0,1.00169679801348,0.06501335920678508,0.02442330162359842,0.028581246282995142,0.048903918433439365,0.03283032415810244
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.02,0.08,0.0,0.06557460673292027,0.0,0.997234016789678,0.06501335920678508,0.024443949847708635,0.028597462717291765,0.04889447082629045,0.03283989662643804
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.02,0.08,0.0,0.06557460673292027,0.0,0.997234016789678,0.06501335920678508,0.024443949847708635,0.028597462717291765,0.04889447082629045,0.03283989662643804
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.005,0.01,0.0,0.06575546132867462,0.0,0.9852120643906392,0.06501335920678508,0.024506268712731705,0.028652454688653916,0.04887100056191288,0.03287122764414539
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.005,0.01,0.0,0.06575546132867462,0.0,0.985212064390639,0.06501335920678508,0.024506268712731705,0.028652454688653916,0.04887100056191288,0.03287122764414539
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.05,0.08,0.0,0.06584588862655179,0.0,0.9798404412620129,0.06501335920678508,0.024537286771839015,0.028682333067713176,0.048861567781671174,0.032887896926865626
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.05,0.08,0.0,0.06584588862655179,0.0,0.9798404412620129,0.06501335920678508,0.024537286771839015,0.028682333067713176,0.048861567781671174,0.032887896926865626
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.02,0.03,0.0,0.06587603105917751,0.0,0.9781307312295351,0.06501335920678508,0.02454757358425635,0.028692528971998914,0.048858714665184204,0.032893555311882934
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.02,0.03,0.0,0.06587603105917751,0.0,0.9781307312295351,0.06501335920678508,0.02454757358425635,0.028692528971998914,0.048858714665184204,0.032893555311882934
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.005,0.08,0.0,0.07060325140533594,0.0,0.9013404832553352,0.06501335920678508,0.02463728145191995,0.028670222287251915,0.048824462181401074,0.03295088595064301
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.005,0.08,0.0,0.07060325140533594,0.0,0.9013404832553352,0.06501335920678508,0.02463728145191995,0.028670222287251915,0.048824462181401074,0.03295088595064301
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.005,0.03,0.0,0.07068455440741876,0.0,0.8963528724274432,0.06501335920678508,0.0246820997293471,0.02870789162745238,0.04881308229201322,0.03297592720845181
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.005,0.03,0.0,0.07068455440741876,0.0,0.8963528724274434,0.06501335920678508,0.0246820997293471,0.02870789162745238,0.04881308229201322,0.03297592720845181
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.02,0.08,0.0,0.07074959680908503,0.0,0.892671776553185,0.06501335920678508,0.024717213702411856,0.02873885386551201,0.04880505949970305,0.03299598946280766
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.02,0.08,0.0,0.07074959680908503,0.0,0.8926717765531852,0.06501335920678508,0.024717213702411856,0.02873885386551201,0.04880505949970305,0.03299598946280766
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.12,0.08,0.0,0.066478879711692,0.0,0.9502189259118937,0.06501335920678508,0.024744646622049584,0.028906098137400197,0.04882360260409091,0.033011082619286314
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.12,0.08,0.0,0.066478879711692,0.0,0.9502189259118939,0.06501335920678508,0.024744646622049584,0.028906098137400197,0.04882360260409091,0.033011082619286314
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.05,0.03,0.0,0.06659944944219491,0.0,0.9457158936382978,0.06501335920678508,0.024781821028677674,0.02894901694286682,0.048820138552806855,0.033034712154345086
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.05,0.03,0.0,0.06659944944219491,0.0,0.9457158936382978,0.06501335920678508,0.024781821028677674,0.02894901694286682,0.048820138552806855,0.033034712154345086
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.005,0.01,0.0,0.07094472401408383,0.0,0.8829670395762772,0.06501335920678508,0.024818403986501647,0.028833847861572358,0.048785815300948325,0.03305569393968098
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.005,0.01,0.0,0.07094472401408383,0.0,0.8829670395762774,0.06501335920678508,0.024818403986501647,0.028833847861572358,0.048785815300948325,0.03305569393968098
memoryless_equilibrium,0.035,0.1,0.64,0.75,0.02,0.01,0.0,0.0668405889032007,0.0,0.9374863679715302,0.06501335920678508,0.024853927805920797,0.02903377373443363,0.04881550166374669,0.03308150141205482
memoryless_equilibrium,0.035,0.14,0.64,0.75,0.02,0.01,0.0,0.0668405889032007,0.0,0.9374863679715302,0.06501335920678508,0.024853927805920797,0.02903377373443363,0.04881550166374669,0.03308150141205482
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.05,0.08,0.0,0.07104228761658322,0.0,0.8787299116336136,0.06501335920678508,0.024866664929183834,0.02888164356156722,0.04877845255403968,0.03308504081313329
memoryless_equilibrium,0.05,0.14,0.64,0.75,0.05,0.08,0.0,0.07104228761658322,0.0,0.8787299116336136,0.06501335920678508,0.024866664929183834,0.02888164356156722,0.04877845255403968,0.03308504081313329
memoryless_equilibrium,0.05,0.1,0.64,0.75,0.02,0.03,0.0,0.07107480881741636,0.0,0.8773940611344575,0.0650133592067851,0.024882414631415245,0.028897538296828756,0.04877628170227871,0.033094728080914466
