model,parameter,value,unit
state_minimal_lugre,req_activation_nm,0.035,Nm
state_minimal_lugre,stribeck_speed_mps,0.1,m/s
state_minimal_lugre,speed_fade_mps,0.64,m/s
state_minimal_lugre,rel_weight,0.75,dimensionless
state_minimal_lugre,tau_fill_s,0.005,s
state_minimal_lugre,bristle_slip_distance_m,0.08,m
state_minimal_lugre,bristle_stribeck_static_nm,0.0019124673305489883,Nm
state_minimal_lugre,bristle_sliding_nm,0.06354976039272942,Nm
state_minimal_lugre,bristle_viscous_nm_per_mps,0.0,Nm per (m/s)
state_minimal_lugre,fixedpoint_extra_at_1radps_in_place_nm,0.06501335920678508,Nm
state_minimal_lugre,beta_scale_to_gate,0.9943819039816882,dimensionless
state_minimal_lugre,weighted_train_rmse_nm,0.024835929929910697,Nm
state_minimal_lugre,primary_rmse_nm,0.029042347215187912,Nm
state_minimal_lugre,validation_rmse_nm,0.049127921756441165,Nm
memoryless_equilibrium,req_activation_nm,0.035,Nm
memoryless_equilibrium,stribeck_speed_mps,0.1,m/s
memoryless_equilibrium,speed_fade_mps,0.64,m/s
memoryless_equilibrium,rel_weight,0.75,dimensionless
memoryless_equilibrium,tau_fill_s,0.005,s
memoryless_equilibrium,bristle_slip_distance_m,0.08,m
memoryless_equilibrium,bristle_stribeck_static_nm,0.00159530087832681,Nm
memoryless_equilibrium,bristle_sliding_nm,0.06386306905038046,Nm
memoryless_equilibrium,bristle_viscous_nm_per_mps,0.0,Nm per (m/s)
memoryless_equilibrium,fixedpoint_extra_at_1radps_in_place_nm,0.06501335920678508,Nm
memoryless_equilibrium,beta_scale_to_gate,1.0001510591560792,dimensionless
memoryless_equilibrium,weighted_train_rmse_nm,0.024396000093790515,Nm
memoryless_equilibrium,primary_rmse_nm,0.028547751719521074,Nm
memoryless_equilibrium,validation_rmse_nm,0.04889099987185122,Nm
