feature,standardized_coefficient_nm,feature_scale,raw_coefficient_nm_per_feature,abs_standardized_coefficient_nm
force_moment_opposes_yaw_nm__util_slide,-0.040923656662110695,0.019250029737585484,-2.1259009580752846,0.040923656662110695
gain_front_right_basis__slide,-0.016542340907245164,0.0004885454526,-33.86039276224585,0.016542340907245164
gain_rear_right_basis__slide,-0.01654234011469028,0.0004885454526,-33.86039113997124,0.01654234011469028
gain_rear_right_basis__util_slide,0.015391439972702077,0.0002361325457583504,65.18135788216642,0.015391439972702077
gain_front_right_basis__util_slide,0.015391439018192047,0.0002361325457583504,65.18135383990267,0.015391439018192047
force_moment_opposes_yaw_nm__limiter_slide,0.0026827724309911208,6.478507935066575e-12,414103441.39117765,0.0026827724309911208
gain_left_long_basis__slide,0.0011534932195631717,0.009137264495671635,0.12624054169708962,0.0011534932195631717
gain_right_long_basis__slide,0.001153306659777654,0.009137264495671635,0.12622012423127082,0.001153306659777654
gain_front_right_basis__high_forward,-0.0003082785610512588,1.0826586339060833e-05,-28.4742162854262,0.0003082785610512588
gain_rear_right_basis__high_forward,-0.00030827856105125867,1.0826586339060833e-05,-28.474216285426188,0.00030827856105125867
force_abs_contact_moment_nm__limiter_signed_slide,-0.0002624591969625991,9.249275481350021e-12,-28376189.84230867,0.0002624591969625991
