rank,family,dyn_k_mps,static_k_mps,static_fwd_k_mps,coefficients,train_rmse_nm,train_run_balanced_rmse_nm,launch_opposing_nm,launch_left_command,launch_right_command,launch_gate_pass,score
1,yaw_static_yield_patch,0.16,0.08,0.05,0.109231524772;0.708966035219;0.221202108333;0.276021972084,0.01639970384375126,0.016013899539829617,0.007805410151293805,0.5938143722172917,-0.5938143722172917,False,0.0191729264416882
2,yaw_static_yield_patch,0.08,0.08,0.05,0.112603813725;0.483632116172;0.203813691566;0.206062272331,0.016508945573459815,0.016083276250272744,0.007766362846787321,0.5792407080659203,-0.5792407080659203,False,0.02016699452704551
3,yaw_static_yield_patch,0.16,0.05,0.05,0.107970038488;0.732673229803;0.210272905331;0.277530960072,0.016426967847557466,0.016029954404997267,0.007278251626949832,0.5700939317842676,-0.5700939317842676,False,0.020625825101251
4,yaw_static_yield_patch,0.04,0.08,0.05,0.117123627339;0.342086730917;0.185570848572;0.156295718769,0.01663340608014538,0.01618581039875376,0.007744378039925679,0.5625426557102273,-0.5625426557102273,False,0.021308718297344806
5,yaw_static_yield_patch,0.08,0.05,0.05,0.111624113843;0.501535780317;0.192299512122;0.207316386197,0.01653577560162445,0.01609830594025163,0.0072696635737048865,0.5567108574283013,-0.5567108574283013,False,0.021547870046964117
6,yaw_static_yield_patch,0.16,0.08,0.1,0.110028136064;0.694565098108;0.188404912997;0.27432246591,0.016357372768368558,0.015964342782551103,0.006866424379093138,0.5407693117406113,-0.5407693117406113,False,0.022305865481314545
7,yaw_static_yield_patch,0.02,0.08,0.05,0.121918128182;0.248515998868;0.170655919447;0.118610164742,0.016736877672291702,0.01629811202130831,0.007713024160311622,0.5457968920112557,-0.5457968920112557,False,0.022433780954812604
8,yaw_static_yield_patch,0.04,0.05,0.05,0.116425275108;0.356800037679;0.172444587437;0.157376407219,0.016659966052693497,0.01619975652454104,0.007263486444297123,0.5406606713843674,-0.5406606713843674,False,0.02265028924831261
9,yaw_static_yield_patch,0.16,0.03,0.05,0.106617634266;0.748888472087;0.204433862082;0.279347024699,0.016460925370916958,0.016049234062939254,0.006496068115489643,0.532110943339451,-0.532110943339451,False,0.022941653879990788
10,yaw_static_yield_patch,0.08,0.08,0.1,0.113205847122;0.471913130945;0.174095219185;0.204559625482,0.016468962878286194,0.016038174685326503,0.006894910658452482,0.5319779855937373,-0.5319779855937373,False,0.022956009945460928
11,yaw_static_yield_patch,0.16,0.05,0.1,0.108788215073;0.722775659764;0.181487535013;0.275974745932,0.016388467930125862,0.015987143772377962,0.006499444207803164,0.525168477040905,-0.525168477040905,False,0.023276430873528257
12,yaw_static_yield_patch,0.01,0.08,0.05,0.126103715212;0.185302499339;0.162001040374;0.0900614128443,0.01679823949786508,0.016391783952463372,0.007615439274242337,0.5289559191368289,-0.5289559191368289,False,0.02351965194252485
13,yaw_static_yield_patch,0.08,0.03,0.05,0.110560307498;0.514141179216;0.186779608594;0.208785708299,0.016568225878269432,0.016116229008292907,0.006570467220618284,0.5233212573437024,-0.5233212573437024,False,0.023586384788891225
14,yaw_static_yield_patch,0.04,0.08,0.1,0.117470601173;0.331609860996;0.159172756483;0.154936840552,0.01659589494261264,0.016145254495602758,0.006936020372603772,0.5210704243751478,-0.5210704243751478,False,0.023753457654444185
15,yaw_static_yield_patch,0.02,0.05,0.05,0.121461066545;0.261658679014;0.15444607965;0.119565348048,0.016763323610316197,0.01631093282300352,0.007217354960190221,0.5232763193070947,-0.5232763193070947,False,0.02381338437534104
16,yaw_static_yield_patch,0.08,0.05,0.1,0.112279005863;0.493126960343;0.166642081673;0.205939222035,0.01649956924170386,0.016059476567786016,0.006559393556081792,0.5174120420316968,-0.5174120420316968,False,0.023863768204969958
17,yaw_static_yield_patch,0.04,0.03,0.05,0.115662151024;0.367317238645;0.166131486788;0.158589714887,0.01669074310560023,0.01621607400570673,0.006635795956789845,0.5112688705119368,-0.5112688705119368,False,0.02444702197574003
18,yaw_static_yield_patch,0.005,0.08,0.05,0.129044072143;0.142080411116;0.159735256862;0.069451005939,0.01682254280864781,0.016453920532268376,0.007429737235208478,0.5124582918315866,-0.5124582918315866,False,0.024543133378592867
19,yaw_static_yield_patch,0.04,0.05,0.1,0.1168528905;0.348996146666;0.150246185896;0.156132801277,0.016626312187014512,0.01616519598912317,0.0066213203760618795,0.5071167279000038,-0.5071167279000038,False,0.024624087911382757
20,yaw_static_yield_patch,0.02,0.08,0.1,0.121954279772;0.238336966618;0.147133215888;0.117384648914,0.016701921737794792,0.01626153772634446,0.006941239918872102,0.5085994804697608,-0.5085994804697608,False,0.02462518356856081
21,yaw_static_yield_patch,0.01,0.05,0.05,0.125845130661;0.197996456897;0.141335626268;0.0909231516491,0.016824258745960267,0.016403000605573852,0.00707118828598766,0.504338173902327,-0.504338173902327,False,0.02502441840265672
22,yaw_static_yield_patch,0.16,0.03,0.1,0.107385719544;0.742541430554;0.177935627084;0.278058726414,0.01642887098099812,0.016012732937757138,0.00587238452404073,0.4955203573940928,-0.4955203573940928,False,0.025099559478016124
23,yaw_static_yield_patch,0.003,0.08,0.05,0.130312725977;0.118966314266;0.161179477949;0.0586328295077,0.01682670309156568,0.016482641620957975,0.007262817871615661,0.5016667111913218,-0.5016667111913218,False,0.025199096663230072
24,yaw_static_yield_patch,0.08,0.03,0.1,0.111197573264;0.508448871907;0.163279448284;0.207639071078,0.016538228448856992,0.016083137603692732,0.006005630193081006,0.4915568228745422,-0.4915568228745422,False,0.025457289716938364
25,yaw_static_yield_patch,0.02,0.03,0.05,0.120955791888;0.271043194111;0.145557905282;0.120586933299,0.016792563589386085,0.016325664760620657,0.006622142115471619,0.49589239433680266,-0.49589239433680266,False,0.025487869643271023
26,yaw_static_yield_patch,0.02,0.05,0.1,0.121604000012;0.253908914681;0.135375260803;0.118455053975,0.016732545430938293,0.016280469121762578,0.00662337615291189,0.49424158588678035,-0.49424158588678035,False,0.025520120645995854
27,yaw_static_yield_patch,0.01,0.08,0.1,0.125772367674;0.174628573274;0.140552220551;0.0889698340571,0.01676609890063421,0.016358554941244063,0.006842659135537153,0.4938802610855654,-0.4938802610855654,False,0.025587066476686897
28,yaw_static_yield_patch,0.16,0.08,0.2,0.109522487853;0.692024408882;0.14903093052;0.273966177294,0.01635817475485378,0.015948147526438246,0.005774635747514002,0.4840374752028171,-0.4840374752028171,False,0.02570814837165049
29,yaw_static_yield_patch,0.16,0.02,0.05,0.105605972417;0.757151824654;0.203764541246;0.280700502803,0.016485957864475344,0.016063165848586705,0.0055849173571998895,0.4849687700918911,-0.4849687700918911,False,0.02579730653624988
30,yaw_static_yield_patch,0.04,0.03,0.1,0.116105829959;0.361771643837;0.146084703035;0.157549434152,0.016663138848369875,0.016186845432763487,0.006132918628758897,0.48460140041591265,-0.48460140041591265,False,0.026015081638329638
31,yaw_static_yield_patch,0.08,0.02,0.05,0.109753322962;0.520842707837;0.186978672869;0.209880947515,0.016591796375068885,0.01612915188955383,0.00576454461174901,0.48284876433678087,-0.48284876433678087,False,0.026040243298295105
32,yaw_static_yield_patch,0.08,0.08,0.2,0.112715830533;0.470455462559;0.136957150079;0.204240535884,0.016471412754216205,0.016024558637149678,0.005864418251056056,0.47995144252378685,-0.47995144252378685,False,0.026078009998361445
33,yaw_static_yield_patch,0.001,0.08,0.05,0.131150989152;0.0860375129491;0.16893198093;0.044643404609,0.016826244352127456,0.016520847042966146,0.006955275730888273,0.4858366931740885,-0.4858366931740885,False,0.026154169818127064
34,yaw_static_yield_patch,0.005,0.05,0.05,0.128939948448;0.154967229784;0.133767185689;0.0702342707849,0.01684703057859594,0.01646237764427568,0.006808165506811457,0.48447985010317585,-0.48447985010317585,False,0.026247596219046737
35,yaw_static_yield_patch,0.16,0.05,0.2,0.108476641888;0.720422904931;0.145121817426;0.275635034066,0.016387472125683384,0.015970996969335686,0.00553997424962854,0.4743390286932401,-0.4743390286932401,False,0.026322779949489332
36,yaw_static_yield_patch,0.04,0.02,0.05,0.115082257033;0.373061554853;0.166450981054;0.159482956922,0.016712463553854723,0.01622762141296575,0.005939263181957017,0.47749303077023053,-0.47749303077023053,False,0.026497024919585752
37,yaw_static_yield_patch,0.01,0.05,0.1,0.125658501763;0.189884214871;0.124565471869;0.0899592594702,0.016796890724893928,0.01637640787477162,0.006493499877831694,0.47788519980259275,-0.47788519980259275,False,0.026580239917954107
38,yaw_static_yield_patch,0.04,0.08,0.2,0.116993459994;0.330840161029;0.124281206398;0.154662318591,0.016599930941911985,0.016134143899752002,0.005968029720745852,0.4739931897480113,-0.4739931897480113,False,0.026580461141994107
39,yaw_static_yield_patch,0.005,0.08,0.1,0.128296378483;0.130220075734;0.139851452268;0.0684907899062,0.016793704832057214,0.016423868116549476,0.006628933122090374,0.477844953734438,-0.477844953734438,False,0.02658658782547335
40,yaw_static_yield_patch,0.08,0.05,0.2,0.111973176944;0.491442123265;0.132799725761;0.205611968672,0.016499800986489198,0.016045689114777783,0.0056642908659594714,0.47149951100405896,-0.47149951100405896,False,0.026616683693462324
41,yaw_static_yield_patch,0.01,0.03,0.05,0.125541801043;0.207009198482;0.128047373558;0.0918133503085,0.016852213539424343,0.01641615490624078,0.006457360179962351,0.47647967609879727,-0.47647967609879727,False,0.026725856209432623
42,yaw_static_yield_patch,0.02,0.03,0.1,0.12114848489;0.265351043199;0.128850729053;0.119661542378,0.016767815352082608,0.016300447137810984,0.006169654434361009,0.4734934890552165,-0.4734934890552165,False,0.026803273079441265
43,yaw_static_yield_patch,0.04,0.05,0.2,0.116541386642;0.347702898649;0.119096643804;0.155829083466,0.016627768108754125,0.016153856379437677,0.0057943898891445415,0.46642115675974105,-0.46642115675974105,False,0.027065577160085313
44,yaw_static_yield_patch,0.003,0.05,0.05,0.130278779404;0.132104891908;0.131198343666;0.0593628683669,0.01684910250596356,0.01648822070558817,0.006570930527778807,0.4706281716256219,-0.4706281716256219,False,0.02708464531426447
