range_name,range_definition,candidate_label,count,finite_count,run_count,baseline_rmse_nm,candidate_rmse_nm,baseline_mae_nm,candidate_mae_nm,baseline_median_abs_nm,candidate_median_abs_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,abs(Vf)<0.15 and abs(YawRate)>=0.1,standalone_contact_traction,41686,41686,49,0.059261786888981885,0.025339808540498766,0.044859266139279375,0.018130214727547146,0.034056000499999996,0.012419456901513325,0.5724089692406826
in_place_scrub,abs(Vf)<0.05 and abs(YawRate)>=0.2,standalone_contact_traction,19704,19704,49,0.07350293824401469,0.027090294330493498,0.06093638546589524,0.020845592635858088,0.054369194999999995,0.016847853208829307,0.6314393005547714
slow_forward_turn,0.15<=abs(Vf)<0.70 and abs(YawRate)>=0.1,standalone_contact_traction,19582,19582,48,0.05320639516145491,0.02723380735151626,0.03757500908926565,0.01807369265427681,0.02426097,0.011748287806993066,0.48814785762359547
pre_design_turn_speed,0.70<=abs(Vf)<0.95 and abs(YawRate)>=0.1,standalone_contact_traction,99,99,14,0.09487871930711514,0.06656454832825681,0.06326070573737373,0.031204181279110853,0.048873949,0.018269051848222303,0.29842488585040366
design_turn_speed_and_up,abs(Vf)>=0.95 and abs(YawRate)>=0.1,standalone_contact_traction,4,4,2,0.0711935351542805,0.04664643957983833,0.06485622575,0.033345190601633254,0.0713723045,0.020490185907781663,0.34479388502407127
fast_forward,abs(Vf)>=1.50,standalone_contact_traction,0,0,0,,,,,,,
straightish_forward,abs(YawRate)<0.05 and abs(Vf)>=0.05,standalone_contact_traction,21746,21746,47,0.024100230477634897,0.011191336096930451,0.012090499425043685,0.0076016792912284355,0.005326236999999999,0.005370637882093419,0.5356336485115338
limiter_active,max_force_limiter_activity>0 or limiter_active>0,standalone_contact_traction,31216,31216,44,0.07460143692176592,0.0338240167730482,0.06141388810728472,0.026253909886473983,0.053156193500000004,0.02227480406056328,0.5466036826003868
hardware_saturation_evidence,hardware_saturation_evidence>0,standalone_contact_traction,5017,5017,24,0.06367306127765009,0.04384227916883972,0.05109065277775563,0.03562932395239247,0.043237808999999995,0.0318201366198437,0.3114469716217521
may4_latest_logs,"run_id in {2026-05-04_20-35-47, 2026-05-04_16-57-53}",standalone_contact_traction,5217,5217,2,0.03215754417570671,0.010714910558907404,0.02518525240962239,0.007965436508239556,0.020284214000000002,0.006174886347188877,0.6667994763417929
