group,count,run_count,baseline_rmse_nm,standalone_rmse_nm,baseline_mae_nm,standalone_mae_nm,baseline_median_abs_nm,standalone_median_abs_nm,baseline_signed_median_nm,standalone_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_standalone_rmse_nm,prediction_median_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,41686,49,0.059261786888981885,0.02545208649444589,0.044859266139279375,0.018303015921152074,0.034056000499999996,0.012877991649099507,0.00220544,0.0010052683026593612,0.055062193348230606,0.022932769635787473,0.000293593086667464,0.5705143595800347
in_place_scrub,19704,49,0.07350293824401469,0.02729991856810697,0.06093638546589524,0.021167474178443897,0.054369194999999995,0.017311303171235436,0.007716964500000001,0.0026218015578471305,0.0644426586090684,0.025528063214492937,0.0010720322493194127,0.628587384119573
slow_forward_turn,19582,48,0.05320639516145491,0.027210217009671567,0.03757500908926565,0.01802766686711159,0.02426097,0.01168953007474926,-0.003602825,-0.0011377036018245619,0.04671120558657982,0.02356162752928305,-0.0008571857983794889,0.4885912318039568
pre_design_turn_speed,99,14,0.09487871930711514,0.06656182234185763,0.06326070573737373,0.03119398490079999,0.048873949,0.018526691279471184,0.011704299999999999,0.0028845992495554187,0.07778513899257299,0.0416251585949555,0.004656395796352605,0.2984536171235394
design_turn_speed_and_up,4,2,0.0711935351542805,0.046601559115131024,0.06485622575,0.03338461436763599,0.0713723045,0.02059082903448211,0.055442455499999994,0.007427329767827286,0.0711935351542805,0.046601559115131024,0.0012303465432403115,0.34542428586889584
straightish_forward,21746,47,0.024100230477634897,0.011002673949596097,0.012090499425043685,0.007246345247590886,0.005326236999999999,0.004737024066324452,-0.0003098609999999997,-0.00011825859970570067,0.027317452371328294,0.011172726974724444,-8.478759335145796e-05,0.5434618785157835
limiter_active,31216,44,0.07460143692176592,0.03386016926687099,0.06141388810728472,0.026320549348124132,0.053156193500000004,0.022360184865100368,-0.0026020220000000003,-0.0002810568150984205,0.07825920408479249,0.03260411366771818,-0.0015859304362397116,0.5461190740551023
hardware_saturation_evidence,5017,24,0.06367306127765009,0.043769221660247916,0.05109065277775563,0.03555369059801468,0.043237808999999995,0.031585790852740304,-0.003758486999999998,-0.0007547007662787372,0.061606949405016244,0.039908216897007055,-0.0010902167369826793,0.31259435651460704
may4_latest_logs,5217,2,0.03215754417570671,0.011029095352694652,0.02518525240962239,0.008166375481443708,0.020284214000000002,0.006318152789008841,-0.005072003,0.00019405469301731447,0.03022243370421675,0.01074922081145374,0.000203103368552884,0.6570293025974745
open_floor_all,93024,33,0.03689427440568686,0.019798640896851728,0.023911735169687393,0.012830310230492279,0.0125315535,0.007719679746924372,-0.0006637645000000009,-0.00023442447189389018,0.0335050508091161,0.01734868010762237,-0.0002681394635763067,0.46336819965213955
diag_all,11108,3,0.08462092512247131,0.023947153628180864,0.07380607165700397,0.018853493461251477,0.0823600235,0.015846599414667373,0.006359523000000001,0.002490790539353655,0.08439010276450122,0.024009741652896197,0.0024233477900800302,0.7170067144323664
aux_all,14448,13,0.0512663739166604,0.020687366391557327,0.033056377596483943,0.011379279642388487,0.016359514999999998,0.007516515555002455,0.0012553225,0.001666208368991496,0.05745404365918576,0.019655949237364023,0.0010636307319634645,0.5964729936783298
