yaw_activation_mps,req_activation_nm,stribeck_speed_mps,forward_fade_mps,rel_weight,include_viscous,activation_mode,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,coef_static_extra_nm,coef_sliding_nm,coef_yaw_viscous_nm_per_mps,coef_count
0.008,0.035,0.1,0.64,0.75,True,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,3
0.008,0.035,0.1,0.64,0.75,False,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,2
0.002,0.035,0.1,0.64,0.75,False,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,2
0.002,0.035,0.1,0.64,0.75,True,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,3
0.016,0.035,0.1,0.64,0.75,True,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,3
0.016,0.035,0.1,0.64,0.75,False,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,2
0.004,0.035,0.1,0.64,0.75,True,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,3
0.004,0.035,0.1,0.64,0.75,False,request_only,0.02430644256047251,0.028527902105821207,0.011371864567424441,0.00239125532944932,0.06303158239278875,0.0,2
0.004,0.035,0.05,0.64,0.75,True,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,3
0.004,0.035,0.05,0.64,0.75,False,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,2
0.002,0.035,0.05,0.64,0.75,True,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,3
0.002,0.035,0.05,0.64,0.75,False,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,2
0.008,0.035,0.05,0.64,0.75,False,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,2
0.008,0.035,0.05,0.64,0.75,True,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,3
0.016,0.035,0.05,0.64,0.75,True,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,3
0.016,0.035,0.05,0.64,0.75,False,request_only,0.02430654985539302,0.028533840147314228,0.011373471170029186,0.002540171157724701,0.06352385557788802,0.0,2
0.008,0.035,0.012,0.64,0.75,False,request_only,0.024308006777203843,0.02854713176662733,0.01136219897016149,0.0,0.06426976182238323,0.0,2
0.008,0.035,0.012,0.64,0.75,True,request_only,0.024308006777203843,0.02854713176662733,0.01136219897016149,0.0,0.06426976182238323,0.0,3
