dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_pct,mae_improvement_pct
aux_downweighted_validation,entry,2710,13,0.07408321980038726,0.07200512788564628,0.05146439698413284,0.0485864908125641,0.027799833,0.023868766762066375,-0.0034258485,-0.0024567935000000003,2.805077749509638,5.592033211728945
aux_downweighted_validation,exit,3030,13,0.06034861345329037,0.05729109912282796,0.044717655678217824,0.04150297891629067,0.030535899,0.027664066321769053,-0.0065930465,-0.004701703289846374,5.066420180190085,7.1888311521952994
aux_downweighted_validation,plateau,8708,13,0.03722139915039368,0.034915665980545504,0.02327004260450161,0.021225157746670605,0.011437506,0.009200914551657037,-0.000406586,-0.00028342199332420724,6.194644001779249,8.787628336509448
diag_validation_only,entry,3215,3,0.10590823322237675,0.10580269405947978,0.10058718607029549,0.10029994707298771,0.110339143,0.110289699,-0.026745843,-0.024586198,0.0996515187590371,0.2855622157548337
diag_validation_only,exit,3181,3,0.08665455675983383,0.08649705828675794,0.08083872540270355,0.08052059349358535,0.087034652,0.08683652,-0.03620564,-0.035306434,0.1817544038825362,0.393538996976265
diag_validation_only,plateau,4712,3,0.06448450059620303,0.06409877941862928,0.05078566537882003,0.0500214606758871,0.0456507775,0.0440810655,-0.0027473784999999997,-0.002557754689793935,0.5981610681752956,1.5047645772337173
open_floor_fit_downweighted,entry,8341,9,0.05617769021464853,0.05567838757840117,0.0415421622455341,0.04084578294401096,0.030788281,0.029675777,0.001756669,0.000541698,0.8887916792940083,1.6763193437241135
open_floor_fit_downweighted,exit,8173,9,0.053191308370772995,0.051737123416680214,0.04031268236816347,0.03800864955917634,0.031938671,0.02748602,0.002346486,0.0007582964079421613,2.7338770160649246,5.7154043681467135
open_floor_fit_downweighted,plateau,14651,9,0.024365235700422493,0.02174383303612608,0.013101952217527814,0.01099283563656529,0.005601714,0.005099025,0.000276839,7.0331e-05,10.758782293458216,16.097727620628508
open_floor_validation_only,entry,2104,9,0.022224834525144614,0.014934978637536478,0.014874971672053231,0.009621977289637795,0.008434416,0.0062487555,-0.0029512495,-0.000631149000000003,32.800495676854545,35.314315201585536
open_floor_validation_only,exit,1905,9,0.025901922754757487,0.01722110225247221,0.01860998364776903,0.011827452463118377,0.012153925,0.007818352000000937,-0.004435259,-0.002094794,33.5141934615292,36.445659023799
open_floor_validation_only,plateau,10533,9,0.013256838243914581,0.008963663088256787,0.007978205793411184,0.005857737479396802,0.004279471,0.0039191349999999564,-0.000330051,-5.6615999999985846e-05,32.38460843126401,26.578260437523124
primary_open_floor_fit_authoritative,entry,9719,15,0.045837011822076036,0.03756229151822511,0.03356303268350653,0.025556367051293955,0.024289024,0.01581391,0.002079796,0.001713387,18.052486353103955,23.85560836445865
primary_open_floor_fit_authoritative,exit,10820,15,0.044806900200245255,0.03483394646882844,0.03422566844436229,0.024337008030672812,0.0273970075,0.016212429,0.004929683,0.0025074482356501194,22.25762926434761,28.892526758869934
primary_open_floor_fit_authoritative,plateau,26778,15,0.02877127129678063,0.02087301004694183,0.01901283047434461,0.013353408234112695,0.011055656,0.008486000929615288,0.001152246,0.0007902534999998655,27.451902171325248,29.766331992853896
