abs_forward_bin_mps,abs_yaw_bin_radps,count,run_count,median_target_opposes_yaw_nm,median_predicted_opposing_scrub_nm,median_corrected_opposes_yaw_nm,p10_corrected_opposes_yaw_nm,p90_corrected_opposes_yaw_nm,fit_direction
0-0.03,0-0.05,10641,48,-7.2191e-05,1.4526762917931115e-17,-0.001778278096099064,-0.029057891,0.007268043042369896,near_balanced
0-0.03,0.05-0.30,11618,48,-0.0041466045,0.0,-0.008990591,-0.0594310808,0.009463020600093158,unaddressed_current_model_overresistance
0-0.03,0.30-1,4624,46,-0.0221984545,0.0,-0.024952638,-0.1076705994,0.013951428490102197,unaddressed_current_model_overresistance
0-0.03,1-3,3769,41,-0.058466453,0.0,-0.06263977169824582,-0.1195398166,0.00648090622774985,unaddressed_current_model_overresistance
0-0.03,3-8,4033,34,-0.103265088,0.0,-0.103265088,-0.12188080999999999,-0.015624133104128577,unaddressed_current_model_overresistance
0-0.03,8+,629,28,-0.016096214,0.0,-0.02804913543877591,-0.09296613479999999,0.006396504912594514,unaddressed_current_model_overresistance
0.03-0.08,0-0.05,6794,47,-3.82245e-05,1.4356228266232056e-17,-0.0014567296236565129,-0.03636889289999999,0.010051041891477316,near_balanced
0.03-0.08,0.05-0.30,7819,49,-0.000194444,0.0,-0.003122867,-0.042732627599999996,0.01234142227489522,unaddressed_current_model_overresistance
0.03-0.08,0.30-1,2071,44,-0.006014504,0.0,-0.017974216,-0.090709316,0.02362249008893802,unaddressed_current_model_overresistance
0.03-0.08,1-3,2806,39,0.0002993415,0.015672387485183948,-0.029535806405956887,-0.08990364149999999,0.015745581217592206,overfit_added_too_much_resistance
0.03-0.08,3-8,2001,34,0.004694776,0.019587536854158375,-0.029071651967220773,-0.110863306,0.00702478734597875,overfit_added_too_much_resistance
0.03-0.08,8+,733,26,-0.014646158,0.0,-0.023775674,-0.06277143975143677,0.007634129318326204,unaddressed_current_model_overresistance
0.08-0.20,0-0.05,11681,46,0.0,1.3731357385730714e-17,-0.000421576,-0.011308794837033499,0.009719355538057261,near_balanced
0.08-0.20,0.05-0.30,16289,48,0.00098516,0.0,-0.00059178,-0.0173662208,0.012345819506034736,near_balanced
0.08-0.20,0.30-1,2726,48,-0.0346633975,0.0,-0.038883483999999996,-0.09281466399999999,0.010709172315315407,unaddressed_current_model_overresistance
0.08-0.20,1-3,2062,37,-0.024694110999999998,0.0,-0.04375399478156622,-0.09894780755166417,0.001568139726390912,unaddressed_current_model_overresistance
0.08-0.20,3-8,808,30,-0.0158989655,0.0,-0.03956286734399397,-0.09695916730000001,0.010358774031435862,unaddressed_current_model_overresistance
0.08-0.20,8+,367,19,-0.01564748,0.0,-0.02798324219827511,-0.06725659188073374,0.008649010800000011,unaddressed_current_model_overresistance
0.20-0.35,0-0.05,4134,43,0.0,6.220053434347792e-18,-0.0005139820000000287,-0.015793636399999998,0.012563609787651633,near_balanced
0.20-0.35,0.05-0.30,7034,47,-0.0025696085,0.0,-0.003101553284841536,-0.0237398808,0.011332938199999998,unaddressed_current_model_overresistance
0.20-0.35,0.30-1,1589,41,-0.033001807,0.0,-0.035820304,-0.09860645459999999,0.016679460600000008,unaddressed_current_model_overresistance
0.20-0.35,1-3,1132,35,-0.031700746,0.0,-0.04305711356178807,-0.1166163105,0.022096659299186094,unaddressed_current_model_overresistance
0.20-0.35,3-8,1016,30,-0.09161044,0.0,-0.091808432,-0.12110389499999999,0.004204307854933226,unaddressed_current_model_overresistance
0.20-0.35,8+,963,14,-0.027825211,0.0,-0.028617341,-0.0567264164,-0.0031674951999999786,unaddressed_current_model_overresistance
0.35-0.60,0-0.05,2064,36,-0.000151316,0.0,-0.0008220285045528603,-0.0993024744,0.05454294021313263,near_balanced
0.35-0.60,0.05-0.30,3622,38,-0.0026364120000000003,0.0,-0.003221446936936341,-0.0415219217,0.02329790623199457,unaddressed_current_model_overresistance
0.35-0.60,0.30-1,1719,37,-0.006146345,0.0,-0.010320340789232052,-0.1085484664,0.059605990659293805,unaddressed_current_model_overresistance
0.35-0.60,1-3,1216,32,0.0032129560000000003,0.00021912538580464976,-0.010321532467707166,-0.1045125925,0.03630271808666882,unaddressed_current_model_overresistance
0.35-0.60,3-8,1756,27,-0.0065751225,0.0,-0.019868945388677537,-0.10076772,0.010021147908878893,unaddressed_current_model_overresistance
0.35-0.60,8+,461,10,-0.032476982,0.0,-0.03306046230191264,-0.058533195,-0.005734865,unaddressed_current_model_overresistance
0.60+,0.05-0.30,146,18,-0.00621611,0.0,-0.011305775846225679,-0.07795310736736667,0.0216842236527569,unaddressed_current_model_overresistance
0.60+,0.30-1,139,18,-0.046623125,0.0,-0.046826654,-0.1255098086,0.023412413632356084,unaddressed_current_model_overresistance
