range_name,range_definition,candidate_label,count,finite_count,run_count,baseline_rmse_nm,candidate_rmse_nm,baseline_mae_nm,candidate_mae_nm,baseline_median_abs_nm,candidate_median_abs_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,abs(Vf)<0.15 and abs(YawRate)>=0.1,brush_combined_slip,41686,41686,49,0.059261786888981885,0.027121527406401058,0.044859266139279375,0.01901791521994839,0.034056000499999996,0.012160233957542118,0.542343745773154
in_place_scrub,abs(Vf)<0.05 and abs(YawRate)>=0.2,brush_combined_slip,19704,19704,49,0.07350293824401469,0.030731314390757887,0.06093638546589524,0.023244484803304825,0.054369194999999995,0.017533773406569204,0.5819035929048684
slow_forward_turn,0.15<=abs(Vf)<0.70 and abs(YawRate)>=0.1,brush_combined_slip,19582,19582,48,0.05320639516145491,0.02712340608601343,0.03757500908926565,0.01812805965133737,0.02426097,0.011899113594114448,0.4902228199503574
pre_design_turn_speed,0.70<=abs(Vf)<0.95 and abs(YawRate)>=0.1,brush_combined_slip,99,99,14,0.09487871930711514,0.06654737871221891,0.06326070573737373,0.03209442031221203,0.048873949,0.019817105108857678,0.2986058496762572
design_turn_speed_and_up,abs(Vf)>=0.95 and abs(YawRate)>=0.1,brush_combined_slip,4,4,2,0.0711935351542805,0.0494555598212868,0.06485622575,0.03804284129655802,0.0713723045,0.023143711329350863,0.3053363663693094
fast_forward,abs(Vf)>=1.50,brush_combined_slip,0,0,0,,,,,,,
straightish_forward,abs(YawRate)<0.05 and abs(Vf)>=0.05,brush_combined_slip,21746,21746,47,0.024100230477634897,0.01099343806840809,0.012090499425043685,0.007131298783622905,0.005326236999999999,0.0044020225676327344,0.5438451064353911
limiter_active,max_force_limiter_activity>0 or limiter_active>0,brush_combined_slip,31216,31216,44,0.07460143692176592,0.03572808341076492,0.06141388810728472,0.02808277886608404,0.053156193500000004,0.024133993504135302,0.5210804927493187
hardware_saturation_evidence,hardware_saturation_evidence>0,brush_combined_slip,5017,5017,24,0.06367306127765009,0.04266364180144607,0.05109065277775563,0.034623079180982154,0.043237808999999995,0.030811388541264702,0.32995774122734917
may4_latest_logs,"run_id in {2026-05-04_20-35-47, 2026-05-04_16-57-53}",brush_combined_slip,5217,5217,2,0.03215754417570671,0.010680941428282428,0.02518525240962239,0.008142227785400363,0.020284214000000002,0.006751820633298135,0.667855811068082
