restart,seed_name,iteration,evaluations,best_objective,simplex_spread,simplex_diameter_inf
1,standalone_like,0,13,0.0017969098851384829,0.0002549942831008218,0.08000000000000002
1,standalone_like,5,22,0.0017701177617088844,5.855556990187836e-05,0.16619622878086426
1,standalone_like,10,30,0.0017701177617088844,3.379431594876885e-05,0.15603419174382724
1,standalone_like,15,35,0.0017701177617088844,3.141425874931365e-05,0.15603419174382724
1,standalone_like,20,41,0.0017701177617088844,2.3441677920517162e-05,0.12972935631660007
1,standalone_like,25,46,0.0017701177617088844,1.4308197873362212e-05,0.11182207260173446
1,standalone_like,30,51,0.0017701177617088844,1.1467905429407045e-05,0.07572562569005167
1,standalone_like,35,58,0.0017674114107320003,1.0475391273684484e-05,0.07799371420083512
1,standalone_like,40,64,0.0017674114107320003,6.2646944616493935e-06,0.07799371420083512
1,standalone_like,45,71,0.0017674114107320003,3.976489329556628e-06,0.07799371420083512
1,standalone_like,50,78,0.0017646341984419993,6.0425250948514374e-06,0.14375045911603132
1,standalone_like,55,83,0.0017646341984419993,5.0771532034577654e-06,0.14375045911603132
1,standalone_like,60,89,0.0017634828119091261,4.694341405894406e-06,0.11558867634006606
1,standalone_like,65,96,0.0017612240061394744,6.038673079163462e-06,0.17996104946145638
1,standalone_like,70,104,0.0017606232541257437,4.582272048893332e-06,0.11925192157630451
1,standalone_like,75,113,0.0017584236524589756,4.569224409820211e-06,0.16127743402201772
1,standalone_like,80,121,0.0017584236524589756,3.0484105589916044e-06,0.1397763277710673
1,standalone_like,85,127,0.0017584236524589756,2.6388708675385755e-06,0.13870207702643628
1,standalone_like,90,133,0.0017584236524589756,1.7582962807596164e-06,0.12376085431534511
1,standalone_like,95,141,0.0017583571408717042,1.2628767445009223e-06,0.08361199440930717
1,standalone_like,100,149,0.0017580320911656216,1.1939057102615912e-06,0.07110197034097332
1,standalone_like,105,157,0.0017578378750395917,7.992027702158778e-07,0.056478596681400706
1,standalone_like,110,164,0.0017576589376369807,6.791665719415273e-07,0.08094804369718195
1,standalone_like,115,173,0.0017575614980451307,4.705931204909003e-07,0.07325478722998274
1,standalone_like,120,181,0.001757491175963519,3.48075118963842e-07,0.04242885851435996
1,standalone_like,125,190,0.001757246358491169,4.457067178458788e-07,0.0460759385789149
1,standalone_like,130,195,0.001757246358491169,3.1513955396178343e-07,0.0460759385789149
1,standalone_like,135,201,0.0017571162405492463,3.7721954672408943e-07,0.03463142216872955
1,standalone_like,140,206,0.0017571162405492463,3.2665945693755374e-07,0.03463142216872955
1,standalone_like,145,214,0.001756981138267195,3.4419009668491644e-07,0.02695311743583305
1,standalone_like,150,220,0.0017569713611813786,2.552768554268253e-07,0.0400769347081798
1,standalone_like,155,229,0.0017569713611813786,1.7448705026939376e-07,0.0313836105452141
1,standalone_like,160,237,0.0017567666278278326,2.7113533930078586e-07,0.04534020189297511
1,standalone_like,165,244,0.0017566753357639814,3.2371283777946243e-07,0.060417861320125166
1,standalone_like,170,250,0.0017563966701459681,5.047020676266032e-07,0.07980305483206396
1,standalone_like,175,256,0.001755914028463949,8.851891020119924e-07,0.09450406922166221
1,standalone_like,180,261,0.001755914028463949,7.744005175096096e-07,0.09450406922166221
1,standalone_like,185,267,0.001755247526948963,1.2324631193738958e-06,0.07520767268211292
1,standalone_like,190,273,0.0017544297520279014,1.885610229727724e-06,0.11537951103931132
1,standalone_like,195,279,0.0017541961577317003,1.7178707322487111e-06,0.08464810316301663
1,standalone_like,200,284,0.0017541961577317003,1.0513692172626262e-06,0.07210811024305142
1,standalone_like,205,291,0.001754143466846287,5.331863652448948e-07,0.10027062332056347
1,standalone_like,210,297,0.0017540283326273273,4.0109283278456226e-07,0.11249898150439641
1,standalone_like,215,305,0.0017539887847826355,3.437083506557803e-07,0.08850983865942685
1,standalone_like,220,314,0.0017539613618212202,2.6468783068589116e-07,0.07545918016148301
1,standalone_like,225,322,0.001753856201755729,2.699042584691086e-07,0.07043990486145613
1,standalone_like,230,329,0.0017536817091070864,3.4385049198725447e-07,0.07312469684434075
1,standalone_like,235,335,0.0017534451025340981,5.189317895447441e-07,0.05378427308971323
1,standalone_like,240,340,0.0017534451025340981,4.299917827023294e-07,0.05378427308971323
