dataset_split,axis,bin,rows,raw_row_share,final_weight_sum,final_weight_share
open_floor_fit_downweighted,Vf,"[-0.05,0.05)",3088,0.8935185185185185,288.0,0.3333333333333333
open_floor_fit_downweighted,Vf,"[-0.15,-0.05)",181,0.05237268518518518,312.0,0.3611111111111111
open_floor_fit_downweighted,Vf,"[-0.3,-0.15)",45,0.013020833333333334,72.0,0.08333333333333333
open_floor_fit_downweighted,Vf,"[-0.5,-0.3)",1,0.00028935185185185184,24.0,0.027777777777777776
open_floor_fit_downweighted,Vf,"[0.05,0.15)",83,0.024016203703703703,72.0,0.08333333333333333
open_floor_fit_downweighted,Vf,"[0.15,0.3)",56,0.016203703703703703,48.0,0.05555555555555555
open_floor_fit_downweighted,Vf,"[0.3,0.5)",2,0.0005787037037037037,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-0.1,0.1)",1523,0.44068287037037035,168.0,0.19444444444444445
open_floor_fit_downweighted,YawRate,"[-0.5,-0.1)",672,0.19444444444444445,144.0,0.16666666666666666
open_floor_fit_downweighted,YawRate,"[-1.5,-0.5)",160,0.046296296296296294,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-12,-8)",6,0.001736111111111111,24.0,0.027777777777777776
open_floor_fit_downweighted,YawRate,"[-3,-1.5)",138,0.03993055555555555,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-5,-3)",76,0.02199074074074074,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-8,-5)",51,0.014756944444444444,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[0.1,0.5)",409,0.11834490740740741,96.0,0.1111111111111111
open_floor_fit_downweighted,YawRate,"[0.5,1.5)",151,0.04369212962962963,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[1.5,3)",123,0.035590277777777776,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[3,5)",72,0.020833333333333332,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[5,8)",67,0.019386574074074073,48.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[8,12)",8,0.0023148148148148147,48.0,0.05555555555555555
open_floor_fit_downweighted,Af,"[-0.25,0.25)",1984,0.5740740740740741,273.42354925345796,0.3164624412655763
open_floor_fit_downweighted,Af,"[-1,-0.25)",592,0.1712962962962963,214.1917600500465,0.24790712968755382
open_floor_fit_downweighted,Af,"[-2,-1)",121,0.03501157407407408,81.4682175500644,0.09429191846072268
open_floor_fit_downweighted,Af,"[-4,-2)",26,0.007523148148148148,12.329675375677441,0.014270457610737778
open_floor_fit_downweighted,Af,"[-8,-4)",5,0.0014467592592592592,0.7654289618299901,0.0008859131502661923
open_floor_fit_downweighted,Af,"[0.25,1)",573,0.1657986111111111,206.9046257474752,0.23947294646698516
open_floor_fit_downweighted,Af,"[1,2)",122,0.03530092592592592,70.51159658426825,0.08161064419475492
open_floor_fit_downweighted,Af,"[2,4)",23,0.006655092592592593,3.993506598551131,0.004622114118693439
open_floor_fit_downweighted,Af,"[4,8)",7,0.002025462962962963,0.31287758346581873,0.00036212683271506796
open_floor_fit_downweighted,Af,"[8,inf)",3,0.0008680555555555555,0.09876229516332344,0.00011430821199458731
open_floor_fit_downweighted,YawAccel,"[-10,10)",731,0.2115162037037037,194.56247370376903,0.2251880482682512
open_floor_fit_downweighted,YawAccel,"[-100,-40)",406,0.11747685185185185,123.61824023046552,0.14307666693340917
open_floor_fit_downweighted,YawAccel,"[-200,-100)",54,0.015625,32.41420731883804,0.03751644365606254
open_floor_fit_downweighted,YawAccel,"[-40,-10)",896,0.25925925925925924,164.47681436549502,0.190366683293397
open_floor_fit_downweighted,YawAccel,"[-400,-200)",11,0.00318287037037037,29.567485258533853,0.03422162645663641
open_floor_fit_downweighted,YawAccel,"[10,40)",876,0.2534722222222222,201.40373273841664,0.23310617215094517
open_floor_fit_downweighted,YawAccel,"[100,200)",78,0.022569444444444444,13.519329561827144,0.015647372178040676
open_floor_fit_downweighted,YawAccel,"[200,400)",13,0.003761574074074074,16.25044194981335,0.018808381886358045
open_floor_fit_downweighted,YawAccel,"[40,100)",391,0.11313657407407407,88.18727487284141,0.10206860517689978
open_floor_validation_only,Vf,"[-0.05,0.05)",1488,0.8449744463373083,146.74999999999997,0.3333333333333333
open_floor_validation_only,Vf,"[-0.15,-0.05)",77,0.043725156161272004,62.89285714285714,0.14285714285714288
open_floor_validation_only,Vf,"[-0.3,-0.15)",61,0.034639409426462237,62.89285714285713,0.14285714285714285
open_floor_validation_only,Vf,"[-0.5,-0.3)",1,0.0005678591709256105,20.96428571428571,0.047619047619047616
open_floor_validation_only,Vf,"[0.05,0.15)",79,0.044860874503123226,62.89285714285713,0.14285714285714285
open_floor_validation_only,Vf,"[0.15,0.3)",50,0.028392958546280524,41.92857142857142,0.09523809523809523
open_floor_validation_only,Vf,"[0.3,0.5)",5,0.0028392958546280523,41.92857142857142,0.09523809523809523
open_floor_validation_only,YawRate,"[-0.1,0.1)",1003,0.5695627484383873,146.74999999999997,0.3333333333333333
open_floor_validation_only,YawRate,"[-0.5,-0.1)",282,0.16013628620102216,125.78571428571426,0.2857142857142857
open_floor_validation_only,YawRate,"[-1.5,-0.5)",108,0.06132879045996593,20.96428571428571,0.047619047619047616
open_floor_validation_only,YawRate,"[-3,-1.5)",4,0.002271436683702442,20.96428571428571,0.047619047619047616
open_floor_validation_only,YawRate,"[0.1,0.5)",258,0.1465076660988075,83.85714285714285,0.19047619047619047
open_floor_validation_only,YawRate,"[0.5,1.5)",98,0.055650198750709826,20.96428571428571,0.047619047619047616
open_floor_validation_only,YawRate,"[1.5,3)",8,0.004542873367404884,20.96428571428571,0.047619047619047616
open_floor_validation_only,Af,"[-0.25,0.25)",1232,0.6996024985803521,124.13440335535208,0.2819634374908622
open_floor_validation_only,Af,"[-1,-0.25)",204,0.11584327086882454,110.76188724016316,0.25158861383342007
open_floor_validation_only,Af,"[-2,-1)",56,0.03180011357183418,38.68867347778416,0.08787887218122467
open_floor_validation_only,Af,"[-4,-2)",9,0.005110732538330494,2.878357886864409,0.006538007693048062
open_floor_validation_only,Af,"[0.25,1)",186,0.10562180579216354,116.40525921028933,0.26440717594614277
open_floor_validation_only,Af,"[1,2)",55,0.031232254400908575,41.30361184640186,0.09381853911732393
open_floor_validation_only,Af,"[2,4)",10,0.0056785917092561046,3.5835058190531575,0.008139706573658508
open_floor_validation_only,Af,"[4,8)",5,0.0028392958546280523,2.1894672888248667,0.004973236317603332
open_floor_validation_only,Af,"[8,inf)",4,0.002271436683702442,0.3048338752669265,0.0006924108467164714
open_floor_validation_only,YawAccel,"[-10,10)",282,0.16013628620102216,57.234873126083976,0.1300053904056422
open_floor_validation_only,YawAccel,"[-100,-40)",262,0.14877910278250994,63.356642124844726,0.14391060107857975
