group,count,run_count,baseline_rmse_nm,brush_rmse_nm,baseline_mae_nm,brush_mae_nm,baseline_median_abs_nm,brush_median_abs_nm,baseline_signed_median_nm,brush_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_brush_rmse_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,41686,49,0.059261786888981885,0.027191192427284287,0.044859266139279375,0.01910832862163135,0.034056000499999996,0.012275757021293701,0.00220544,0.0008353582922693806,0.055062193348230606,0.02484082156354841,0.541168198687243
in_place_scrub,19704,49,0.07350293824401469,0.030825929781675157,0.060936385465895256,0.02342328541574531,0.054369194999999995,0.017773144974703708,0.007716964500000001,0.0022149013054655197,0.0644426586090684,0.028471480852042912,0.580616360133259
slow_forward_turn,19582,48,0.05320639516145491,0.027106545651202477,0.03757500908926564,0.0180950252749349,0.02426097,0.011787465459104439,-0.003602825,-0.0009076955780788588,0.046711205586579825,0.023530464193751866,0.4905397073237604
pre_design_turn_speed,99,14,0.09487871930711514,0.0665178035652587,0.06326070573737373,0.03208657386652459,0.048873949,0.020149375528701215,0.011704299999999999,0.0028886202990920265,0.07778513899257299,0.04229617071714256,0.2989175649605295
design_turn_speed_and_up,4,2,0.0711935351542805,0.049549499546063094,0.06485622575,0.03838604989205293,0.0713723045,0.023422460148661603,0.055442455499999994,0.016863364513071542,0.0711935351542805,0.049549499546063094,0.3040168684040416
fast_forward,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
straightish_forward,21746,47,0.024100230477634897,0.011003736025569215,0.012090499425043685,0.007138574906645096,0.005326236999999999,0.004413840107562657,-0.0003098609999999997,-7.16910687520174e-05,0.027317452371328297,0.01137614532627991,0.5434178093947806
limiter_active,31216,44,0.07460143692176592,0.035776336081350064,0.06141388810728472,0.028144789063719842,0.053156193500000004,0.024295864354511327,-0.0026020220000000003,0.0001155923023918844,0.07825920408479249,0.03503458083803034,0.5204336865673447
hardware_saturation_evidence,5017,24,0.06367306127765009,0.04274708335820766,0.05109065277775563,0.03468172649961468,0.043237808999999995,0.031085762041859616,-0.003758486999999998,-0.0003861826830022022,0.06160694940501624,0.03879287481505221,0.32864727248142633
may4_latest_logs,5217,2,0.0321575441757067,0.010746312293515558,0.02518525240962239,0.008157647814793513,0.020284214000000002,0.006744956173313433,-0.005072003,-0.0005342419619894425,0.03022243370421675,0.010459359709237762,0.6658229796778504
