parameter,value,lower_bound,upper_bound
drive_scale,0.12152241966004186,0.035,0.18
mu_peak,5.0,0.65,5.0
mu_longitudinal,0.49488478010036185,0.0,1.5
mu_low_speed_lateral,0.5999221837515145,0.0,1.5
mu_cornering,0.08104455303535311,0.0,5.0
alpha_knee,0.02,0.02,0.9
long_speed_floor_mps,0.02,0.02,1.0
speed_gate_knee_mps,0.11058631045651944,0.03,1.5
static_slip_knee_mps,0.03179248714776094,0.003,0.1
longitudinal_slip_knee_mps,0.7,0.01,0.7
longitudinal_envelope_shape,2.5,0.45,2.5
launch_static_opposing_nm,0.0071913208123168485,0.0,0.02
mu_static_breakaway,0.00017029073004874907,derived,derived
track_width_m,0.084635,constant,constant
drive_wheel_longitudinal_offset_m,0.01475,constant,constant
