dataset_split,vf_bin,yaw_rate_bin,af_bin,yaw_accel_bin,merge_level,rows,run_count,raw_quality_sum,final_weight_sum,priority,calibration_row_share
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,*,merged_drop_af_yawaccel,20,4,9.611080584447576,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[-10,10)",merged_drop_af,35,8,34.161291663803254,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[-100,-40)",merged_drop_af,48,6,44.98110881132427,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[-200,-100)",merged_drop_af,39,4,27.85753125015304,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[-40,-10)",merged_drop_af,25,8,23.284811322974505,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[-400,-200)",merged_drop_af,26,4,11.179049479814925,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[10,40)",merged_drop_af,31,7,28.133295066603836,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[100,200)",merged_drop_af,42,4,34.818061361262245,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)",*,"[40,100)",merged_drop_af,37,7,35.74711371036623,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-10,10)",full_4d,369,8,368.12893668836693,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-100,-40)",full_4d,194,4,188.76560233629138,44.359832040424166,1.0,0.0
open_floor_fit_downweighted,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-40,-10)",full_4d,445,8,441.81990758390026,44.359832040424166,1.0,0.0
