group,count,run_count,baseline_rmse_nm,direct_model_rmse_nm,rmse_improvement_fraction,baseline_mae_nm,direct_model_mae_nm,baseline_median_abs_nm,direct_model_median_abs_nm,baseline_signed_median_nm,direct_model_signed_median_nm,run_balanced_direct_rmse_nm
calibration_low_vf_nonzero_yaw,41686,49,0.059261786888981885,0.027363087158721967,0.5382675988156984,0.044859266139279375,0.01952034154903758,0.034056000499999996,0.013067901344794996,0.00220544,0.0009928050014216265,0.02516363884790713
in_place_scrub,19704,49,0.07350293824401469,0.031691889735774345,0.568835063020695,0.060936385465895256,0.024409215031594187,0.054369194999999995,0.01912845499232478,0.007716964500000001,0.0027465766050826113,0.029011884959162033
slow_forward_turn,19582,48,0.05320639516145491,0.027606229578223077,0.4811482812460435,0.03757500908926564,0.01867225847860408,0.02426097,0.01235182548844798,-0.003602825,-0.0012365492997487677,0.024179285366992237
pre_design_turn_speed,99,14,0.09487871930711514,0.06668359856025445,0.297170123635367,0.06326070573737373,0.03193575314068289,0.048873949,0.01992045093632072,0.011704299999999999,0.003804136368608625,0.04248265809524499
design_turn_speed_and_up,4,2,0.0711935351542805,0.04775546082715167,0.32921632949308055,0.06485622575,0.036880828926759986,0.0713723045,0.023146140837912135,0.055442455499999994,0.01481060951622797,0.04775546082715167
fast_forward,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
straightish_forward,21746,47,0.024100230477634897,0.011166918908564897,0.5366468001653412,0.012090499425043685,0.007245939884433303,0.005326236999999999,0.004422202681473728,-0.0003098609999999997,-7.875107961074384e-05,0.011543888311802218
limiter_active,31216,44,0.07460143692176592,0.036058769802735376,0.5166477846727002,0.06141388810728472,0.028627835001774557,0.053156193500000004,0.025082801557932577,-0.0026020220000000003,-0.0002936187771287906,0.03583883648721976
hardware_saturation_evidence,5017,24,0.06367306127765009,0.04108255730577457,0.35478903508923987,0.05109065277775563,0.03325300144252397,0.043237808999999995,0.029358173241662157,-0.003758486999999998,-0.0007685834615263204,0.03844024340722547
may4_latest_logs,5217,2,0.0321575441757067,0.010807447672761742,0.663921858780305,0.02518525240962239,0.00824702813105652,0.020284214000000002,0.006820738859730998,-0.005072003,-0.0007346358651700315,0.01056886655660664
