range_name,range_definition,candidate_label,count,finite_count,run_count,baseline_rmse_nm,candidate_rmse_nm,baseline_mae_nm,candidate_mae_nm,baseline_median_abs_nm,candidate_median_abs_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,abs(Vf)<0.15 and abs(YawRate)>=0.1,relaxation_free_bristle_slip,41686,41686,49,0.059261786888981885,0.02630949139589076,0.044859266139279375,0.018984767120944553,0.034056000499999996,0.013376782609399611,0.5560462689864945
in_place_scrub,abs(Vf)<0.05 and abs(YawRate)>=0.2,relaxation_free_bristle_slip,19704,19704,49,0.07350293824401469,0.02908810722588333,0.06093638546589524,0.02259395919523748,0.054369194999999995,0.01839525547575175,0.6042592592786322
slow_forward_turn,0.15<=abs(Vf)<0.70 and abs(YawRate)>=0.1,relaxation_free_bristle_slip,19582,19582,48,0.05320639516145491,0.0271254450718611,0.03757500908926565,0.018121285480020666,0.02426097,0.011821583744607237,0.490184497755413
pre_design_turn_speed,0.70<=abs(Vf)<0.95 and abs(YawRate)>=0.1,relaxation_free_bristle_slip,99,99,14,0.09487871930711514,0.06648817213460387,0.06326070573737373,0.03183474678852497,0.048873949,0.019736121452771423,0.2992298734620695
design_turn_speed_and_up,abs(Vf)>=0.95 and abs(YawRate)>=0.1,relaxation_free_bristle_slip,4,4,2,0.0711935351542805,0.04946443464264237,0.06485622575,0.0382750821776709,0.0713723045,0.023686967112363226,0.305211708683238
fast_forward,abs(Vf)>=1.50,relaxation_free_bristle_slip,0,0,0,,,,,,,
straightish_forward,abs(YawRate)<0.05 and abs(Vf)>=0.05,relaxation_free_bristle_slip,21746,21746,47,0.024100230477634897,0.011046902871340804,0.012090499425043685,0.007218742590292035,0.005326236999999999,0.00454560648212207,0.5416266710979228
limiter_active,max_force_limiter_activity>0 or limiter_active>0,relaxation_free_bristle_slip,31216,31216,44,0.07460143692176592,0.034680938284757275,0.06141388810728472,0.02727355245441208,0.053156193500000004,0.02371100603057382,0.5351170203178932
hardware_saturation_evidence,hardware_saturation_evidence>0,relaxation_free_bristle_slip,5017,5017,24,0.06367306127765009,0.04270734406255895,0.05109065277775563,0.03458316252559832,0.043237808999999995,0.030699137674346233,0.3292713872145852
may4_latest_logs,"run_id in {2026-05-04_20-35-47, 2026-05-04_16-57-53}",relaxation_free_bristle_slip,5217,5217,2,0.03215754417570671,0.011423087797326478,0.02518525240962239,0.00852592796058441,0.020284214000000002,0.006636850381382014,0.6447773581554774
