group,present,count,run_count,baseline_rmse_nm,bristle_slip_rmse_nm,baseline_mae_nm,bristle_slip_mae_nm,baseline_median_abs_nm,bristle_slip_median_abs_nm,baseline_signed_median_nm,bristle_slip_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_bristle_slip_rmse_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,True,41686,49,0.059261786888981885,0.026132360032488342,0.044859266139279375,0.018759125431073553,0.034056000499999996,0.013167290897560175,0.00220544,0.0009131807861619775,0.055062193348230606,0.02369630792940435,0.5590352332533709
in_place_scrub,True,19704,49,0.07350293824401469,0.02858470890403573,0.060936385465895256,0.022092823374372492,0.054369194999999995,0.017985620937044332,0.007716964500000001,0.002501453036390307,0.0644426586090684,0.026630912273151962,0.611107942254766
slow_forward_turn,True,19582,48,0.05320639516145491,0.02708808305078914,0.03757500908926564,0.017960562178536546,0.02426097,0.011612176742374136,-0.003602825,-0.0010709959541735817,0.046711205586579825,0.023474540189978185,0.4908867069721544
pre_design_turn_speed,True,99,14,0.09487871930711514,0.06630474820054692,0.06326070573737373,0.03156532522253552,0.048873949,0.018844317203144063,0.011704299999999999,0.0028956963803033063,0.07778513899257299,0.041527302576933316,0.30116311977269067
design_turn_speed_and_up,True,4,2,0.0711935351542805,0.049027002910876465,0.06485622575,0.03584865650048052,0.0713723045,0.020470847485440122,0.055442455499999994,0.011802241141353424,0.0711935351542805,0.049027002910876465,0.31135597067020027
fast_forward,False,0,,,,,,,,,,,,
straightish_forward,True,21746,47,0.024100230477634897,0.010888609393801948,0.012090499425043685,0.007078250943872539,0.005326236999999999,0.004428895021809111,-0.0003098609999999997,-9.74985727652177e-05,0.027317452371328297,0.011162459138010618,0.5481948023730886
limiter_active,True,31216,44,0.07460143692176592,0.03445475109183747,0.06141388810728472,0.026895386702048437,0.053156193500000004,0.023049231848230028,-0.0026020220000000003,-0.00019452534003639468,0.07825920408479249,0.03337427083010859,0.5381489618226797
hardware_saturation_evidence,True,5017,24,0.06367306127765009,0.04325883951217441,0.05109065277775563,0.03514796191367181,0.043237808999999995,0.03140416963173425,-0.003758486999999998,-0.0006630000944292634,0.06160694940501624,0.039239716763784994,0.320610024959508
open_floor_all,True,93024,33,0.03689427440568686,0.01977470920121619,0.023911735169687393,0.012783017004773864,0.0125315535,0.007762459865182649,-0.0006637645000000009,-0.00019460295717879168,0.033505050809116095,0.017332477011723316,0.46401685573824075
diag_all,True,11108,3,0.08462092512247131,0.025719189114820764,0.07380607165700397,0.02020785316584306,0.0823600235,0.016877473102036848,0.006359523000000001,0.0023594865268373416,0.08439010276450123,0.025802006367211305,0.696065848044115
aux_all,True,14448,13,0.0512663739166604,0.02146781602420966,0.033056377596483943,0.011856194437235047,0.016359514999999998,0.007961166534035984,0.0012553225,0.001424094829206502,0.05745404365918576,0.02059322199498782,0.5812495719102709
may4_latest_logs,True,5217,2,0.0321575441757067,0.0110035510246772,0.02518525240962239,0.008208787314406208,0.020284214000000002,0.006310941410888905,-0.005072003,-8.41212414486106e-05,0.03022243370421675,0.010807762430743583,0.6578236520626538
