seed,objective_score,evals,derived_static_peak_nm,boundary_flags,yaw_activation_mps,stribeck_speed_mps,slide_ratio,speed_gate_mps,v_floor_mps,alpha_knee_rad,slip_cap_nm,alpha_lever_m
1,0.016150807624017226,295,0.24807180772354895,slide_ratio:low;speed_gate_mps:low;alpha_knee_rad:low,0.057682038124963024,0.07146918769038813,2.0280018221555568e-11,0.004883232360091756,0.07305332178587702,0.020827970812773176,0.009510909223110908,0.027195486476626084
2,0.016364052208634412,281,0.24856634940093755,slide_ratio:low;speed_gate_mps:low;alpha_knee_rad:high;slip_cap_nm:low;alpha_lever_m:low,0.05463872022733558,0.06476673236163519,1.3951416201170973e-12,0.01708014371279941,0.15864331564432899,1.4909582694773444,0.0005405555390658426,0.005274947770594768
3,0.016364029919516673,288,0.24926053637895168,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;alpha_knee_rad:high;slip_cap_nm:low;alpha_lever_m:low,0.05475157499475039,0.06472303566584613,0.000353200255140789,0.017045939434334953,0.5983476361794046,1.4999974134095613,0.00021000535143138866,0.005570705673619164
4,0.016368906609393965,282,0.2344973478076333,slide_ratio:low;speed_gate_mps:low;alpha_knee_rad:high;alpha_lever_m:low,0.0528393533647109,0.06616830270821618,0.0060288229397790025,0.014811528427550978,0.5657182708956645,1.4632336424926395,0.020683376104071262,0.00720928481385137
5,0.01636489489199491,192,0.2503235775382855,slide_ratio:low;speed_gate_mps:low;slip_cap_nm:low,0.0546167604185472,0.0639377411050398,0.004106766413339529,0.016584899886324667,0.35122393443276106,1.1010497375156554,0.00048500009193632766,0.017501709897288466
6,0.016364010806361524,263,0.24993874209766964,slide_ratio:low;speed_gate_mps:low;alpha_knee_rad:high;slip_cap_nm:low,0.05427418275182426,0.06361421586776518,0.00025520473111943136,0.01735135024429015,0.4526811149658565,1.4999547381765614,4.7381984461749255e-05,0.06911833919217332
7,0.016363975479540847,391,0.24907229763264246,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;alpha_knee_rad:low;slip_cap_nm:low;alpha_lever_m:high,0.05403237212059233,0.06347503773996829,3.594759231066549e-19,0.017240920146901637,0.6,0.002000000084260859,1.1446181351791594e-20,0.07817306293241551
8,0.016155480555415658,228,0.24813323126125542,slide_ratio:low;speed_gate_mps:low;v_floor_mps:low,0.05696499384315251,0.06976022022906517,1.7685538938686388e-12,0.005995603027560988,0.011221472948742775,0.06530356112455893,0.008957574092045709,0.05861099552615626
9,0.016416925624876677,264,0.1207969631138925,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;alpha_knee_rad:high;slip_cap_nm:high;alpha_lever_m:low,0.038202598903350045,0.1743217725948068,1.428198316321946e-13,0.0020000359632184887,0.5999984439883959,1.4999999996413205,0.13999996476110585,0.005085588372118368
10,0.016364510884293186,263,0.24909442070723126,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;alpha_knee_rad:high;slip_cap_nm:low,0.05442291090905608,0.06418084934114779,4.685873869557132e-06,0.01673455821919386,0.5999999955512275,1.49999999999993,0.0034163133942425217,0.009335098137137357
11,0.016390984815326724,258,0.24930768917102727,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;alpha_knee_rad:high;slip_cap_nm:low;alpha_lever_m:high,0.059843218035796134,0.07655507365583707,1.7358748631675262e-22,0.002000000000000001,0.5999608486460442,1.5,0.0006641158254174177,0.07999983523033523
12,0.016363967730471034,267,0.2482361637955557,slide_ratio:low;speed_gate_mps:low;v_floor_mps:high;slip_cap_nm:low;alpha_lever_m:high,0.05444283332868479,0.06451121502255572,1.6159945010587818e-05,0.016912043682021795,0.59737215566918,1.4457530890617492,6.18171822751111e-07,0.07996724590640242
