group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,prediction_median_opposes_nm,improvement_fraction_rmse,dataset_split,physics_phase
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.04569446749922035,0.03356303268350653,0.03314479964121388,0.024289024,0.02345895451859858,0.002079796,0.0020144462014747115,0.04444032551655561,0.043989647682302284,0.008346686259623322,0.003109808366413532,primary_open_floor_fit_authoritative,entry
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.028120362290540043,0.01901283047434461,0.01873984309215863,0.011055656,0.010891574486441319,0.001152246,0.0015071620380449997,0.027360804754732918,0.02644956509770483,0.0035969256624941103,0.022623574729331467,primary_open_floor_fit_authoritative,plateau
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.04460443724952823,0.03422566844436229,0.033826490604866054,0.0273970075,0.0269142191393293,0.004929683,0.004571501416977191,0.04687090737488466,0.04666546723139781,0.008970583521053774,0.0045185663326899415,primary_open_floor_fit_authoritative,exit
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.05922934760356631,0.0415421622455341,0.043519049897887824,0.030788281,0.030441067990758634,0.001756669,0.0019845865466799877,0.05045155520528007,0.05270938267915267,0.006768645853574925,-0.05432151762127893,open_floor_fit_downweighted,entry
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.025089182014637973,0.013101952217527814,0.013746508706720822,0.005601714,0.006731090412304258,0.000276839,0.0002850884751210833,0.0300316955801011,0.030786294150781,0.0026875168195646367,-0.029712263945098072,open_floor_fit_downweighted,plateau
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.055970423411616434,0.04031268236816347,0.04218976897130531,0.031938671,0.03243063732633411,0.002346486,0.0028448551195886657,0.04883560305667177,0.05105243094187345,0.006761988057347789,-0.05224754054687772,open_floor_fit_downweighted,exit
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.023016203417105474,0.014874971672053231,0.016202525987484548,0.008434416,0.011041291661130423,-0.0029512495,-0.00251529194646081,0.01824042718705866,0.019839956161540714,0.006237921904562179,-0.03560741435737239,open_floor_validation_only,entry
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.014111409419001561,0.007978205793411184,0.008865715186320117,0.004279471,0.0053029860103911775,-0.000330051,-0.00016387106184619896,0.01156851501424637,0.01379319559601329,0.00217391750744867,-0.06446266895345594,open_floor_validation_only,plateau
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.02805507911141596,0.01860998364776903,0.020390684008652654,0.012153925,0.013157516115139668,-0.004435259,-0.005135424839353391,0.02057822921555085,0.02379913415748099,0.006792937097011565,-0.08312727889140957,open_floor_validation_only,exit
diag_validation_only:entry,3215,3,0.10590823322237675,0.1186553106678343,0.10058718607029549,0.11264006827884102,0.110339143,0.1219782856466777,-0.026745843,-0.03170619113188645,0.10646405756718444,0.11933332536958889,0.009582463556787,-0.12035964587089626,diag_validation_only,entry
diag_validation_only:plateau,4712,3,0.06448450059620303,0.07251722208077238,0.05078566537882003,0.05747532767328679,0.0456507775,0.05104360667698761,-0.0027473784999999997,-0.004375815627180422,0.06450444400934474,0.07254810909494529,0.006766471992142101,-0.12456825144494228,diag_validation_only,plateau
diag_validation_only:exit,3181,3,0.08665455675983383,0.10195643495624009,0.08083872540270355,0.09441595410081256,0.087034652,0.0983141728293903,-0.03620564,-0.04382005934909062,0.08588159039467541,0.10103443922821947,0.009494705298208448,-0.17658480717656838,diag_validation_only,exit
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.07959009280066204,0.05146439698413284,0.05636867608563449,0.027799833,0.031744947332694534,-0.0034258485,-0.005116497038406987,0.07680196933800228,0.08242256918243755,0.006906540367289695,-0.07433360773347474,aux_downweighted_validation,entry
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.04056272748563492,0.02327004260450161,0.02587878673897941,0.011437506,0.012747109602271982,-0.000406586,-0.0005233074647343577,0.04668534957696826,0.04970866446893487,0.0021785632290965183,-0.08976901490834747,aux_downweighted_validation,plateau
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.06660238592742629,0.044717655678217824,0.05025331918042299,0.030535899,0.035187828529940235,-0.0065930465,-0.008744605623933895,0.06491632707720112,0.07105667383327358,0.007079139574960171,-0.10362744255883054,aux_downweighted_validation,exit
