group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,prediction_median_opposes_nm,improvement_fraction_rmse
straightish_abs_yaw_lt_0p05,35367,49,0.025841853669827997,0.02588210260786196,0.014403131442389798,0.014591237157977778,0.006082492,0.006511506974980388,0.000224911,0.00026891287163507364,0.03269181254921283,0.03276529948235809,0.0010340474588163156,-0.001557509710727751
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,47,0.024100230475114524,0.02414698298795144,0.012090499429458293,0.012279598800161367,0.005326237,0.0056778074531831264,0.000309861,0.00038514946888018066,0.027317452372534017,0.027298721978450294,0.0011347661888064997,-0.0019399197399872054
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,49,0.07350293824740096,0.08195277148484831,0.06093638546954933,0.06663646778711804,0.054369194499999995,0.056615835281403175,-0.007716965,-0.006629026447542525,0.06444265861528606,0.07095542398599028,0.010004736136443166,-0.1149591218926017
low_speed_launchish_vf_lt_0p15_yaw_ge_0p5,20694,45,0.0728316980229981,0.08072822551104704,0.06032932463143907,0.06527354184372124,0.052169427500000004,0.05291746491302192,-0.003849287,-0.0025084531999180278,0.0708927876673524,0.07867304248663472,0.009610263186268626,-0.10842157607743053
high_forward_vf_ge_0p5,3120,35,0.0464149473391518,0.047589993220894446,0.027171509688461538,0.028029611667186816,0.0127547745,0.012954723403347688,0.0015737250000000002,0.001800697025559632,0.059493070824705854,0.06081299455470996,0.0020087870732698907,-0.025316109337723464
high_speed_abs_vf_ge_0p7,144,17,0.08879277130149174,0.09062035662212427,0.055096948680555556,0.05674793866555619,0.0279539725,0.0305817527564931,-0.0061936149999999995,-0.007892102749204545,0.08949674553857254,0.09103785450144708,0.0031206335515141298,-0.020582591283552193
limiter_active,31216,44,0.07460143692454368,0.0802783688890562,0.06141388811106484,0.06522284664950699,0.053156194000000004,0.05504335451574909,0.0026020225,0.002174754824656558,0.0782592041154691,0.08250070024368009,0.009387106144486679,-0.07609681795076557
hardware_saturation_evidence,5017,24,0.06367306128234744,0.06634780026086064,0.05109065278532988,0.05314962142612506,0.043237809,0.044518217682206956,0.003758487,0.003940589526135791,0.06160694941650637,0.06176386716435697,0.006897954765652452,-0.042007387812759915
negative_yaw_opposes_target,66171,49,0.05271785261231283,0.05938710389023505,0.03543559092374302,0.04176883022243988,0.018163241,0.023770549298704386,0.00018061,0.0009945780490953312,0.04817397514838976,0.054000419880468324,0.005707275862597376,-0.12650840175467512
may4_selected_logs,5217,2,0.032157544166236535,0.030767602166995985,0.02518525240540541,0.023512186915316848,0.020284213,0.01807520881968821,0.005072003,0.00475512433705633,0.030222433695363045,0.029371573595151336,0.0054527175680661255,0.043222890157759764
