feature,standardized_coefficient_nm,feature_scale,raw_coefficient_nm_per_feature
gain_right_total_basis__base,0.003419988619660754,0.000880338646,3.8848557145595923
gain_right_total_basis__low_rel,0.0010696288546462706,0.0002054801458137682,5.205509517283009
gain_right_total_basis__high_forward,-0.0001596157346323848,1.4705296922360789e-05,-10.854302056946162
gain_right_total_basis__util,-0.0005177720316022521,0.00047151259014102247,-1.098108602884589
gain_long_total_basis__base,0.003333703302625439,0.015140580075976014,0.22018332758036926
gain_long_total_basis__low_rel,-0.005555660285259025,0.0029289506004127604,-1.8968091453901945
gain_long_total_basis__high_forward,-0.000520023273132324,0.000269771603812877,-1.9276427384589756
gain_long_total_basis__util,0.007156577387010014,0.008358027074223555,0.856251998642257
force_moment_opposes_yaw_nm__high_forward,0.00016056774925923638,0.000987342471966702,0.162626194879877
force_moment_opposes_yaw_nm__util,-0.05464442202267451,0.02901569663854042,-1.8832710688769905
