rank,allocation_form,objective_score,static_peak_nm,speed_knee_mps,force_knee_util,c_credit,eps_nm,in_place_max_abs_command,in_place_pass,validation_rb_corrected_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm
1,sqrt_softplus_reserve,0.051844555239261375,0.1,0.03,0.45,1.0,0.001,0.6235274468147937,1,0.03822287944965288,0.024795935960203026,0.032953988023582924
2,softmax_reserve,0.051844555239261375,0.1,0.03,0.45,1.0,0.001,0.6235274468147936,1,0.03822287944965288,0.024795935960203026,0.032953988023582924
3,norm_reserve,0.051875211893054315,0.1,0.03,0.45,1.0,0.001,0.6510963436163142,1,0.038282220934930125,0.024661780426358634,0.03307578539265782
4,norm_reserve,0.05256050305973025,0.09,0.045,0.45,1.0,0.001,0.6289912053661009,1,0.03867741613957586,0.025210166417820826,0.03373019115944735
5,sqrt_softplus_reserve,0.054245694760455786,0.1,0.045,0.45,1.0,0.001,0.6720650248763259,1,0.040105221461483084,0.025800374582836242,0.034068947966533425
6,softmax_reserve,0.054245694760455786,0.1,0.045,0.45,1.0,0.001,0.6720650248763259,1,0.040105221461483084,0.025800374582836242,0.034068947966533425
7,norm_reserve,0.055088954056381485,0.1,0.045,0.45,1.0,0.001,0.6947066999042146,1,0.04020657047719842,0.025689829461155795,0.03437072181711871
8,norm_reserve,10.048616475136232,0.09,0.02,0.45,1.0,0.001,0.5195788228086136,0,0.03543329044541476,0.023966409597631768,0.03196627554430982
9,sqrt_softplus_reserve,10.0486640282522,0.09,0.02,0.45,1.0,0.001,0.45412147097397076,0,0.03541404413309361,0.02414081423200294,0.03200466091936091
10,softmax_reserve,10.0486640282522,0.09,0.02,0.45,1.0,0.001,0.454121470973971,0,0.03541404413309361,0.02414081423200294,0.03200466091936091
11,norm_reserve,10.049744927422203,0.1,0.02,0.45,1.0,0.001,0.5710493021825528,0,0.03647877513307371,0.024090059489250443,0.03223087645261561
12,sqrt_softplus_reserve,10.049779182697236,0.1,0.02,0.45,1.0,0.001,0.5270912714802715,0,0.03645242163120109,0.024255618096045015,0.0322486315494654
13,softmax_reserve,10.049779182697236,0.1,0.02,0.45,1.0,0.001,0.5270912714802712,0,0.03645242163120109,0.024255618096045015,0.0322486315494654
14,sqrt_softplus_reserve,10.050432125479668,0.09,0.03,0.45,1.0,0.001,0.5505987598126182,0,0.03695008617837746,0.024560161711253168,0.03257321801567807
15,softmax_reserve,10.050432125479668,0.09,0.03,0.45,1.0,0.001,0.5505987598126183,0,0.03695008617837746,0.024560161711253168,0.03257321801567807
16,norm_reserve,10.050438687193239,0.09,0.03,0.45,1.0,0.001,0.5894906980042942,0,0.036998235509981915,0.02440566280592351,0.03265646467455795
17,sqrt_softplus_reserve,10.052479620505322,0.09,0.045,0.45,1.0,0.001,0.5981146938112312,0,0.03858768348806932,0.02534681459114109,0.033470346069021585
18,softmax_reserve,10.052479620505322,0.09,0.045,0.45,1.0,0.001,0.5981146938112312,0,0.03858768348806932,0.02534681459114109,0.033470346069021585
