group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,rmse_improvement_pct,run_balanced_rmse_improvement_pct,median_predicted_opposes_nm,dataset_split,physics_phase
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.03433135889113514,0.033563032683506536,0.024517456122787388,0.024289024,0.01716617179563806,0.002079796,0.0012354366338462805,0.04444032551655561,0.03378108343797882,25.101228185646132,23.9855175556845,0.009685807724416991,primary_open_floor_fit_authoritative,entry
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.018927904530525588,0.01901283047434461,0.013042263392421531,0.011055656,0.008761787754402242,0.001152246,0.0008710904141464481,0.027360804754732918,0.017427463104111363,34.21248461605681,36.30500542533665,0.0020918975219657845,primary_open_floor_fit_authoritative,plateau
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.030967187986274177,0.03422566844436229,0.022689528154063592,0.0273970075,0.01695581953910505,0.004929683,0.0003207409699639433,0.046870907374884654,0.030051430476701748,30.887457405266623,35.884683784029896,0.010195718395281342,primary_open_floor_fit_authoritative,exit
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.0441801024197851,0.04154216224553411,0.03182154026593533,0.030788281,0.021737280371035075,0.001756669,-0.0005525730824056836,0.05045155520528007,0.04015645767783182,21.356498903785504,20.40590718275977,0.0024470280634747424,open_floor_fit_downweighted,entry
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.019916080107380295,0.013101952217527814,0.011302023437418113,0.005601714,0.005845065082434176,0.000276839,-7.819859211463057e-05,0.0300316955801011,0.021965690643384897,18.260260839442854,26.858306801900024,0.00218882952003723,open_floor_fit_downweighted,plateau
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.04443956282019497,0.04031268236816346,0.032218442337872695,0.031938671,0.022753762657642836,0.002346486,-0.0011128375530880252,0.04883560305667177,0.041176770361808085,16.453337619698114,15.6828875154381,0.001280452632315049,open_floor_fit_downweighted,exit
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.023032369036967176,0.014874971672053231,0.014736034182884331,0.008434416,0.00824578706931995,-0.0029512495,1.4833315590974915e-05,0.01824042718705866,0.019298618134877325,-3.633478174647096,-5.801349589934148,0.008081950977643939,open_floor_validation_only,entry
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.014564947871634697,0.007978205793411184,0.008500721403241138,0.004279471,0.004617655992178438,-0.000330051,3.5833346322788895e-05,0.01156851501424637,0.013441974515499557,-9.867432970456512,-16.194468338814996,0.0022714570214804677,open_floor_validation_only,plateau
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.029152743097659223,0.01860998364776903,0.019304184969495656,0.012153925,0.010157759344270632,-0.004435259,-0.001527664886372921,0.02057822921555085,0.022932297731437176,-12.550498176065512,-11.43960683510789,0.010540523200725498,open_floor_validation_only,exit
diag_validation_only:entry,3215,3,0.10590823322237675,0.05024079812925514,0.10058718607029549,0.03871356260970953,0.110339143,0.03201674305580042,-0.026745843,-0.0030520478768569087,0.10646405756718443,0.04986393085859658,52.5619523613769,53.163600939096455,-0.07718304307211303,diag_validation_only,entry
diag_validation_only:plateau,4712,3,0.06448450059620303,0.05857899638148122,0.05078566537882004,0.04243362086055444,0.0456507775,0.025635785561552816,-0.0027473784999999997,-0.0009165798656868296,0.06450444400934474,0.058458539035753515,9.158021168065828,9.372850299609368,-0.0002375472443610674,diag_validation_only,plateau
diag_validation_only:exit,3181,3,0.08665455675983384,0.06621269148664559,0.08083872540270355,0.05499633276553916,0.087034652,0.051809662029284796,-0.03620564,-0.007384155149714924,0.08588159039467541,0.06585683138115404,23.59006385531877,23.316707249476934,-0.028128711887822243,diag_validation_only,exit
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.04495199099687659,0.05146439698413284,0.027887388354039234,0.027799833,0.015268017124676814,-0.0034258485,-0.0026178139286872344,0.07680196933800228,0.045221501411427154,39.32230386584573,41.11934654642877,-0.009296617477076202,aux_downweighted_validation,entry
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.042589070150796784,0.023270042604501606,0.027337817998991917,0.011437506,0.010253331685924141,-0.000406586,-0.0007533439698329892,0.04668534957696826,0.045175093973900425,-14.420927538792785,3.2349668937959564,0.0035153749767928037,aux_downweighted_validation,plateau
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.046139013956235,0.04471765567821782,0.033341310399047364,0.030535899,0.020017655111626054,-0.0065930465,-0.003713426894324367,0.0649163270772011,0.0477726982343784,23.54585910752292,26.408809023398398,-0.003269641611655647,aux_downweighted_validation,exit
