group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,prediction_rmse_nm,improvement_fraction_rmse,run_balanced_improvement_fraction_rmse,dataset_split,physics_phase
primary_open_floor_fit_authoritative:entry,9719,15,0.045837011822076036,0.03237988251446191,0.033563032683506536,0.022161191541426383,0.024289024,0.014500830006835663,0.002079796,0.0010131794799219523,0.04444032551655561,0.03159056462135933,0.03276459267597492,0.021607169473575785,0.026330897814481495,0.29358653133520585,0.2891464170398411,primary_open_floor_fit_authoritative,entry
primary_open_floor_fit_authoritative:plateau,26778,15,0.02877127129678063,0.019790448955849343,0.01901283047434461,0.01315006708702453,0.011055656,0.008742497486650066,0.001152246,0.0006250843447390595,0.027360804754732918,0.01966553565562365,0.017221749651449555,0.012759137962788878,0.019006851127757164,0.3121454817999717,0.28125156288680164,primary_open_floor_fit_authoritative,plateau
primary_open_floor_fit_authoritative:exit,10820,15,0.044806900200245255,0.03148259845833224,0.03422566844436229,0.022113519938504182,0.0273970075,0.014885222316564969,0.004929683,0.0011380343356850037,0.046870907374884654,0.03234128865497231,0.03530335997391631,0.02246473803759227,0.027937974411317585,0.2973716477231353,0.3099922645768516,primary_open_floor_fit_authoritative,exit
open_floor_fit_downweighted:entry,8341,9,0.05617769021464853,0.042072238753731936,0.04154216224553411,0.030009526514445772,0.030788281,0.02006817539595955,0.001756669,0.0007982371454129944,0.05045155520528007,0.03926079438334247,0.03529574227022102,0.02695668474554696,0.029922770076662632,0.2510863548682988,0.22181200909276266,open_floor_fit_downweighted,entry
open_floor_fit_downweighted:plateau,14651,9,0.024365235700422493,0.022510378429694597,0.013101952217527814,0.012685342700072436,0.005601714,0.00576913010247948,0.000276839,1.2652345463067156e-06,0.0300316955801011,0.025008302626888006,0.016295480966661127,0.014342424617951429,0.021622997065710105,0.07612720408429019,0.16726970809272512,open_floor_fit_downweighted,plateau
open_floor_fit_downweighted:exit,8173,9,0.053191308370772995,0.04033507080117528,0.04031268236816346,0.02888846656487312,0.031938671,0.019449960458809833,0.002346486,0.0007146744744870068,0.04883560305667177,0.03838562800744256,0.035128827980906926,0.026516913539521944,0.03145012902652919,0.241698088717476,0.2139827174265142,open_floor_fit_downweighted,exit
open_floor_validation_only:entry,2104,9,0.022224834525144614,0.03405467471179538,0.014874971672053231,0.022176038882944577,0.008434416,0.009646540447153594,-0.0029512495,0.0011099401987943605,0.01824042718705866,0.028297534241881805,0.011469998868770138,0.017174332667138345,0.034436848261210046,-0.5322802369244541,-0.5513635701448116,open_floor_validation_only,entry
open_floor_validation_only:plateau,10533,9,0.013256838243914581,0.022001325232557455,0.007978205793411184,0.012267363662270693,0.004279471,0.005091275558753174,-0.000330051,-7.023577557521005e-05,0.01156851501424637,0.02169038495068902,0.007267384669839376,0.012406299330540296,0.021308007123570546,-0.659620855874661,-0.874949803322016,open_floor_validation_only,plateau
open_floor_validation_only:exit,1905,9,0.025901922754757487,0.0429617646303668,0.01860998364776903,0.029047233512839464,0.012153925,0.014823923439711388,-0.004435259,0.0007017322442900477,0.02057822921555085,0.03384560307240747,0.012631491629640652,0.02041435211894205,0.03974106498031454,-0.6586322581969664,-0.644728645885164,open_floor_validation_only,exit
diag_validation_only:entry,3215,3,0.10590823322237675,0.07873795112282282,0.10058718607029549,0.07360539010385596,0.110339143,0.07643996200894487,-0.026745843,-0.011496484193142805,0.10646405756718443,0.07849254487991703,0.10108682037947934,0.07337190018168081,0.03655836320856721,0.25654551372322654,0.2627319804114727,diag_validation_only,entry
diag_validation_only:plateau,4712,3,0.06448450059620303,0.0755697283070374,0.05078566537882004,0.05813886795309333,0.0456507775,0.05722080742237616,-0.0027473784999999997,-0.001363983335046683,0.06450444400934474,0.07537045207454694,0.0507981318775319,0.057858873334200304,0.040415619770671624,-0.17190530450486396,-0.1684536349716934,diag_validation_only,plateau
diag_validation_only:exit,3181,3,0.08665455675983384,0.08107245994180877,0.08083872540270355,0.07199831738398121,0.087034652,0.0723832373550223,-0.03620564,-0.01593003984978083,0.08588159039467541,0.08077185678287098,0.07977528568108279,0.07160068756654016,0.04073855683711948,0.0644178105197174,0.05949742649527401,diag_validation_only,exit
aux_downweighted_validation:entry,2710,13,0.07408321980038726,0.060948515525621895,0.05146439698413284,0.042484680388277386,0.027799833,0.029507812682465186,-0.0034258485,-0.00240386775146371,0.07680196933800228,0.06157551510550131,0.05570042632598336,0.04489110146752151,0.032652660286489825,0.17729661737375924,0.19825603905402445,aux_downweighted_validation,entry
aux_downweighted_validation:plateau,8708,13,0.03722139915039368,0.05530589493626387,0.023270042604501606,0.0364760809898363,0.011437506,0.013666451074195687,-0.000406586,-0.000846124550328544,0.04668534957696826,0.056992573062178024,0.029686732108730834,0.03922226045455727,0.03855820461287129,-0.4858628691737108,-0.220780685559967,aux_downweighted_validation,plateau
aux_downweighted_validation:exit,3030,13,0.06034861345329037,0.0586825421144489,0.04471765567821782,0.04505931019896147,0.030535899,0.039259203471497896,-0.0065930465,-0.0046005742585608625,0.0649163270772011,0.05984754499584952,0.049237146996194296,0.047078241804579715,0.038845884361260824,0.02760745017167643,0.07808177556508367,aux_downweighted_validation,exit
