run_id,family,path,input_rows,kept_rows,bias_radps,bias_rows,extracted_samples,max_abs_forward_mps,max_abs_yaw_radps,nonzero_forward_samples,cutoff_reason,cutoff_tick,cutoff_time_us,limitation
2026-04-10_18-08-20,open_floor,TestResults\mmlog_decode_2026-04-10_18-08-20\open_floor_main.csv,20703,20703,-0.000000000,15839,2891,0.432376,8.783021,578,kept through final sensor-active row,,,
2026-04-10_18-33-52,open_floor,TestResults\mmlog_decode_2026-04-10_18-33-52\open_floor_main.csv,143869,143869,-0.000000000,32792,50324,0.235001,0.985937,754,kept through final sensor-active row,,,
2026-04-11_06-58-25,open_floor,TestResults\mmlog_decode_2026-04-11_06-58-25\open_floor_main.csv,84697,84697,-0.003665191,33382,42366,0.489830,1.251052,19194,kept through final sensor-active row,,,
2026-04-11_21-03-20,open_floor,TestResults\mmlog_decode_2026-04-11_21-03-20\open_floor_main.csv,323537,323537,-0.003665191,265936,41275,0.414910,0.806342,13890,kept through final sensor-active row,,,
2026-04-12_05-13-55,open_floor,TestResults\mmlog_decode_2026-04-12_05-13-55\open_floor_main.csv,72412,72412,-0.003665191,37462,23450,0.288983,0.454484,4493,kept through final sensor-active row,,,
2026-04-12_06-36-32,open_floor,TestResults\mmlog_decode_2026-04-12_06-36-32\open_floor_main.csv,69260,69260,-0.003665191,35885,21760,0.243207,0.514349,3357,kept through final sensor-active row,,,
2026-04-12_06-44-12,open_floor,TestResults\mmlog_decode_2026-04-12_06-44-12\open_floor_main.csv,69260,69260,-0.003665191,35885,21760,0.243207,0.514349,3357,kept through final sensor-active row,,,
2026-04-12_20-14-49,open_floor,TestResults\mmlog_decode_2026-04-12_20-14-49\open_floor_main.csv,124191,124191,-0.003665191,35877,68616,0.684985,2.288301,12332,kept through final sensor-active row,,,
2026-04-12_22-27-00,open_floor,TestResults\mmlog_decode_2026-04-12_22-27-00\open_floor_main.csv,129063,129063,-0.003665191,36415,75139,0.772345,3.067765,16519,kept through final sensor-active row,,,
2026-04-13_16-42-46,open_floor,TestResults\mmlog_decode_2026-04-13_16-42-46\open_floor_main.csv,141172,141172,-0.003665191,35579,88476,0.853542,5.285206,23460,kept through final sensor-active row,,,
2026-04-14_02-00-02,open_floor,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,111383,111383,-0.003665191,30526,68804,0.839715,13.321749,24080,kept through final sensor-active row,,,
2026-04-14_04-43-48,open_floor,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,116754,116754,-0.003665191,30761,76478,0.757505,10.833085,32568,kept through final sensor-active row,,,
2026-04-14_05-26-35,open_floor,TestResults\mmlog_decode_2026-04-14_05-26-35\open_floor_main.csv,109155,109155,-0.003665191,30913,67937,0.837547,12.211196,23050,kept through final sensor-active row,,,
2026-04-14_05-40-35,open_floor,TestResults\mmlog_decode_2026-04-14_05-40-35\open_floor_main.csv,1559,1559,0.002443461,1479,208,0.029361,0.348193,0,kept through final sensor-active row,,,
2026-04-14_06-21-48,open_floor,TestResults\mmlog_decode_2026-04-14_06-21-48\open_floor_main.csv,2815,2361,0.001221730,2680,148,0.013981,0.464258,0,dropped final sensor-quiescent/invalid tail >= 0.25 s,2562,14547447,
