abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,forward_positive_count,forward_negative_count,yaw_positive_count,yaw_negative_count,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm,median_abs_residual_additive_yaw_torque_nm
0.00,0.00,278218,167465,110753,140824,137394,0.001218943,-0.001884899,0.090991582,0.166372092,0.091054931
0.00,0.50,136519,80547,55972,65942,70577,-0.011977451,-0.010138578,0.097000107,0.206648455,0.104818241
0.00,1.00,47002,28712,18290,21722,25280,-0.015947897,-0.006317584,0.096164916,0.209127018,0.105341614
0.00,1.50,29484,17804,11680,14429,15055,-0.040468246,-0.016918894,0.079093985,0.211704664,0.107145815
0.00,2.00,26467,15224,11243,13185,13282,-0.065943589,-0.032947929,0.059964364,0.198026410,0.106270784
0.00,2.50,29071,15787,13284,14246,14825,-0.091418650,-0.056632183,0.042515385,0.134094083,0.105383725
0.00,3.00,28755,15429,13326,14516,14239,-0.106986572,-0.084908380,0.021114459,0.078841420,0.109150327
0.00,3.50,21627,11920,9707,9580,12047,-0.110060519,-0.097493079,0.014226502,0.042635082,0.110898387
0.00,4.00,16983,8959,8024,8534,8449,-0.111651075,-0.105348978,0.011602037,0.027522894,0.112129724
0.00,4.50,14257,8051,6206,7671,6586,-0.113448643,-0.110330726,0.010669923,0.023218645,0.113640402
0.00,5.00,14208,7710,6498,7142,7066,-0.114118857,-0.110855346,0.010624324,0.022848814,0.114285876
0.00,5.50,10947,6000,4947,4899,6048,-0.111834539,-0.107986397,0.012536890,0.027040982,0.111967565
0.00,6.00,8292,5183,3109,3170,5122,-0.109742925,-0.103913215,0.013580434,0.030149247,0.110052115
0.00,6.50,7407,4892,2515,2813,4594,-0.105670633,-0.096230371,0.016378831,0.040510013,0.105990608
0.00,7.00,4681,2807,1874,2765,1916,-0.104311737,-0.095768423,0.019450549,0.045635386,0.105120437
0.00,7.50,4364,2501,1863,2322,2042,-0.101163003,-0.097997232,0.016981468,0.035601545,0.101523975
0.00,8.00,4426,2806,1620,2022,2404,-0.089649878,-0.086999974,0.019630819,0.039764383,0.090345133
0.00,8.50,2173,1110,1063,1131,1042,-0.103921988,-0.101511398,0.022116546,0.044926885,0.105046195
0.00,9.00,1812,878,934,1000,812,-0.111745134,-0.111200260,0.017216700,0.034414483,0.112483516
0.00,9.50,1777,810,967,996,781,-0.113740543,-0.113627754,0.016215301,0.032403497,0.114741186
0.00,10.00,1730,874,856,837,893,-0.115155345,-0.114179574,0.015728402,0.031805177,0.115553897
0.00,10.50,1381,720,661,684,697,-0.113594982,-0.113035358,0.017354853,0.034548907,0.114247153
0.00,11.00,1276,711,565,655,621,-0.113288634,-0.111979644,0.015730914,0.031680117,0.114080414
0.00,11.50,1222,605,617,631,591,-0.113844279,-0.113540540,0.015671296,0.031308840,0.114505406
0.00,12.00,1350,657,693,729,621,-0.108512144,-0.099422782,0.020469168,0.043840487,0.109120998
0.00,12.50,1143,552,591,595,548,-0.104466572,-0.079932541,0.024803273,0.116599412,0.105189355
0.00,13.00,886,396,490,480,406,-0.112209516,-0.109348324,0.018351810,0.037573044,0.112955577
0.00,13.50,897,427,470,501,396,-0.114449919,-0.114753785,0.013866673,0.027989994,0.115188751
0.00,14.00,652,291,361,337,315,-0.112979374,-0.113304052,0.015709655,0.031397099,0.113457879
0.00,14.50,544,239,305,357,187,-0.114465637,-0.114961863,0.016774526,0.033930736,0.115321624
0.00,15.00,369,138,231,241,128,-0.114907101,-0.110486108,0.019632111,0.040950388,0.116124262
0.00,15.50,443,163,280,356,87,-0.110510789,-0.099862564,0.021468512,0.044948799,0.111560721
0.00,16.00,541,281,260,489,52,-0.111529389,-0.092100252,0.023945873,0.051390874,0.113158812
0.00,16.50,633,341,292,585,48,-0.110962511,-0.110589845,0.018156720,0.036022813,0.112731185
0.00,17.00,478,269,209,397,81,-0.113467412,-0.111904361,0.018059015,0.035934603,0.114777180
0.00,17.50,373,244,129,339,34,-0.112775728,-0.110517097,0.016175568,0.033194597,0.113692458
0.00,18.00,170,105,65,135,35,-0.106406162,-0.072317748,0.028392049,0.180946388,0.112436535
0.00,18.50,101,50,51,80,21,-0.087799407,-0.024858725,0.080073834,0.210969006,0.112679583
0.00,19.00,87,33,54,87,0,-0.063315685,-0.022041567,0.099824154,0.201520790,0.107682914
0.00,19.50,168,70,98,168,0,0.076726621,0.022178333,0.028821299,0.196497896,0.095934840
0.00,20.00,108,39,69,108,0,0.069996731,0.002350682,0.050851643,0.214393563,0.104008755
0.10,0.00,737508,394754,342754,376847,360661,0.000568281,0.002300698,0.007713092,0.016269900,0.007809178
0.10,0.50,71298,43971,27327,36986,34312,-0.006671612,-0.021317445,0.057522103,0.128861607,0.057342701
0.10,1.00,16518,8653,7865,8400,8118,-0.014365822,-0.017565312,0.058310412,0.116192323,0.061042107
0.10,1.50,11756,5588,6168,6193,5563,-0.024336996,-0.019237593,0.051035777,0.104813030,0.058603390
0.10,2.00,10966,4912,6054,5622,5344,-0.030495609,-0.023098358,0.046216692,0.092829244,0.054606825
0.10,2.50,10462,4663,5799,5218,5244,-0.035615694,-0.030973306,0.042170818,0.081757405,0.049822521
0.10,3.00,8605,4437,4168,3779,4826,-0.034448908,-0.034249925,0.039129091,0.078255252,0.046717445
0.10,3.50,6243,3648,2595,2312,3931,-0.038374765,-0.040050649,0.040731461,0.081806907,0.050819053
0.10,4.00,3927,2091,1836,1611,2316,-0.054484962,-0.053471413,0.040541541,0.080845030,0.062627022
0.10,4.50,2442,1390,1052,970,1472,-0.076910263,-0.067942564,0.047668204,0.102145349,0.086832723
0.10,5.00,2099,1086,1013,923,1176,-0.086989762,-0.076345579,0.039497074,0.090973949,0.090644402
0.10,5.50,1776,1009,767,691,1085,-0.092690075,-0.081813460,0.036450986,0.085056162,0.093811358
0.10,6.00,1770,936,834,623,1147,-0.093476518,-0.081135338,0.038785938,0.093074925,0.094087906
0.10,6.50,1546,803,743,546,1000,-0.096022542,-0.089445345,0.034632369,0.076148356,0.096080628
