forward_velocity_bin_mps,yaw_rate_bin_radps,abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
-0.80,-0.50,0.80,0.50,81,0.029091225,0.029584763,0.044466720,0.087389013,0.029091225,0.029584763,0.044466720,0.087389013
-0.70,-1.00,0.70,1.00,148,0.014451938,0.015728021,0.023877877,0.047102678,0.014451938,0.015728021,0.023877877,0.047102678
-0.70,-0.50,0.70,0.50,258,0.000254145,0.004818563,0.027670132,0.058755722,0.000254145,0.004818563,0.027670132,0.058755722
-0.70,0.00,0.70,0.00,206,0.005568993,0.004099362,0.022376573,0.048006130,0.000265262,-0.000202014,0.025167253,0.049693802
-0.70,0.50,0.70,0.50,97,-0.001751290,-0.005376581,0.022018465,0.044848703,0.001751290,0.005376581,0.022018465,0.044848703
-0.60,-1.50,0.60,1.50,90,0.005240410,0.002699781,0.018684980,0.035640369,0.005240410,0.002699781,0.018684980,0.035640369
-0.60,-1.00,0.60,1.00,300,0.012911678,0.014639752,0.027873451,0.055109532,0.012911678,0.014639752,0.027873451,0.055109532
-0.60,-0.50,0.60,0.50,565,0.009770481,0.011688176,0.022365146,0.045919033,0.009770481,0.011688176,0.022365146,0.045919033
-0.60,0.00,0.60,0.00,20786,0.000054359,0.000167582,0.008148850,0.016300053,0.002093835,0.002287838,0.008056107,0.016168733
-0.60,0.50,0.60,0.50,1071,-0.005261954,-0.004877448,0.012373516,0.025016418,0.005261954,0.004877448,0.012373516,0.025016418
-0.60,1.00,0.60,1.00,80,-0.011029637,-0.013513255,0.019988605,0.041421246,0.011029637,0.013513255,0.019988605,0.041421246
-0.50,-1.50,0.50,1.50,244,0.001908439,0.002961430,0.018103670,0.037021365,0.001908439,0.002961430,0.018103670,0.037021365
-0.50,-1.00,0.50,1.00,761,0.005785809,0.009037200,0.019339611,0.040227536,0.005785809,0.009037200,0.019339611,0.040227536
-0.50,-0.50,0.50,0.50,1229,0.006087111,0.008988268,0.015966095,0.033433795,0.006087111,0.008988268,0.015966095,0.033433795
-0.50,0.00,0.50,0.00,7715,0.000588433,0.001257176,0.008525136,0.017257603,0.001756411,0.001846565,0.008392588,0.016590437
-0.50,0.50,0.50,0.50,1735,0.000961549,0.001120623,0.012650318,0.025014528,-0.000961549,-0.001120623,0.012650318,0.025014528
-0.50,1.00,0.50,1.00,353,0.000708441,0.000322794,0.015277758,0.029999955,-0.000708441,-0.000322794,0.015277758,0.029999955
-0.40,-2.00,0.40,2.00,112,-0.012068061,-0.009515878,0.019422513,0.038992730,-0.012068061,-0.009515878,0.019422513,0.038992730
