forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
-0.30,-3.00,3.00,79,0.018207799,0.018207799,0.022462194,0.020530220,0.043096793
-0.30,-2.50,2.50,82,0.029544121,0.029544121,0.028301583,0.024449473,0.048672801
-0.30,-2.00,2.00,58,0.040506319,0.040506319,0.034647839,0.023266026,0.054047338
-0.30,-1.50,1.50,50,0.052465394,0.052465394,0.041954854,0.030104695,0.068338004
-0.30,-1.00,1.00,38,0.043042342,0.043042342,0.034517060,0.031866508,0.074828039
-0.30,-0.50,0.50,44,0.059596245,0.059596245,0.049152139,0.026514664,0.063658820
-0.30,0.00,0.00,42,0.049418577,-0.002862328,-0.005452795,0.048391696,0.098697528
-0.30,0.50,0.50,70,0.046210087,-0.046210087,-0.041582786,0.017049914,0.035850351
-0.30,1.00,1.00,75,0.052426416,-0.052426416,-0.051686838,0.016280920,0.032958626
-0.30,1.50,1.50,87,0.049504584,-0.049504584,-0.046437188,0.017827500,0.037386114
-0.30,2.00,2.00,81,0.047977601,-0.047977601,-0.048894133,0.013736460,0.027154288
-0.30,2.50,2.50,32,0.041689497,-0.041689497,-0.047985980,0.018243305,0.040858407
-0.20,-3.50,3.50,69,0.024139073,0.024139073,0.006674827,0.025726326,0.083628732
-0.20,-3.00,3.00,225,0.015316938,0.015316938,0.004368350,0.037641624,0.082977505
-0.20,-2.50,2.50,274,0.041170988,0.041170988,0.028522303,0.036113986,0.085545977
-0.20,-2.00,2.00,222,0.050300724,0.050300724,0.036539285,0.029901153,0.076160985
-0.20,-1.50,1.50,212,0.059902543,0.059902543,0.054937823,0.015002684,0.030358636
-0.20,-1.00,1.00,231,0.062385407,0.062385407,0.058244122,0.012560493,0.026506743
-0.20,-0.50,0.50,270,0.060707994,0.060707994,0.059758858,0.010435190,0.020912217
-0.20,0.00,0.00,243,0.056675718,-0.001589248,-0.002431886,0.056923101,0.113779567
-0.20,0.50,0.50,338,0.057187233,-0.057187233,-0.054846775,0.014759295,0.029325290
-0.20,1.00,1.00,265,0.055465376,-0.055465376,-0.061592079,0.013421228,0.026853923
-0.20,1.50,1.50,261,0.056775543,-0.056775543,-0.063990362,0.015383328,0.032373537
-0.20,2.00,2.00,239,0.051584423,-0.051584423,-0.060447555,0.021959537,0.053883282
-0.20,2.50,2.50,183,0.056187255,-0.056187255,-0.068631871,0.028863036,0.082521531
-0.20,3.00,3.00,53,0.070508782,-0.070508782,-0.076671722,0.030656492,0.078038403
-0.10,-14.50,14.50,27,-0.107520085,-0.107520085,-0.107475400,0.012515102,0.025963949
-0.10,-14.00,14.00,35,-0.109970135,-0.109970135,-0.114529620,0.017946818,0.034393088
-0.10,-13.00,13.00,27,-0.111287001,-0.111287001,-0.112408113,0.015049236,0.029196026
-0.10,-12.50,12.50,35,-0.123907647,-0.123907647,-0.125079976,0.015899683,0.030431906
-0.10,-12.00,12.00,31,-0.096303717,-0.096303717,-0.099410221,0.013372924,0.035541264
-0.10,-11.50,11.50,64,-0.104378392,-0.104378392,-0.101781495,0.010737351,0.021669036
-0.10,-11.00,11.00,82,-0.105004125,-0.105004125,-0.102073502,0.014790728,0.027553849
-0.10,-10.50,10.50,133,-0.098569052,-0.098569052,-0.100530609,0.015926442,0.029659141
-0.10,-10.00,10.00,140,-0.105260956,-0.105260956,-0.105570319,0.014033212,0.027206816
-0.10,-9.50,9.50,184,-0.102799483,-0.102799483,-0.102918880,0.017601828,0.035095850
-0.10,-9.00,9.00,219,-0.087113022,-0.087113022,-0.081474417,0.025052630,0.054425307
-0.10,-8.50,8.50,176,-0.088630501,-0.088630501,-0.085670684,0.024353879,0.051702733
-0.10,-8.00,8.00,183,-0.083722475,-0.083722475,-0.083375715,0.020709394,0.040592084
-0.10,-7.50,7.50,183,-0.084009949,-0.084009949,-0.078696634,0.024280327,0.053803461
-0.10,-7.00,7.00,225,-0.067999180,-0.067999180,-0.059050245,0.035036110,0.078886492
-0.10,-6.50,6.50,259,-0.014923427,-0.014923427,-0.022869390,0.059505621,0.115686128
-0.10,-6.00,6.00,364,0.008416470,0.008416470,-0.002583334,0.048875593,0.108075593
-0.10,-5.50,5.50,243,-0.030762689,-0.030762689,-0.025953665,0.048945178,0.096415787
-0.10,-5.00,5.00,276,-0.021880837,-0.021880837,-0.025758320,0.039740282,0.083607920
-0.10,-4.50,4.50,316,0.002103408,0.002103408,0.001122646,0.039048868,0.077471156
-0.10,-4.00,4.00,357,-0.006700231,-0.006700231,-0.013876474,0.030502327,0.069264727
-0.10,-3.50,3.50,641,-0.002046037,-0.002046037,-0.015069965,0.034913075,0.089926766
-0.10,-3.00,3.00,1017,-0.007460758,-0.007460758,-0.016716347,0.047654614,0.096771985
-0.10,-2.50,2.50,1293,0.010002564,0.010002564,0.000445980,0.046258116,0.094939267
-0.10,-2.00,2.00,1289,0.026352863,0.026352863,0.022598258,0.055950973,0.114611416
-0.10,-1.50,1.50,1297,0.049287154,0.049287154,0.034542516,0.054241996,0.113920077
-0.10,-1.00,1.00,1240,0.057921735,0.057921735,0.045912985,0.040877729,0.093330401
-0.10,-0.50,0.50,1340,0.058589154,0.058589154,0.050092170,0.028543910,0.070710931
-0.10,0.00,0.00,7609,-0.105598522,0.047452925,0.013653886,0.080513372,0.215211808
-0.10,0.50,0.50,2059,0.053460465,-0.053460465,-0.041137094,0.023787898,0.071240044
-0.10,1.00,1.00,1900,0.055158842,-0.055158842,-0.052166445,0.020740328,0.044839242
-0.10,1.50,1.50,2068,0.053376422,-0.053376422,-0.051277694,0.017789251,0.037073985
-0.10,2.00,2.00,2301,0.049377190,-0.049377190,-0.045827130,0.018426778,0.037497534
-0.10,2.50,2.50,2249,0.045251667,-0.045251667,-0.047284237,0.017745019,0.035538468
-0.10,3.00,3.00,1294,0.043300900,-0.043300900,-0.047054514,0.020858362,0.043487633
-0.10,3.50,3.50,874,0.041903598,-0.041903598,-0.033200182,0.026304749,0.052511576
-0.10,4.00,4.00,879,0.055021663,-0.055021663,-0.054367880,0.026395335,0.052042471
-0.10,4.50,4.50,322,0.081793619,-0.081793619,-0.076129438,0.035450976,0.078073450
-0.10,5.00,5.00,248,0.093773997,-0.093773997,-0.061998924,0.034324042,0.109264622
-0.10,5.50,5.50,146,0.097975432,-0.097975432,-0.065029608,0.031476248,0.159975055
-0.10,6.00,6.00,113,0.101767341,-0.101767341,-0.079875894,0.023836748,0.068873969
-0.10,6.50,6.50,117,0.100269446,-0.100269446,-0.089815724,0.021359103,0.044810223
-0.10,7.00,7.00,158,0.101228859,-0.101228859,-0.083617800,0.024086399,0.061587638
-0.10,7.50,7.50,239,0.106056458,-0.106056458,-0.088992930,0.019628741,0.072272076
-0.10,8.00,8.00,222,0.104542392,-0.104542392,-0.089933423,0.026000109,0.085802945
-0.10,8.50,8.50,238,0.112175758,-0.112175758,-0.110624769,0.015373514,0.030687380
-0.10,9.00,9.00,177,0.114247863,-0.114247863,-0.112224233,0.012349687,0.024358437
-0.10,9.50,9.50,124,0.107862277,-0.107862277,-0.108108044,0.014819396,0.028913742
-0.10,10.00,10.00,88,0.110385154,-0.110385154,-0.108998658,0.027101877,0.054871118
-0.10,10.50,10.50,76,0.112839318,-0.112839318,-0.109764187,0.025891786,0.048183054
-0.10,11.00,11.00,87,0.114813449,-0.114813449,-0.110602972,0.022241461,0.049707113
-0.10,11.50,11.50,131,0.111336980,-0.111336980,-0.108913691,0.016509229,0.032066201
-0.10,12.00,12.00,93,0.105361387,-0.105361387,-0.103952604,0.015310985,0.030172945
-0.10,12.50,12.50,55,0.090326245,-0.090326245,-0.096630869,0.017189237,0.036175108
-0.10,13.00,13.00,72,0.108761358,-0.108761358,-0.107242220,0.022852634,0.047173842
