run_id,samples,surface_bins_from_other_runs,samples_with_surface_bin,current_rmse_radps,surface_corrected_rmse_radps
2026-04-14_04-43-48,15209,460,15143,0.303747185,0.285886271
2026-04-20_02-33-07,23147,411,16587,0.376359660,0.322730252
2026-04-20_08-38-39,62516,436,60614,0.416445072,0.547518405
2026-04-20_12-10-58,29336,431,28075,0.325357649,0.287712285
2026-04-21_00-16-10,50310,442,49328,0.305366620,0.198289426
2026-04-21_01-09-34,36807,437,35719,0.262442949,0.197941042
2026-04-21_05-32-06,116087,460,116024,0.420523351,0.457478552
2026-04-21_05-59-46,34766,460,34718,0.351723557,0.322805740
2026-05-04_16-57-53,26572,461,26572,0.328207668,0.388422182
2026-05-04_20-35-47,35213,461,35213,0.376800391,0.513423077
