run_id,csv_path,input_rows,kept_rows,gyro_bias_radps,stationary_bias_rows,extracted_samples,cutoff_reason,cutoff_first_tick,cutoff_first_time_us
2026-04-21_05-32-06,TestResults\mmlog_decode_2026-04-21_05-32-06\open_floor_main.csv,234369,234369,-0.006108652,15074,116087,sensor tail check kept all rows,,
2026-04-20_08-38-39,TestResults\mmlog_decode_2026-04-20_08-38-39\open_floor_main.csv,217867,217867,-0.001221730,28297,62516,sensor tail check kept all rows,,
2026-05-04_20-35-47,TestResults\mmlog_decode_2026-05-04_20-35-47\open_floor_main.csv,145644,145644,-0.000000000,57526,35213,sensor tail check kept all rows,,
2026-05-04_16-57-53,TestResults\mmlog_decode_2026-05-04_16-57-53\open_floor_main.csv,208375,208375,-0.000000000,166205,26572,sensor tail check kept all rows,,
2026-04-21_05-59-46,TestResults\mmlog_decode_2026-04-21_05-59-46\open_floor_main.csv,100419,100419,-0.004886922,15075,34766,sensor tail check kept all rows,,
2026-04-21_00-16-10,TestResults\mmlog_decode_2026-04-21_00-16-10\open_floor_main.csv,109329,109329,-0.008552114,15074,50310,sensor tail check kept all rows,,
2026-04-21_01-09-34,TestResults\mmlog_decode_2026-04-21_01-09-34\open_floor_main.csv,101013,101013,-0.006108652,15074,36807,sensor tail check kept all rows,,
2026-04-20_02-33-07,TestResults\mmlog_decode_2026-04-20_02-33-07\open_floor_main.csv,27971,27971,-0.001221730,254,23147,sensor tail check kept all rows,,
2026-04-20_12-10-58,TestResults\mmlog_decode_2026-04-20_12-10-58\open_floor_main.csv,86556,86556,-0.001221730,14990,29336,sensor tail check kept all rows,,
2026-04-14_04-43-48,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,116754,116754,-0.003665191,30277,15209,sensor tail check kept all rows,,
