File,Line,Type,Members,Methods,PointerMembers,Lt15,NoMethods,Pointers,Disposition
MazeMap\MazeMap\AuxMeasurementController.cpp,114,HoldPhaseState,12,0,0,True,True,False,cleaned
MazeMap\MazeMap\AuxMeasurementController.cpp,124,TurningTractionState,32,0,0,False,True,False,cleaned
MazeMap\MazeMap\AuxMeasurementModeSupport.h,10,PositionAuditFixtureGeometry,10,0,0,True,True,False,blocked
MazeMap\MazeMap\BootModeDescriptor.h,32,BootModeDescriptor,12,0,9,True,True,True,accepted
MazeMap\MazeMap\BootModeRegistry.h,14,BootModeSelectorCondition,3,2,0,True,False,False,accepted
MazeMap\MazeMap\BootModeRegistry.h,31,BootModeRegistryEntry,4,0,1,True,True,True,accepted
MazeMap\MazeMap\DiagnosticController.cpp,231,StraightPhaseMetrics,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,236,TurnPhaseMetrics,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,242,ArcPhaseMetrics,8,0,0,True,True,False,accepted
MazeMap\MazeMap\DiagnosticController.cpp,266,HoldPhaseState,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,273,StraightPhaseState,22,1,1,False,False,True,accepted
MazeMap\MazeMap\DiagnosticController.cpp,289,KickoffPhaseState,18,0,0,False,True,False,accepted
MazeMap\MazeMap\DiagnosticController.cpp,302,KickoffSweepSequenceState,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,307,ForwardPhaseState,30,0,0,False,True,False,accepted
MazeMap\MazeMap\DiagnosticController.cpp,326,ForwardSweepSequenceState,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,331,TurnPhaseState,16,0,1,False,True,True,accepted
MazeMap\MazeMap\DiagnosticController.cpp,343,ArcPhaseState,32,0,1,False,True,True,accepted
MazeMap\MazeMap\DiagnosticController.cpp,363,CharacterizationRecoveryState,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,370,CircleSequenceState,10,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticController.cpp,379,SquareSequenceState,4,0,0,True,True,False,cleaned
MazeMap\MazeMap\DiagnosticCoverage.h,7,DiagnosticSummaryInstruction,2,0,2,True,True,True,accepted
MazeMap\MazeMap\DriveBase.h,244,MeasuredKinematics,4,0,0,True,True,False,accepted
MazeMap\MazeMap\DriveBase.h,528,EncoderCycleSample,8,0,0,True,True,False,accepted
MazeMap\MazeMap\DriveBase.h,954,CommandTargets,18,0,0,False,True,False,accepted
MazeMap\MazeMap\DriveBase.h,976,ClosedLoopVelocityCommand,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\DriveBase.h,986,ResolvedVelocityDriveSignal,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\DriveBase.h,996,WheelLaunchAssistState,3,0,0,True,True,False,accepted
MazeMap\MazeMap\FrontWallCharacterizationController.cpp,145,HoldPhaseState,10,0,1,True,True,True,cleaned
MazeMap\MazeMap\FrontWallCharacterizationController.cpp,159,CaptureCurveState,11,1,1,True,False,True,cleaned
MazeMap\MazeMap\FrontWallCharacterizationStorage.h,13,FrontWallCharacterizationStorage,22,0,0,False,True,False,accepted
MazeMap\MazeMap\FrontWallCharacterizationStorage.h,32,FrontWallCharacterizationMatch,5,0,0,True,True,False,accepted
MazeMap\MazeMap\ImuCalibrationPolicy.h,8,EncoderCountPair,2,0,0,True,True,False,accepted
MazeMap\MazeMap\InPlaceTurnProfile.h,10,InPlaceTurnProfile,6,0,0,True,True,False,accepted
MazeMap\MazeMap\LoopController.cpp,632,CaptureContext,8,0,4,True,True,True,cleaned
MazeMap\MazeMap\LoopController.h,27,SensorWorkPlan,14,0,0,True,True,False,accepted
MazeMap\MazeMap\LoopController.h,38,SessionOptions,4,0,0,True,True,False,accepted
MazeMap\MazeMap\LoopController.h,44,SessionResult,4,0,0,True,True,False,accepted
MazeMap\MazeMap\LoopController.h,59,ControlVector,5,1,0,True,False,False,accepted
MazeMap\MazeMap\LoopController.h,68,TimingDiagnostics,26,0,0,False,True,False,accepted
MazeMap\MazeMap\LoopController.h,85,MeasuredMotion,4,0,0,True,True,False,accepted
MazeMap\MazeMap\LoopController.h,91,ModeState,24,0,1,False,True,True,accepted
MazeMap\MazeMap\LoopController.h,107,PauseContext,4,0,1,True,True,True,accepted
MazeMap\MazeMap\LoopController.h,113,PauseDisposition,6,3,1,True,False,True,accepted
MazeMap\MazeMap\LoopController.h,142,PauseRequest,14,0,1,True,True,True,accepted
MazeMap\MazeMap\LoopController.h,153,ModeCallbacks,4,0,1,True,True,True,accepted
MazeMap\MazeMap\LoopController.h,195,ObservedTickState,22,0,1,False,True,True,accepted
MazeMap\MazeMap\LoopController.h,217,LatchedRequests,12,0,1,True,True,True,accepted
MazeMap\MazeMap\LoopController.h,227,MotorPwmSink,4,2,2,True,False,True,accepted
MazeMap\MazeMap\LSM6DSV16X_IMU.h,141,Axes,3,0,0,True,True,False,accepted
MazeMap\MazeMap\LSM6DSV16X_IMU.h,805,Axes,3,0,0,True,True,False,accepted
MazeMap\MazeMap\ManeuverExecutor.h,34,Hooks,4,1,1,True,False,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,277,HoldRoutineState,8,0,0,True,True,False,accepted
MazeMap\MazeMap\ManeuverExecutor.h,285,SettleRoutineState,22,0,2,False,True,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,300,ReverseStraightRoutineState,20,1,1,False,False,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,315,StraightRoutineState,34,1,3,False,False,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,337,TurnRoutineState,12,0,2,True,True,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,347,ArcRoutineState,26,0,1,False,True,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,364,SmoothTurnRoutineState,16,0,1,False,True,True,accepted
MazeMap\MazeMap\ManeuverExecutor.h,376,QueueRoutineState,12,0,2,True,True,True,accepted
