master_time_us,control_tick_sequence,dt_us,section_id,primitive_id,primitive_family,direction_id,phase_id,speed_bin,start_marker_id,mirrored,repeat_index,progress_norm,mode_flags,clipping_flags,saturation_flags,logger_flags,watchdog_flags,measurement_flags,pose_x_m,pose_y_m,pose_yaw_rad,measured_linear_speed_mps,measured_angular_speed_radps,cmd_linear_mps,cmd_angular_radps,left_drive_command,right_drive_command,left_feedforward_command,right_feedforward_command,left_feedback_command,right_feedback_command,left_target_velocity_mps,right_target_velocity_mps,left_launch_assist_floor,right_launch_assist_floor,encoder_timestamp_us,left_encoder_count,right_encoder_count,left_encoder_omega_radps,right_encoder_omega_radps,left_encoder_distance_m,right_encoder_distance_m,left_encoder_velocity_mps,right_encoder_velocity_mps,imu_timestamp_us,imu_status,imu_interrupt_high,accel_bias_valid,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_temp,gyro_raw_radps,gyro_bias_radps,gyro_radps,accel_body_x_mps2,accel_body_y_mps2,planar_accel_mps2,front_timestamp_us,left_timestamp_us,right_timestamp_us,front_left_obs_class,front_right_obs_class,left_obs_class,right_obs_class,front_left_obs_rho_m,front_right_obs_rho_m,left_obs_rho_m,right_obs_rho_m,front_left_obs_confidence,front_right_obs_confidence,left_obs_confidence,right_obs_confidence,fan_duty_cycle
32324546,201,215165,1,15,7,0,3,0,0,0,1,1.0,8,0,0,0,0,120,0.2250027060508728,0.22484007477760315,1.5715073347091675,0.0,0.008529816754162312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32324547,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32325049,7,0,1,-1,1,6,147,22,3667,-7973,0.0073303827084600925,-0.0011994338128715754,0.008529816754162312,0.21582649648189545,-0.05990270897746086,0.22398528456687927,32324870,32325094,32325168,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32326747,202,2201,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715206861495972,0.0,-0.00855726096779108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32326747,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32327252,3,0,1,-8,-33,-8,23,85,4002,-7973,-0.009773843921720982,-0.0012165827210992575,-0.00855726096779108,-0.08072174340486526,0.09066342562437057,0.12139134109020233,32327072,32327296,32327369,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32327760,203,1013,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715198516845703,0.0,0.009749159216880798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32327761,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32328264,3,0,1,3,63,7,-44,39,4150,-7973,0.00855211354792118,-0.0011970453197136521,0.009749159216880798,-0.24055878818035126,-0.019367612898349762,0.24133718013763428,32328085,32328309,32328382,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32329782,204,2022,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.571513295173645,0.0,0.01826466992497444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32329783,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32330287,3,0,1,26,85,14,39,-21,3935,-7973,0.01710422709584236,-0.00116044282913208,0.01826466992497444,-0.0418706014752388,-0.16261111199855804,0.1679152250289917,32330108,32330332,32330406,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32330791,205,1009,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715136528015137,0.0,0.009693130850791931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32330792,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32331296,3,0,1,5,18,7,134,13,3713,-7973,0.00855211354792118,-0.0011410177685320377,0.009693130850791931,0.18507662415504456,-0.08109262585639954,0.20206278562545776,32331116,32331340,32331413,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32331806,206,1015,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715152025222778,0.0,-0.012273421511054039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32331806,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32332310,3,0,1,-20,-58,-11,170,85,3601,-7973,-0.013439035043120384,-0.0011656138813123107,-0.012273421511054039,0.2706758379936218,0.09100823104381561,0.28556591272354126,32332131,32332355,32332428,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32332814,207,1008,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715161561965942,0.0,-0.025661030784249306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32332815,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32333318,7,0,1,-14,-99,-22,128,120,3721,-7976,-0.02687807008624077,-0.0012170388363301754,-0.025661030784249306,0.16983692348003387,0.17440752685070038,0.24343904852867126,32333139,32333363,32333437,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32333828,208,1014,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715149641036987,0.0,-0.013416838832199574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32333828,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32334331,3,0,1,-1,-54,-12,37,95,3955,-7976,-0.014660765416920185,-0.001243926351889968,-0.013416838832199574,-0.04781411960721016,0.11435776203870773,0.12395114451646805,32334152,32334376,32334449,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32334836,209,1008,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715142488479614,0.0,0.0012414385564625263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32334837,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32335340,3,0,1,-1,48,0,-40,46,4127,-7976,0.0,-0.0012414385564625263,0.0012414385564625263,-0.23159733414649963,-0.00288477074354887,0.23161529004573822,32335161,32335384,32335457,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
32335851,210,1015,1,2,2,0,1,0,0,0,1,0.0,8,0,0,0,0,120,0.22500254213809967,0.22484007477760315,1.5715125799179077,0.0,0.021966835483908653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32335852,0,1,0.0,0.0,0.0,5.872132987860823e-06,0.0,0.0,32336354,3,0,1,24,102,17,-57,2,4116,-7976,0.02076941914856434,-0.0011974169174209237,0.021966835483908653,-0.27173078060150146,-0.10795262455940247,0.2923890948295593,32336175,32336399,32336473,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800000011920929
