segment_id,split,corrupted,stage
ofnis_000001,train,false,SEC_10_STATIC
ofnis_000002,validation,false,SEC_20_LAUNCH
ofnis_000003,held_out,false,SEC_20_LAUNCH
ofnis_000004,train,false,SEC_20_LAUNCH
ofnis_000005,train,false,SEC_20_LAUNCH
ofnis_000006,train,false,SEC_20_LAUNCH
ofnis_000007,validation,false,SEC_20_LAUNCH
ofnis_000008,validation,false,SEC_20_LAUNCH
ofnis_000009,train,false,SEC_20_LAUNCH
ofnis_000010,train,false,SEC_10_STATIC
ofnis_000011,train,false,SEC_20_LAUNCH
ofnis_000012,held_out,false,SEC_20_LAUNCH
ofnis_000013,held_out,false,SEC_20_LAUNCH
ofnis_000014,held_out,false,SEC_20_LAUNCH
ofnis_000015,validation,false,SEC_20_LAUNCH
ofnis_000016,train,false,SEC_20_LAUNCH
ofnis_000017,train,false,SEC_20_LAUNCH
ofnis_000018,held_out,false,SEC_20_LAUNCH
ofnis_000019,train,false,SEC_20_LAUNCH
ofnis_000020,train,false,SEC_20_LAUNCH
ofnis_000021,validation,false,SEC_20_LAUNCH
ofnis_000022,train,false,SEC_20_LAUNCH
ofnis_000023,train,false,SEC_20_LAUNCH
ofnis_000024,train,false,SEC_20_LAUNCH
ofnis_000025,train,false,SEC_20_LAUNCH
ofnis_000026,train,false,SEC_20_LAUNCH
ofnis_000027,held_out,false,SEC_20_LAUNCH
ofnis_000028,train,false,SEC_20_LAUNCH
ofnis_000029,validation,false,SEC_20_LAUNCH
ofnis_000030,train,false,SEC_20_LAUNCH
ofnis_000031,train,false,SEC_20_LAUNCH
ofnis_000032,held_out,false,SEC_20_LAUNCH
ofnis_000033,train,false,SEC_20_LAUNCH
ofnis_000034,validation,false,SEC_20_LAUNCH
ofnis_000035,train,false,SEC_20_LAUNCH
ofnis_000036,held_out,false,SEC_20_LAUNCH
ofnis_000037,train,false,SEC_20_LAUNCH
ofnis_000038,train,false,SEC_20_LAUNCH
ofnis_000039,train,false,SEC_20_LAUNCH
ofnis_000040,validation,false,SEC_20_LAUNCH
ofnis_000041,train,false,SEC_20_LAUNCH
ofnis_000042,validation,false,SEC_20_LAUNCH
ofnis_000043,train,false,SEC_20_LAUNCH
ofnis_000044,train,false,SEC_20_LAUNCH
ofnis_000045,train,false,SEC_20_LAUNCH
ofnis_000046,held_out,false,SEC_20_LAUNCH
ofnis_000047,held_out,false,SEC_20_LAUNCH
ofnis_000048,train,false,SEC_20_LAUNCH
ofnis_000049,train,false,SEC_20_LAUNCH
ofnis_000050,held_out,false,SEC_20_LAUNCH
ofnis_000051,train,false,SEC_20_LAUNCH
ofnis_000052,validation,false,SEC_20_LAUNCH
ofnis_000053,held_out,false,SEC_20_LAUNCH
ofnis_000054,held_out,false,SEC_20_LAUNCH
ofnis_000055,validation,false,SEC_20_LAUNCH
ofnis_000056,validation,false,SEC_20_LAUNCH
ofnis_000057,train,false,SEC_20_LAUNCH
ofnis_000058,held_out,false,SEC_20_LAUNCH
ofnis_000059,train,false,SEC_20_LAUNCH
ofnis_000060,train,false,SEC_20_LAUNCH
ofnis_000061,train,false,SEC_20_LAUNCH
ofnis_000062,train,false,SEC_20_LAUNCH
