segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000001,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_10_STATIC,static_hold,1,SEC_10_STATIC,1,hold,2,STATIC_HOLD,0,NONE,0.0,NONE,1,1,none,none,,0.800000011920929,0,null,0,,,,,,,,,0,14858,11263119,26276604,15.013485,,,,,static reliable_stationary_run rows=14859,static reliable_stationary_run rows=14859,reliable_stationary,
ofnis_000002,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,1,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,247,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,14858,15305,26276604,26727952,0.45134799999999997,14859,15105,26277608,26525062,last row of preceding reliable stationary run; rows=14859; row_index=0..14858,first reliable stationary run after active command; rows=200; row_index=15106..15305,reliable_stationary,
ofnis_000003,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,2,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,246,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,15305,15971,26727952,27402914,0.674962,15306,15551,26729628,26975950,last row of preceding reliable stationary run; rows=200; row_index=15106..15305,first reliable stationary run after active command; rows=198; row_index=15774..15971,reliable_stationary,
ofnis_000004,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,recovery,2,SEC_20_LAUNCH,3,recovery,15,S45LS_M,0,NONE,0.0,NONE,2,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.21317,0.800000011920929,221,"[0.0, 0.0]",221,0.63566,0.21317,-0.5752449631690979,0.320000022649765,-0.6356601715087891,0.3314151465892792,0.01874065399169922,0.00021714135073125362,15305,15971,26727952,27402914,0.674962,15552,15772,26976957,27200180,last row of preceding reliable stationary run; rows=200; row_index=15106..15305,first reliable stationary run after active command; rows=198; row_index=15774..15971,reliable_stationary,
ofnis_000005,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,3,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,245,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,15971,16416,27402914,27851631,0.448717,15972,16216,27404592,27649789,last row of preceding reliable stationary run; rows=198; row_index=15774..15971,first reliable stationary run after active command; rows=200; row_index=16217..16416,reliable_stationary,
ofnis_000006,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,4,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,248,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,16416,17136,27851631,28578601,0.72697,16417,16664,27852633,28100947,last row of preceding reliable stationary run; rows=200; row_index=16217..16416,first reliable stationary run after active command; rows=199; row_index=16938..17136,reliable_stationary,
ofnis_000007,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,recovery,2,SEC_20_LAUNCH,3,recovery,15,S45LS_M,0,NONE,0.0,NONE,4,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.221973,0.800000011920929,273,"[0.0, 0.0]",273,0.631325,0.221973,-0.6236012578010559,0.320000022649765,-0.6313247084617615,0.3681005835533142,0.018083274364471436,-0.012552384287118912,16416,17136,27851631,28578601,0.72697,16665,16937,28101949,28377584,last row of preceding reliable stationary run; rows=200; row_index=16217..16416,first reliable stationary run after active command; rows=199; row_index=16938..17136,reliable_stationary,
ofnis_000008,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,5,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,248,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,17136,17584,28578601,29031106,0.452505,17137,17384,28579603,28827920,last row of preceding reliable stationary run; rows=199; row_index=16938..17136,first reliable stationary run after active command; rows=200; row_index=17385..17584,reliable_stationary,
ofnis_000009,mmlog_decode_2026-04-10_18-08-20,TestResults/mmlog_decode_2026-04-10_18-08-20/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,recovery,2,SEC_20_LAUNCH,3,recovery,15,S45LS_M,0,NONE,0.0,NONE,6,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.564982,0.800000011920929,2872,"[1.0, -1.0]",2808,1.0,0.564982,-1.0,1.0,-1.0,1.0,0.0475284568965435,5.923617601394653,17584,20702,29031106,32178326,3.14722,17831,20702,29279868,32178326,last row of preceding reliable stationary run; rows=200; row_index=17385..17584,predetermined terminal fault boundary at 32179049 us; kept last row not after fault,corruption_boundary,workspace_violation: fault=WORKSPACE_VIOLATION;section_id=SEC_20_LAUNCH;primitive_id=RECOVERY;direction=NONE;phase_id=recovery;speed_bin=NONE;start_marker=C;repeat_index=6;mirrored=0;control_halted=1;extra0=0;extra1=0
ofnis_000010,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_10_STATIC,static_hold,1,SEC_10_STATIC,1,hold,2,STATIC_HOLD,0,NONE,0.0,NONE,1,1,none,none,,0.800000011920929,0,null,0,,,,,,,,,0,14866,13229337,28245970,15.016632999999999,,,,,static reliable_stationary_run rows=14867,static reliable_stationary_run rows=14867,reliable_stationary,
ofnis_000011,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,1,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,247,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,14866,15314,28245970,28698451,0.45248099999999997,14867,15113,28246973,28494313,last row of preceding reliable stationary run; rows=14867; row_index=0..14866,first reliable stationary run after active command; rows=201; row_index=15114..15314,reliable_stationary,
ofnis_000012,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,2,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,245,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,15314,15760,28698451,29148145,0.449694,15315,15559,28700081,28945435,last row of preceding reliable stationary run; rows=201; row_index=15114..15314,first reliable stationary run after active command; rows=201; row_index=15560..15760,reliable_stationary,
ofnis_000013,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,3,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,247,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,15760,16207,29148145,29598468,0.450323,15761,16007,29149761,29397067,last row of preceding reliable stationary run; rows=201; row_index=15560..15760,first reliable stationary run after active command; rows=190; row_index=16018..16207,reliable_stationary,
ofnis_000014,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,4,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,248,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,16207,16655,29598468,30051372,0.452904,16208,16455,29599477,29847994,last row of preceding reliable stationary run; rows=190; row_index=16018..16207,first reliable stationary run after active command; rows=200; row_index=16456..16655,reliable_stationary,
ofnis_000015,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,5,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,246,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,16655,17101,30051372,30504393,0.453021,16656,16901,30052471,30298829,last row of preceding reliable stationary run; rows=200; row_index=16456..16655,first reliable stationary run after active command; rows=193; row_index=16909..17101,reliable_stationary,
ofnis_000016,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,6,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,243,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,17101,17545,30504393,30951947,0.447554,17102,17344,30505864,30749330,last row of preceding reliable stationary run; rows=193; row_index=16909..17101,first reliable stationary run after active command; rows=201; row_index=17345..17545,reliable_stationary,
ofnis_000017,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,1,POSITIVE,0.0,NONE,7,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,248,"[0.17, 0.17]",1,0.17,0.17,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.17000000178813934,0.0,0.0,17545,17993,30951947,31404585,0.452638,17546,17793,30952949,31201132,last row of preceding reliable stationary run; rows=201; row_index=17345..17545,first reliable stationary run after active command; rows=200; row_index=17794..17993,reliable_stationary,
ofnis_000018,mmlog_decode_2026-04-10_18-33-52,TestResults/mmlog_decode_2026-04-10_18-33-52/open_floor_main.csv,legacy_section_phase,SEC_20_LAUNCH,launch,2,SEC_20_LAUNCH,2,launch_pulse,3,OPEN_LOOP_LAUNCH,2,NEGATIVE,0.0,NONE,8,1,observed_drive_command_magnitude,observed_drive_command_magnitude,0.17,0.800000011920929,245,"[-0.17, -0.17]",1,0.17,0.17,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,-0.17000000178813934,0.0,0.0,17993,18439,31404585,31854034,0.449449,17994,18238,31406259,31651593,last row of preceding reliable stationary run; rows=200; row_index=17794..17993,first reliable stationary run after active command; rows=201; row_index=18239..18439,reliable_stationary,
