split,stage,family,segments,total_rows
held_out,SEC_10_STATIC,static_hold,9,102401
held_out,SEC_20_LAUNCH,launch,230,141068
held_out,launch,launch,18,13565
held_out,static,static_hold,1,15503
held_out,yaw_launch,launch,110,171183
train,SEC_10_STATIC,static_hold,26,311885
train,SEC_20_LAUNCH,launch,699,887547
train,SEC_20_LAUNCH,recovery,2,1388
train,SEC_30_STRAIGHT,straight,12,397512
train,SEC_50_SMOOTH,static_hold,1,254
train,launch,launch,36,26913
train,mixed_launch,launch,30,35753
train,static,static_hold,4,42315
train,yaw_launch,launch,188,169632
validation,SEC_10_STATIC,static_hold,9,88336
validation,SEC_20_LAUNCH,launch,226,211445
validation,SEC_30_STRAIGHT,straight,6,198756
validation,launch,launch,18,13330
validation,mixed_launch,launch,10,11944
validation,static,static_hold,1,30523
validation,yaw_launch,launch,54,49190
