phase,candidate_id,trial_id,selection_score,sample_count
train_screen,baseline/current_holdover,baseline/current_holdover:fixed,5.37665243193,64
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_001,4.25130596136,69
train_screen,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:nominal,4.83069964069,66
train_screen,candidate_2_stribeck,candidate_2_stribeck:nominal,4.03554576128,66
train_screen,candidate_2_stribeck,candidate_2_stribeck:trial_001,4.96177531684,65
train_screen,candidate_3_load_sensitive,candidate_3_load_sensitive:nominal,4.03352867204,66
train_screen,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_001,5.01171447283,69
validation_select,baseline/current_holdover,baseline/current_holdover:fixed,4.14151590352,27
validation_select,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:nominal,3.94024176677,27
validation_select,candidate_1_algebraic_envelope,candidate_1_algebraic_envelope:trial_001,5.80958946194,28
validation_select,candidate_2_stribeck,candidate_2_stribeck:nominal,5.62064772321,28
validation_select,candidate_3_load_sensitive,candidate_3_load_sensitive:nominal,5.87040375102,26
