split,stage,family,segments,total_rows
held_out,SEC_10_STATIC,static_hold,9,121123
held_out,SEC_20_LAUNCH,launch,232,259811
held_out,SEC_30_STRAIGHT,straight,3,99378
held_out,launch,launch,12,9101
held_out,mixed_launch,launch,10,11877
held_out,static,static_hold,1,15501
held_out,yaw_launch,launch,76,120623
train,SEC_10_STATIC,static_hold,26,275250
train,SEC_20_LAUNCH,launch,691,763362
train,SEC_20_LAUNCH,recovery,2,1388
train,SEC_30_STRAIGHT,straight,12,397512
train,SEC_50_SMOOTH,static_hold,1,254
train,launch,launch,48,35687
train,mixed_launch,launch,20,23864
train,static,static_hold,4,61674
train,yaw_launch,launch,200,201466
validation,SEC_10_STATIC,static_hold,9,106249
validation,SEC_20_LAUNCH,launch,232,216887
validation,SEC_30_STRAIGHT,straight,3,99378
validation,launch,launch,12,9020
validation,mixed_launch,launch,10,11956
validation,static,static_hold,1,11166
validation,yaw_launch,launch,76,67916
