segment_id,split,stage,family,row_count,coverage_key,parameter_json,observed_command_signature
ofnis_000004,train,SEC_20_LAUNCH,recovery,667,"stage=SEC_20_LAUNCH|family=recovery|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.21317|observed_command=pair=0,0;mag=0.21317;linear=0.0187406539917;yaw=0.000217141350731","{""cmd_linear_mps_median"": 0.01874065399169922, ""cmd_yaw_radps_median"": 0.00021714135073125362, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.21317, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0,0;mag=0.21317;linear=0.0187406539917;yaw=0.000217141350731"
ofnis_000007,train,SEC_20_LAUNCH,recovery,721,"stage=SEC_20_LAUNCH|family=recovery|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.221973|observed_command=pair=0,0;mag=0.221973;linear=0.0180832743645;yaw=-0.0125523842871","{""cmd_linear_mps_median"": 0.018083274364471436, ""cmd_yaw_radps_median"": -0.012552384287118912, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.221973, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0,0;mag=0.221973;linear=0.0180832743645;yaw=-0.0125523842871"
ofnis_000013,train,SEC_20_LAUNCH,launch,448,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000016,train,SEC_20_LAUNCH,launch,445,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000024,train,SEC_20_LAUNCH,launch,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.18|observed_command=pair=-0.18,-0.18;mag=0.18;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.18, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.18,-0.18;mag=0.18;linear=0;yaw=0"
ofnis_000042,train,SEC_20_LAUNCH,launch,446,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.2|observed_command=pair=-0.2,-0.2;mag=0.2;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.2, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.2,-0.2;mag=0.2;linear=0;yaw=0"
ofnis_000062,train,SEC_20_LAUNCH,launch,448,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.22|observed_command=pair=-0.22,-0.22;mag=0.22;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.22, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.22,-0.22;mag=0.22;linear=0;yaw=0"
ofnis_000082,train,SEC_20_LAUNCH,launch,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.24|observed_command=pair=-0.24,-0.24;mag=0.24;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.24, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.24,-0.24;mag=0.24;linear=0;yaw=0"
ofnis_000085,train,SEC_20_LAUNCH,launch,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.24|observed_command=pair=0.24,0.24;mag=0.24;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.24, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.24,0.24;mag=0.24;linear=0;yaw=0"
ofnis_000094,train,SEC_20_LAUNCH,launch,446,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.25|observed_command=pair=-0.25,-0.25;mag=0.25;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.25, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.25,-0.25;mag=0.25;linear=0;yaw=0"
ofnis_000157,train,SEC_20_LAUNCH,launch,739,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.35|observed_command=pair=0.35,0.35;mag=0.35;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.35, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.35,0.35;mag=0.35;linear=0;yaw=0"
ofnis_000176,train,SEC_20_LAUNCH,launch,741,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.4|observed_command=pair=-0.4,-0.4;mag=0.4;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.4, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.4,-0.4;mag=0.4;linear=0;yaw=0"
ofnis_000283,train,SEC_20_LAUNCH,launch,2606,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.32|observed_command=pair=-0.32,-0.32;mag=0.32;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.32, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.32,-0.32;mag=0.32;linear=0;yaw=0"
ofnis_000284,train,SEC_20_LAUNCH,launch,2637,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.32|observed_command=pair=0.32,0.32;mag=0.32;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.32, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.32,0.32;mag=0.32;linear=0;yaw=0"
ofnis_000291,train,SEC_20_LAUNCH,launch,2571,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.32|observed_command=pair=-0.32,-0.32;mag=0.32;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.32, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.32,-0.32;mag=0.32;linear=0;yaw=0"
ofnis_000300,train,SEC_20_LAUNCH,launch,2982,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.35|observed_command=pair=0.35,0.35;mag=0.35;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.35, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.35,0.35;mag=0.35;linear=0;yaw=0"
ofnis_000525,train,SEC_20_LAUNCH,launch,669,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.26|observed_command=pair=-0.26,-0.26;mag=0.26;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.26, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.26,-0.26;mag=0.26;linear=0;yaw=0"
ofnis_000610,train,SEC_20_LAUNCH,launch,733,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.26|observed_command=pair=0.26,0.26;mag=0.26;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.26, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.26,0.26;mag=0.26;linear=0;yaw=0"
ofnis_000720,train,SEC_20_LAUNCH,launch,814,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.29|observed_command=pair=0.29,0.29;mag=0.29;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.29, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.29,0.29;mag=0.29;linear=0;yaw=0"
ofnis_000913,train,SEC_10_STATIC,static_hold,1621,stage=SEC_10_STATIC|family=static_hold|parameter=none|kind=none|value=,"{""cmd_linear_mps_median"": null, ""cmd_yaw_radps_median"": null, ""parameter"": ""none"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": null, ""test_value_kind"": ""none""}",
ofnis_001053,train,SEC_30_STRAIGHT,straight,33126,stage=SEC_30_STRAIGHT|family=straight|parameter=straight_speed_mps|kind=legacy_straight_speed_bin_mps|value=0.1,"{""cmd_linear_mps_median"": -0.10000000149011612, ""cmd_yaw_radps_median"": 0.025971989147365093, ""parameter"": ""straight_speed_mps"", ""speed_bin"": 1.0, ""speed_bin_label"": ""LOW"", ""test_value"": 0.1, ""test_value_kind"": ""legacy_straight_speed_bin_mps""}","pair=-0.037394,0.028471;mag=0.183737;linear=-0.10000000149;yaw=0.0259719891474"
ofnis_001057,train,SEC_30_STRAIGHT,straight,33126,stage=SEC_30_STRAIGHT|family=straight|parameter=straight_speed_mps|kind=legacy_straight_speed_bin_mps|value=0.3,"{""cmd_linear_mps_median"": -0.30000001192092896, ""cmd_yaw_radps_median"": 0.060833197087049484, ""parameter"": ""straight_speed_mps"", ""speed_bin"": 2.0, ""speed_bin_label"": ""MEDIUM"", ""test_value"": 0.3, ""test_value_kind"": ""legacy_straight_speed_bin_mps""}","pair=-1,-1;mag=0.176754;linear=-0.300000011921;yaw=0.060833197087"
