candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,rejected_rate_penalty,finite_count,nonfinite_count,accepted_only_sum_nis,accepted_only_sum_nis_sq,accepted_only_rms_nis,accepted_only_sqrt_mean_nis,physical_residual_rms,segment_count
baseline/current_holdover,all,1308080,122180411.074,617151351360,686.876549347,9.66459452865,1248688,59392,0.0454039508287,0.0908079016574,1308080,0,113582469.751,614537942148,701.531831862,9.53737117542,9.32397144695,562
baseline/current_holdover,held_out,160000,990624.792656,112008813.056,26.4585540346,2.48825339427,155854,4146,0.0259125,0.051825,160000,0,659425.75999,34682525.0557,14.9175113818,2.05695114966,2.58149243497,128
baseline/current_holdover,train,821670,48062096.4294,173306718813,459.260383986,7.64808383528,785280,36390,0.0442878527876,0.0885757055752,821670,0,43245497.2245,172052557541,468.078073892,7.42092733566,7.15410870426,319
baseline/current_holdover,validation,326410,73127689.8523,443732623734,1165.9473834,14.9678423155,307554,18856,0.0577678379952,0.11553567599,326410,0,69677546.7666,442450702081,1199.42129279,15.0517063137,14.7068253567,115
candidate_1_algebraic_envelope,all,1308080,133595514.73,658567465286,709.549965264,10.1059881819,1241481,66599,0.0509135526879,0.101827105376,1308080,0,114484395.042,645957319478,721.326476114,9.60291551686,9.88399272387,562
candidate_1_algebraic_envelope,held_out,160000,518668.993882,135619244.803,29.1139190082,1.8004669427,159154,846,0.0052875,0.010575,160000,0,294705.559065,10845259.1374,8.2548880462,1.36077206436,2.64132675294,128
candidate_1_algebraic_envelope,train,821670,56400774.7117,213477264657,509.714630371,8.28502492572,776636,45034,0.0548078912459,0.109615782492,821670,0,43264286.4465,204895918748,513.63888558,7.46373160332,8.15718180574,319
candidate_1_algebraic_envelope,validation,326410,76676071.0245,444954581384,1167.5516815,15.3266838022,305691,20719,0.0634753837199,0.12695076744,326410,0,70925403.036,441050555471,1201.16552908,15.2320929025,14.8520686803,115
candidate_2_stribeck,all,1308080,119712150.618,603603963402,679.295736213,9.56647550214,1252351,55729,0.0426036633845,0.085207326769,1308080,0,104587119.051,594507263427,688.994173115,9.1385242078,9.43002672026,562
candidate_2_stribeck,held_out,160000,1364582.58539,815353335.02,71.3859814241,2.92038373483,158643,1357,0.00848125,0.0169625,160000,0,376635.158547,3435847.27023,4.65378663693,1.54081313597,3.71986760077,128
candidate_2_stribeck,train,821670,43737469.9537,165753834560,449.14138795,7.29588723961,788384,33286,0.0405101804861,0.0810203609722,821670,0,35658525.6151,161316337202,452.345501128,6.72531747174,7.21821377167,319
candidate_2_stribeck,validation,326410,74610098.0784,437034775507,1157.11432503,15.1187914964,305324,21086,0.0645997365277,0.129199473055,326410,0,68551958.2778,433187490378,1191.12538845,14.9840585395,14.7792394775,115
candidate_3_load_sensitive,all,1308080,124377435.614,611004225206,683.447176988,9.75110081202,1250271,57809,0.0441937801969,0.0883875603939,1308080,0,105632464.554,596898250745,690.952311671,9.19171663617,9.6658167156,562
candidate_3_load_sensitive,held_out,160000,1261838.35975,803108304.308,70.8479138855,2.8082894702,158758,1242,0.0077625,0.015525,160000,0,339810.598258,2762929.82725,4.17173888856,1.46302130448,3.64213130271,128
candidate_3_load_sensitive,train,821670,46477513.8185,170151224947,455.060169904,7.5209504764,787467,34203,0.0416262002994,0.0832524005988,821670,0,36049668.1747,162818246900,454.710890247,6.76603833731,7.55626557753,319
candidate_3_load_sensitive,validation,326410,76638083.4354,440049891954,1161.09894811,15.322886686,304046,22364,0.0685150577495,0.137030115499,326410,0,69242985.7809,434077240915,1194.85130119,15.0910078891,14.9725687798,115
