segment_id,split,stage,family,corrupted,row_count,coverage_key,parameter_json,observed_command_signature
ofnis_000002,train,SEC_20_LAUNCH,launch,false,448,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000003,train,SEC_20_LAUNCH,launch,false,667,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000127,train,SEC_20_LAUNCH,launch,false,742,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.3|observed_command=pair=0.3,0.3;mag=0.3;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.3, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.3,0.3;mag=0.3;linear=0;yaw=0"
ofnis_000132,train,SEC_20_LAUNCH,launch,false,741,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.3|observed_command=pair=-0.3,-0.3;mag=0.3;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.3, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.3,-0.3;mag=0.3;linear=0;yaw=0"
ofnis_000138,train,SEC_20_LAUNCH,launch,false,742,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.3|observed_command=pair=-0.3,-0.3;mag=0.3;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.3, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.3,-0.3;mag=0.3;linear=0;yaw=0"
ofnis_000143,train,SEC_20_LAUNCH,launch,false,742,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.35|observed_command=pair=0.35,0.35;mag=0.35;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.35, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.35,0.35;mag=0.35;linear=0;yaw=0"
ofnis_000160,train,SEC_20_LAUNCH,launch,false,740,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.35|observed_command=pair=-0.35,-0.35;mag=0.35;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.35, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.35,-0.35;mag=0.35;linear=0;yaw=0"
ofnis_000176,train,SEC_20_LAUNCH,launch,false,741,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.4|observed_command=pair=-0.4,-0.4;mag=0.4;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.4, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.4,-0.4;mag=0.4;linear=0;yaw=0"
ofnis_000184,train,SEC_20_LAUNCH,launch,false,742,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.45|observed_command=pair=-0.45,-0.45;mag=0.45;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.45, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.45,-0.45;mag=0.45;linear=0;yaw=0"
ofnis_000223,train,SEC_20_LAUNCH,launch,false,2597,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.23|observed_command=pair=-0.23,-0.23;mag=0.23;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.23, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.23,-0.23;mag=0.23;linear=0;yaw=0"
