segment_id,split,stage,family,corrupted,row_count,coverage_key,parameter_json,observed_command_signature
ofnis_000013,train,SEC_20_LAUNCH,launch,false,448,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000014,train,SEC_20_LAUNCH,launch,false,449,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000015,train,SEC_20_LAUNCH,launch,false,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000016,train,SEC_20_LAUNCH,launch,false,445,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000017,train,SEC_20_LAUNCH,launch,false,449,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000018,train,SEC_20_LAUNCH,launch,false,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000019,train,SEC_20_LAUNCH,launch,false,449,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=0.17,0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.17,0.17;mag=0.17;linear=0;yaw=0"
ofnis_000020,train,SEC_20_LAUNCH,launch,false,448,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.17|observed_command=pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.17, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.17,-0.17;mag=0.17;linear=0;yaw=0"
ofnis_000023,train,SEC_20_LAUNCH,launch,false,447,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.18|observed_command=pair=0.18,0.18;mag=0.18;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.18, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.18,0.18;mag=0.18;linear=0;yaw=0"
ofnis_000025,train,SEC_20_LAUNCH,launch,false,449,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.18|observed_command=pair=0.18,0.18;mag=0.18;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.18, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.18,0.18;mag=0.18;linear=0;yaw=0"
ofnis_000026,train,SEC_20_LAUNCH,launch,false,446,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.18|observed_command=pair=-0.18,-0.18;mag=0.18;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.18, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=-0.18,-0.18;mag=0.18;linear=0;yaw=0"
