source_log,split,segments,total_rows,stage_family_count_json
mmlog_decode_2026-04-10_18-33-52,train,72,46660,"{""SEC_10_STATIC/static_hold"": 1, ""SEC_20_LAUNCH/launch"": 71}"
mmlog_decode_2026-04-10_18-33-52,validation,19,8509,"{""SEC_20_LAUNCH/launch"": 19}"
mmlog_decode_2026-04-15_02-09-58,train,62,471937,"{""SEC_10_STATIC/static_hold"": 1, ""SEC_20_LAUNCH/launch"": 48, ""SEC_30_STRAIGHT/straight"": 12, ""SEC_50_SMOOTH/smooth_turn"": 1}"
mmlog_decode_2026-04-15_02-09-58,validation,18,208514,"{""SEC_20_LAUNCH/launch"": 12, ""SEC_30_STRAIGHT/straight"": 6}"
mmlog_decode_2026-04-20_04-54-09,train,44,105651,"{""SEC_20_LAUNCH/launch"": 43, ""SEC_40_YAW/in_place_turn"": 1}"
mmlog_decode_2026-04-20_04-54-09,validation,18,31593,"{""SEC_10_STATIC/static_hold"": 1, ""SEC_20_LAUNCH/launch"": 17}"
mmlog_decode_2026-04-20_10-22-09,train,1,15002,"{""SEC_10_STATIC/static_hold"": 1}"
mmlog_decode_2026-04-20_10-22-09,validation,1,84916,"{""SEC_40_YAW/in_place_turn"": 1}"
mmlog_decode_2026-04-22_12-10-34,train,2,68966,"{""SEC_10_STATIC/static_hold"": 1, ""SEC_40_YAW/in_place_turn"": 1}"
mmlog_decode_2026-05-04_16-57-53,held_out,129,200251,"{""launch/launch"": 18, ""static/static_hold"": 1, ""yaw_launch/launch"": 110}"
mmlog_decode_2026-06-08_23-37-25,train,72,183931,"{""launch/launch"": 10, ""mixed_launch/launch"": 29, ""smooth/straight"": 1, ""static/static_hold"": 1, ""yaw_launch/launch"": 31}"
mmlog_decode_2026-06-08_23-37-25,validation,30,35416,"{""launch/launch"": 8, ""mixed_launch/launch"": 11, ""yaw_launch/launch"": 11}"
mmlog_decode_2026-06-09_23-36-21,train,71,116294,"{""launch/launch"": 14, ""mixed_launch/launch"": 31, ""straight/straight"": 1, ""yaw_launch/launch"": 25}"
mmlog_decode_2026-06-09_23-36-21,validation,31,71157,"{""launch/launch"": 4, ""mixed_launch/launch"": 9, ""static/static_hold"": 1, ""yaw_launch/launch"": 17}"
