segment_id,log_id,log_path,schema_kind,stage,family,section_id,section_name,phase_id,phase_name,primitive_id,primitive_name,direction_id,direction_name,speed_bin,speed_bin_label,repeat_index,slot_occurrence_index,parameter,test_value_kind,test_value,fan_duty_cycle,active_command_rows,observed_command_pair_mode,observed_command_pair_distinct_count,observed_command_magnitude_max,observed_command_magnitude_median,left_drive_command_min,left_drive_command_max,right_drive_command_min,right_drive_command_max,cmd_linear_mps_median,cmd_yaw_radps_median,segment_start_row_index,segment_end_row_index,segment_start_time_us,segment_end_time_us,segment_duration_s,active_start_row_index,active_end_row_index,active_start_time_us,active_end_time_us,start_criterion,end_criterion,end_reason,corruption_note
ofnis_000001,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,static,static_hold,1,SEC_10_STATIC,1,static,0,MC_NONE,,,0.0,,1,1,none,none,,0.8,0,null,0,,,,,,,,,0,30501,44773845,75274845,30.500999999999998,,,,,static reliable_stationary_run rows=30502,static reliable_stationary_run rows=30502,reliable_stationary,
ofnis_000002,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,1,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,30501,31235,75274845,76008845,0.734,30502,30751,75275845,75524845,last row of preceding reliable stationary run; rows=30502; row_index=0..30501,first reliable stationary run after active command; rows=246; row_index=30990..31235,reliable_stationary,
ofnis_000003,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,1,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,31235,31943,76008845,76716845,0.708,31236,31485,76009845,76258845,last row of preceding reliable stationary run; rows=246; row_index=30990..31235,first reliable stationary run after active command; rows=215; row_index=31729..31943,reliable_stationary,
ofnis_000004,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,2,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,31943,32691,76716845,77464845,0.748,31944,32193,76717845,76966845,last row of preceding reliable stationary run; rows=215; row_index=31729..31943,first reliable stationary run after active command; rows=243; row_index=32449..32691,reliable_stationary,
ofnis_000005,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,2,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,32691,33398,77464845,78171845,0.707,32692,32941,77465845,77714845,last row of preceding reliable stationary run; rows=243; row_index=32449..32691,first reliable stationary run after active command; rows=215; row_index=33184..33398,reliable_stationary,
ofnis_000006,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.25,,3,1,drive_command_bin,logged_drive_command_bin,0.25,0.8,250,"[0.25, 0.25]",1,0.25,0.25,0.25,0.25,0.25,0.25,,,33398,34136,78171845,78909845,0.738,33399,33648,78172845,78421845,last row of preceding reliable stationary run; rows=215; row_index=33184..33398,first reliable stationary run after active command; rows=255; row_index=33882..34136,reliable_stationary,
ofnis_000007,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.25,,3,1,drive_command_bin,logged_drive_command_bin,-0.25,0.8,250,"[-0.25, -0.25]",1,0.25,0.25,-0.25,-0.25,-0.25,-0.25,,,34136,34849,78909845,79622845,0.713,34137,34386,78910845,79159845,last row of preceding reliable stationary run; rows=255; row_index=33882..34136,first reliable stationary run after active command; rows=221; row_index=34629..34849,reliable_stationary,
ofnis_000008,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,1,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,34849,35702,79622845,80475845,0.853,34850,35099,79623845,79872845,last row of preceding reliable stationary run; rows=221; row_index=34629..34849,first reliable stationary run after active command; rows=255; row_index=35448..35702,reliable_stationary,
ofnis_000009,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,1,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,35702,36468,80475845,81241845,0.766,35703,35952,80476845,80725845,last row of preceding reliable stationary run; rows=255; row_index=35448..35702,first reliable stationary run after active command; rows=212; row_index=36257..36468,reliable_stationary,
ofnis_000010,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,0.30000001192092896,,2,1,drive_command_bin,logged_drive_command_bin,0.3,0.8,250,"[0.3, 0.3]",1,0.3,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,,,36468,37274,81241845,82047845,0.8059999999999999,36469,36718,81242845,81491845,last row of preceding reliable stationary run; rows=212; row_index=36257..36468,first reliable stationary run after active command; rows=229; row_index=37046..37274,reliable_stationary,
ofnis_000011,mmlog_decode_2026-06-09_23-36-21,TestResults/mmlog_decode_2026-06-09_23-36-21/open_floor_main.csv,compact_phase_battery,launch,launch,2,SEC_20_LAUNCH,2,launch,0,MC_NONE,,,-0.30000001192092896,,2,1,drive_command_bin,logged_drive_command_bin,-0.3,0.8,250,"[-0.3, -0.3]",1,0.3,0.3,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,,37274,38055,82047845,82828845,0.7809999999999999,37275,37524,82048845,82297845,last row of preceding reliable stationary run; rows=229; row_index=37046..37274,first reliable stationary run after active command; rows=200; row_index=37856..38055,reliable_stationary,
