stage,log_parameter,count,finite_count,nonfinite_count,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,accepted_only_rms_nis,accepted_only_sqrt_mean_nis,physical_residual_rms,segment_count
all,forward_accel_nis,261616,261616,0,87.223024471,5.43511847503,221883,39733,0.151875267568,10.4508263748,2.76127672393,6.61313818736,
all,right_accel_nis,261616,261616,0,49.9266208738,3.42032251485,241957,19659,0.0751444865757,4.46111794989,1.43622077704,4.26994958018,
SEC_20_LAUNCH,forward_accel_nis,52167,52167,0,26.9644955099,3.90376701662,43939,8228,0.157724231794,10.5042547561,2.70506098611,4.74034906603,210
SEC_20_LAUNCH,right_accel_nis,52167,52167,0,11.562797192,0.789447931704,52074,93,0.00178273621255,0.611913358014,0.389176213867,1.17435964291,210
SEC_30_STRAIGHT,forward_accel_nis,32803,32803,0,30.4158443435,4.50760559614,30483,2320,0.0707252385453,16.5032487353,4.02776235934,5.48954043385,18
SEC_30_STRAIGHT,right_accel_nis,32803,32803,0,7.64896860858,0.774675985446,32654,149,0.00454226747554,1.07666858342,0.427065058909,0.973864682907,18
SEC_40_YAW,forward_accel_nis,18087,18087,0,36.2115884442,2.88960042844,17114,973,0.0537955437607,4.23131231515,1.55530203845,3.50341266907,3
SEC_40_YAW,right_accel_nis,18087,18087,0,52.8569547596,3.46781303933,16943,1144,0.0632498479571,4.52817081006,1.68132651587,4.28307330329,3
SEC_50_SMOOTH,forward_accel_nis,220,220,0,94.3613203935,6.14299486991,168,52,0.236363636364,9.13799312489,2.30115150732,7.64423701149,1
SEC_50_SMOOTH,right_accel_nis,220,220,0,37.3679842813,3.4624565145,199,21,0.0954545454545,3.57579729426,1.37837902785,4.26617808658,1
launch,forward_accel_nis,13500,13500,0,36.9704745596,5.11362150355,9894,3606,0.267111111111,14.799992729,3.7046587483,6.21442743836,54
launch,right_accel_nis,13500,13500,0,10.1801653263,0.851094843918,13477,23,0.0017037037037,1.17680286917,0.580876084934,1.23675871934,54
mixed_launch,forward_accel_nis,28000,28000,0,23.003870575,4.22628988346,24894,3106,0.110928571429,14.4929616547,3.72543333217,5.14232490521,80
mixed_launch,right_accel_nis,28000,28000,0,10.0426494703,0.935361491813,27940,60,0.00214285714286,1.59149130101,0.696627456803,1.38851075246,80
smooth,forward_accel_nis,4244,4244,0,273.267057313,15.4565728664,196,4048,0.953817153629,12.3096473505,3.03690170429,18.7398533616,1
smooth,right_accel_nis,4244,4244,0,216.416344024,13.9345627781,217,4027,0.948868991517,10.6567016032,2.84898098811,17.2053182613,1
straight,forward_accel_nis,1095,1095,0,60.7258382411,5.13144373293,861,234,0.213698630137,8.8779559114,2.4570306261,6.21820986791,1
straight,right_accel_nis,1095,1095,0,7.00387523845,2.13920000646,1085,10,0.00913242009132,5.66508864602,2.05712874647,2.63519192011,1
yaw_launch,forward_accel_nis,111500,111500,0,117.605293768,6.14587965178,94334,17166,0.153955156951,5.88715291464,1.91282160597,7.48766552181,194
yaw_launch,right_accel_nis,111500,111500,0,59.0917273601,4.15489852989,97368,14132,0.126744394619,6.6138175711,2.05831868844,5.18058447986,194
