"stage","log_parameter","count","finite_count","accepted_count","rejected_count","rejected_rate","all_finite_rms_nis","all_finite_sqrt_mean_nis","physical_residual_rms"
"launch","forward_accel_nis","13500","13500","13450","50","0.003703703703703704","11.832659495121183","1.5027107895013279","4.195618591003378"
"launch","right_accel_nis","13500","13500","13252","248","0.01837037037037037","9.533812443225816","1.6812877846152028","2.9119946459504065"
"mixed_launch","forward_accel_nis","28000","28000","27317","683","0.024392857142857143","65.71361217292372","2.9641418986295895","6.9807445474754"
"mixed_launch","right_accel_nis","28000","28000","25391","2609","0.09317857142857143","53.22559026195348","3.506038300444779","6.024130137378793"
"SEC_20_LAUNCH","forward_accel_nis","52167","52167","52111","56","0.0010734755688462055","10.64436497919038","1.171692484058602","2.9420131019740454"
"SEC_20_LAUNCH","right_accel_nis","52167","52167","51811","356","0.00682423754480802","5.487688646761235","1.1926036863499916","2.059006180407262"
"SEC_30_STRAIGHT","forward_accel_nis","32803","32803","31381","1422","0.043349693625583025","156.9139702057137","5.151066952796199","8.112248276323925"
"SEC_30_STRAIGHT","right_accel_nis","32803","32803","30612","2191","0.06679267140200591","110.19036799045878","4.549899930648881","6.661551819244598"
"SEC_40_YAW","forward_accel_nis","18087","18087","16251","1836","0.10150937137170343","157.94888517280802","5.924672827335633","7.5779188851215915"
"SEC_40_YAW","right_accel_nis","18087","18087","15111","2976","0.16453806601426438","169.9756696308098","6.89580597646353","8.804384927725614"
"SEC_50_SMOOTH","forward_accel_nis","220","220","160","60","0.2727272727272727","234.22463328161942","10.223996811623667","13.491417562900002"
"SEC_50_SMOOTH","right_accel_nis","220","220","159","61","0.2772727272727273","212.67436998549513","9.98912969621114","13.7634606779"
"smooth","forward_accel_nis","4244","4244","149","4095","0.9648916116870877","811.2596344954766","27.229777588580532","33.9067874835"
"smooth","right_accel_nis","4244","4244","110","4134","0.974081055607917","704.294921527311","25.213020181738074","32.4699624746"
"straight","forward_accel_nis","1095","1095","647","448","0.4091324200913242","325.50262912615085","12.173912754806642","17.1248314318"
"straight","right_accel_nis","1095","1095","448","647","0.5908675799086758","234.45709147287016","10.94899006981276","16.4475644348"
"yaw_launch","forward_accel_nis","111500","111500","92659","18841","0.16897757847533632","180.66529136491124","7.340795521442973","10.269714039838398"
"yaw_launch","right_accel_nis","111500","111500","85614","25886","0.23216143497757846","115.84106478396919","6.35503539081705","8.497100596606055"
