"stage","channel","count","finite_count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"launch","forward_accel","13500","13500","13450","50","0.003703703703703704","11.832659495121183","1.5027107895013279","4.195618591003378"
"launch","left_encoder","13500","13500","13500","0","0","0.6898719908809707","0.6163076824414656","0.6582804266549656"
"launch","right_accel","13500","13500","13252","248","0.01837037037037037","9.533812443225816","1.6812877846152028","2.9119946459504065"
"launch","right_encoder","13500","13500","13500","0","0","0.6619205983392402","0.6047959896528929","0.6521646449609316"
"launch","yaw_rate","13500","13500","13500","0","0","3.329940703011814","1.263836987108291","0.09181248275497071"
"mixed_launch","forward_accel","28000","28000","27317","683","0.024392857142857143","65.71361217292372","2.9641418986295895","6.9807445474754"
"mixed_launch","left_encoder","28000","28000","28000","0","0","2.793738270816861","0.8151326459849079","0.8782533049537395"
"mixed_launch","right_accel","28000","28000","25391","2609","0.09317857142857143","53.22559026195348","3.506038300444779","6.024130137378793"
"mixed_launch","right_encoder","28000","28000","28000","0","0","5.5940445684079645","0.910834360031465","0.9819223079274378"
"mixed_launch","yaw_rate","28000","28000","28000","0","0","77.6739336582388","2.375497574756332","0.16645626522712076"
"SEC_20_LAUNCH","forward_accel","52167","52167","52111","56","0.0010734755688462055","10.64436497919038","1.171692484058602","2.9420131019740454"
"SEC_20_LAUNCH","left_encoder","52167","52167","52167","0","0","0.4577046671186424","0.530619854623921","0.5719640302526655"
"SEC_20_LAUNCH","right_accel","52167","52167","51811","356","0.00682423754480802","5.487688646761235","1.1926036863499916","2.059006180407262"
"SEC_20_LAUNCH","right_encoder","52167","52167","52167","0","0","0.4789212747001931","0.541403639979789","0.5852573336023443"
"SEC_20_LAUNCH","yaw_rate","52167","52167","52167","0","0","2.2472161012048404","0.9003496135560886","0.06681132966230048"
"SEC_30_STRAIGHT","forward_accel","32803","32803","31381","1422","0.043349693625583025","156.9139702057137","5.151066952796199","8.112248276323925"
"SEC_30_STRAIGHT","left_encoder","32803","32803","32803","0","0","12.67907170307882","1.2679117587063522","1.379470181517688"
"SEC_30_STRAIGHT","right_accel","32803","32803","30612","2191","0.06679267140200591","110.19036799045878","4.549899930648881","6.661551819244598"
"SEC_30_STRAIGHT","right_encoder","32803","32803","32803","0","0","45.84590099354201","2.134244392341228","3.977116527888452"
"SEC_30_STRAIGHT","yaw_rate","32803","32803","32803","0","0","123.90343681159241","3.5957125430652543","0.21269574629927915"
"SEC_40_YAW","forward_accel","18087","18087","16251","1836","0.10150937137170343","157.94888517280802","5.924672827335633","7.5779188851215915"
"SEC_40_YAW","left_encoder","18087","18087","18087","0","0","3695.286344495701","43.2720821045609","44.22323398801367"
"SEC_40_YAW","right_accel","18087","18087","15111","2976","0.16453806601426438","169.9756696308098","6.89580597646353","8.804384927725614"
"SEC_40_YAW","right_encoder","18087","18087","18087","0","0","3985.70828842268","45.140639267916924","46.10396050136026"
"SEC_40_YAW","yaw_rate","18087","18087","18087","0","0","1462.6493870038084","26.181933488885434","1.031616054344214"
"SEC_50_SMOOTH","forward_accel","220","220","160","60","0.2727272727272727","234.22463328161942","10.223996811623667","13.491417562900002"
"SEC_50_SMOOTH","left_encoder","220","220","220","0","0","2337.4913009269344","43.281228566624165","44.321495958"
"SEC_50_SMOOTH","right_accel","220","220","159","61","0.2772727272727273","212.67436998549513","9.98912969621114","13.7634606779"
"SEC_50_SMOOTH","right_encoder","220","220","220","0","0","2634.3539707367277","45.80180688520923","46.8178896436"
"SEC_50_SMOOTH","yaw_rate","220","220","220","0","0","1532.4351411278835","36.24569506099373","1.46867347637"
"smooth","forward_accel","4244","4244","149","4095","0.9648916116870877","811.2596344954766","27.229777588580532","33.9067874835"
"smooth","left_encoder","4244","4244","4244","0","0","141.67504209406917","9.616393795067829","9.94527149473"
"smooth","right_accel","4244","4244","110","4134","0.974081055607917","704.294921527311","25.213020181738074","32.4699624746"
"smooth","right_encoder","4244","4244","4244","0","0","141.58829738442563","9.442178558232309","9.74230044418"
"smooth","yaw_rate","4244","4244","4244","0","0","3074.2000586552904","46.70301822166523","2.12431710498"
"straight","forward_accel","1095","1095","647","448","0.4091324200913242","325.50262912615085","12.173912754806642","17.1248314318"
"straight","left_encoder","1095","1095","1095","0","0","535.7699243196462","11.144124232385842","11.43659049"
"straight","right_accel","1095","1095","448","647","0.5908675799086758","234.45709147287016","10.94899006981276","16.4475644348"
"straight","right_encoder","1095","1095","1095","0","0","536.6744718275833","11.168563363624973","11.4508264129"
"straight","yaw_rate","1095","1095","1095","0","0","996.8900103978625","17.787994570295908","0.849084213499"
"yaw_launch","forward_accel","111500","111500","92659","18841","0.16897757847533632","180.66529136491124","7.340795521442973","10.269714039838398"
"yaw_launch","left_encoder","111500","111500","111500","0","0","275.94915550110534","6.9668138873883025","7.127232766601041"
"yaw_launch","right_accel","111500","111500","85614","25886","0.23216143497757846","115.84106478396919","6.35503539081705","8.497100596606055"
"yaw_launch","right_encoder","111500","111500","111500","0","0","306.61381926819627","7.3113130561916915","7.474230285850004"
"yaw_launch","yaw_rate","111500","111500","111500","0","0","267.5016562502126","7.224041491920737","0.3593591559411811"
