"candidate_id","split","stage","log_parameter","parameter_field","parameter_value_kind","parameter_value","launch_command_signature","count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","right_encoder_wheel_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=1,-1;mag=0.336708;linear=0;yaw=9","4404","4404","0","0","6864.61280713","76.9713559139","78.6628586008"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","left_encoder_wheel_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=1,-1;mag=0.336708;linear=0;yaw=9","4404","4404","0","0","6442.60057841","74.4186421399","76.0862189697"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","right_encoder_wheel_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=-1,1;mag=0.657667;linear=0;yaw=0","2429","2429","0","0","5731.70019748","66.5594810017","67.8760501001"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","left_encoder_wheel_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=-1,1;mag=0.657667;linear=0;yaw=0","2429","2429","0","0","5140.40251088","62.4584152659","63.7618299818"
"candidate_1_algebraic_envelope","all","smooth","yaw_rate_nis","speed_mps","logged_speed_mps","0.4","pair=1,-1;mag=1;linear=0.40000000596;yaw=0","4244","4244","0","0","3074.20005866","46.7030182217","2.12431710498"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","yaw_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=1,-1;mag=0.336708;linear=0;yaw=9","4404","4404","0","0","2664.9608903","46.0155145747","1.8062030946"
"candidate_1_algebraic_envelope","all","SEC_50_SMOOTH","right_encoder_wheel_rate_nis","smooth_speed_mps","legacy_smooth_speed_bin_mps","0.4","pair=0,0;mag=0.2000185;linear=0.40000000596;yaw=-12.9624204636","220","220","0","0","2634.35397074","45.8018068852","46.8178896436"
"candidate_1_algebraic_envelope","all","SEC_50_SMOOTH","left_encoder_wheel_rate_nis","smooth_speed_mps","legacy_smooth_speed_bin_mps","0.4","pair=0,0;mag=0.2000185;linear=0.40000000596;yaw=-12.9624204636","220","220","0","0","2337.49130092","43.2812285666","44.321495958"
"candidate_1_algebraic_envelope","all","SEC_40_YAW","yaw_rate_nis","yaw_rate_radps","legacy_yaw_rate_bin_radps","9","pair=-1,1;mag=0.657667;linear=0;yaw=0","2429","2429","0","0","1747.36250985","35.3552664376","1.39138280915"
"candidate_1_algebraic_envelope","all","SEC_50_SMOOTH","yaw_rate_nis","smooth_speed_mps","legacy_smooth_speed_bin_mps","0.4","pair=0,0;mag=0.2000185;linear=0.40000000596;yaw=-12.9624204636","220","220","0","0","1532.43514113","36.245695061","1.46867347637"
"candidate_1_algebraic_envelope","all","straight","yaw_rate_nis","speed_mps","logged_speed_mps","0.55","pair=1,-1;mag=0.6089715;linear=0.550000011921;yaw=0","1095","1095","0","0","996.890010399","17.7879945703","0.849084213499"
"candidate_1_algebraic_envelope","all","yaw_launch","right_encoder_wheel_rate_nis","drive_command_bin","logged_drive_command_bin","-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","6000","6000","0","0","901.620434821","20.0806128521","20.5169386296"
"candidate_1_algebraic_envelope","all","yaw_launch","right_encoder_wheel_rate_nis","drive_command_bin","logged_drive_command_bin","0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","6000","6000","0","0","877.933190515","20.2488153484","20.6889215797"
"candidate_1_algebraic_envelope","all","yaw_launch","left_encoder_wheel_rate_nis","drive_command_bin","logged_drive_command_bin","0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","6000","6000","0","0","870.171916999","19.8644666253","20.3106086813"
"candidate_1_algebraic_envelope","all","smooth","forward_accel_nis","speed_mps","logged_speed_mps","0.4","pair=1,-1;mag=1;linear=0.40000000596;yaw=0","4244","149","4095","0.964891611687","811.259634496","27.2297775886","33.9067874835"
"candidate_1_algebraic_envelope","all","yaw_launch","left_encoder_wheel_rate_nis","drive_command_bin","logged_drive_command_bin","-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","6000","6000","0","0","729.360254359","18.3293028305","18.7381129839"
"candidate_1_algebraic_envelope","all","yaw_launch","yaw_rate_nis","drive_command_bin","logged_drive_command_bin","-0.75","pair=-0.76,0.76;linear=0;yaw=0.76","6000","6000","0","0","714.645812996","14.6252677356","0.657492003564"
