source_log,split,segments,total_rows,stage_family_count_json
mmlog_decode_2026-04-10_18-33-52,train,71,17486,"{""SEC_20_LAUNCH/launch"": 71}"
mmlog_decode_2026-04-10_18-33-52,validation,19,4681,"{""SEC_20_LAUNCH/launch"": 19}"
mmlog_decode_2026-04-15_02-09-58,train,48,11952,"{""SEC_20_LAUNCH/launch"": 48}"
mmlog_decode_2026-04-15_02-09-58,validation,12,2988,"{""SEC_20_LAUNCH/launch"": 12}"
mmlog_decode_2026-04-20_04-54-09,train,43,10793,"{""SEC_20_LAUNCH/launch"": 43}"
mmlog_decode_2026-04-20_04-54-09,validation,17,4267,"{""SEC_20_LAUNCH/launch"": 17}"
mmlog_decode_2026-05-04_16-57-53,held_out,128,32000,"{""launch/launch"": 18, ""yaw_launch/launch"": 110}"
mmlog_decode_2026-06-08_23-37-25,train,79,48800,"{""launch/launch"": 16, ""mixed_launch/launch"": 28, ""yaw_launch/launch"": 35}"
mmlog_decode_2026-06-08_23-37-25,validation,21,11700,"{""launch/launch"": 2, ""mixed_launch/launch"": 12, ""yaw_launch/launch"": 7}"
mmlog_decode_2026-06-09_23-36-21,train,73,41600,"{""launch/launch"": 15, ""mixed_launch/launch"": 31, ""yaw_launch/launch"": 27}"
mmlog_decode_2026-06-09_23-36-21,validation,27,18900,"{""launch/launch"": 3, ""mixed_launch/launch"": 9, ""yaw_launch/launch"": 15}"
mmlog_decode_2026-06-10_07-06-22,train,78,100020,"{""launch/launch"": 11, ""mixed_launch/launch"": 31, ""yaw_launch/launch"": 36}"
mmlog_decode_2026-06-10_07-06-22,validation,22,25068,"{""launch/launch"": 7, ""mixed_launch/launch"": 9, ""yaw_launch/launch"": 6}"
