phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,launch,forward_accel_residual_tail,4500,359,4500,0,156.433284085,15.326572537,1.73205080757,156.433284085,0,false,4141,0.920222222222
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,launch,right_accel_residual_tail,4500,4498,4500,0,1.26648533771,1.13311536584,1.73205080757,1.73205080757,0.465565469855,true,2,0.000444444444444
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,72.6620528948,72.6620528948,1.73205080757,72.6620528948,0,false,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,yaw_launch,forward_accel_residual_tail,27500,16320,27500,0,924.526656123,7.58695793107,1.73205080757,924.526656123,0,false,11180,0.406545454545
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,yaw_launch,right_accel_residual_tail,27500,16091,27500,0,883.924856189,7.64424626944,1.73205080757,883.924856189,0,false,11409,0.414872727273
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,488841.067338,488841.067338,1.73205080757,488841.067338,0,false,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,5137,11936,0,119.558860615,8.99993581016,1.73205080757,119.558860615,0,false,6799,0.569621313673
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11936,11936,0,0.637847711393,0.637847711393,1.73205080757,1.73205080757,1.09420309618,true,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,37.8806292907,37.8806292907,1.73205080757,37.8806292907,0,false,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,launch,forward_accel_residual_tail,6110,1923,6110,0,145.727545153,6.90047119805,1.73205080757,145.727545153,0,false,4187,0.6852700491
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,launch,right_accel_residual_tail,6110,5959,6110,0,24.6582642807,2.7725305967,1.73205080757,24.6582642807,0,false,151,0.0247135842881
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,593.744780751,593.744780751,1.73205080757,593.744780751,0,false,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,mixed_launch,forward_accel_residual_tail,18572,3615,18572,0,155.092098896,5.15152903197,1.73205080757,155.092098896,0,false,14957,0.805352143011
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,mixed_launch,right_accel_residual_tail,18572,18459,18572,0,4.00428715953,2.29436073963,1.73205080757,4.00428715953,0,false,113,0.00608442817144
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,572.678752471,572.678752471,1.73205080757,572.678752471,0,false,0,0
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,yaw_launch,forward_accel_residual_tail,30986,2237,30986,0,3947395.31554,11.5118034809,1.73205080757,3947395.31554,0,false,28749,0.927806105983
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,yaw_launch,right_accel_residual_tail,30986,2137,30986,0,3928813.63437,11.4788882454,1.73205080757,3928813.63437,0,false,28849,0.931033369909
stress_full_rows,baseline/current_holdover,baseline/current_holdover:fixed,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,37929821.7237,37929821.7237,1.73205080757,37929821.7237,0,false,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,launch,forward_accel_residual_tail,4500,4354,4500,0,10.9488188399,5.891813415,1.73205080757,10.9488188399,0,false,146,0.0324444444444
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,launch,right_accel_residual_tail,4500,4477,4500,0,4.47790896138,3.89454503257,1.73205080757,4.47790896138,0,false,23,0.00511111111111
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,20.138973258,20.138973258,1.73205080757,20.138973258,0,false,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,yaw_launch,forward_accel_residual_tail,27500,27252,27500,0,5.95319206865,2.69281260542,1.73205080757,5.95319206865,0,false,248,0.00901818181818
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,yaw_launch,right_accel_residual_tail,27500,27274,27500,0,5.42780185008,2.21701498223,1.73205080757,5.42780185008,0,false,226,0.00821818181818
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,158.691730702,158.691730702,1.73205080757,158.691730702,0,false,0,0
stress_full_rows,candidate_2_stribeck,candidate_2_stribeck:trial_188,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11659,11936,0,9.02054265302,4.77990801177,1.73205080757,9.02054265302,0,false,277,0.0232071045576
