candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,all,7270,102320.739904,26915077.8461,60.845801278,3.75158361617,7257,13,8
baseline/current_holdover,held_out,425,86974.7999981,26555959.5919,249.969219714,14.3054740652,425,0,1
baseline/current_holdover,train,6845,15345.9399058,359118.254163,7.24322563695,1.49730412262,6832,13,7
candidate_1_algebraic_envelope,all,7270,98709.9696377,25263720.2043,58.9496791963,3.68479476598,7256,14,8
candidate_1_algebraic_envelope,held_out,425,83278.6346361,24900945.2777,242.054662167,13.9982044761,425,0,1
candidate_1_algebraic_envelope,train,6845,15431.3350016,362774.926607,7.28000881576,1.50146434496,6831,14,7
candidate_2_stribeck,all,7270,62639.0677787,12504417.7862,41.472912202,2.93531989026,7255,15,8
candidate_2_stribeck,held_out,425,45845.2113956,12076894.4921,168.571119514,10.3861005982,425,0,1
candidate_2_stribeck,train,6845,16793.8563832,427523.294102,7.90302153109,1.56634884513,6830,15,7
candidate_3_load_sensitive,all,7270,48597.7649285,9527861.95388,36.2018298341,2.58547857078,7251,19,8
candidate_3_load_sensitive,held_out,425,31157.6306359,9048043.93431,145.909270232,8.5622469063,425,0,1
candidate_3_load_sensitive,train,6845,17440.1342926,479818.019573,8.37243049185,1.59620323315,6826,19,7
