"segment_id","log_id","log_path","schema_kind","stage","family","phase_id","phase_name","primitive_name","direction_name","repeat_index","fan_duty_cycle","segment_start_row_index","segment_end_row_index","active_start_row_index","active_end_row_index","segment_start_time_us","segment_end_time_us","active_start_time_us","active_end_time_us","end_reason","corruption_note","command_pair_mode","active_command_rows","test_value_kind","test_value"
"ofnis_001617","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","static","static_hold","1","static","MC_NONE","","1","0.8","0","30522","","","24075412","54597412","","","reliable_stationary","","","0","none",""
"ofnis_001618","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","1","0.8","30522","31188","30523","30772","54597412","55263412","54598412","54847412","reliable_stationary","","0.25,0.25","250","logged_drive_command_bin","0.25"
"ofnis_001619","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","1","0.8","31188","31818","31189","31438","55263412","55893412","55264412","55513412","reliable_stationary","","-0.25,-0.25","250","logged_drive_command_bin","-0.25"
"ofnis_001620","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","2","0.8","31818","32496","31819","32068","55893412","56571412","55894412","56143412","reliable_stationary","","0.25,0.25","250","logged_drive_command_bin","0.25"
"ofnis_001621","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","2","0.8","32496","33136","32497","32746","56571412","57211412","56572412","56821412","reliable_stationary","","-0.25,-0.25","250","logged_drive_command_bin","-0.25"
"ofnis_001622","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","3","0.8","33136","33812","33137","33386","57211412","57887412","57212412","57461412","reliable_stationary","","0.25,0.25","250","logged_drive_command_bin","0.25"
"ofnis_001623","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","3","0.8","33812","34477","33813","34062","57887412","58552412","57888412","58137412","reliable_stationary","","-0.25,-0.25","250","logged_drive_command_bin","-0.25"
"ofnis_001624","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","1","0.8","34477","35272","34478","34727","58552412","59347412","58553412","58802412","reliable_stationary","","0.3,0.3","250","logged_drive_command_bin","0.3"
"ofnis_001625","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","1","0.8","35272","35988","35273","35522","59347412","60063412","59348412","59597412","reliable_stationary","","-0.3,-0.3","250","logged_drive_command_bin","-0.3"
"ofnis_001626","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","2","0.8","35988","36798","35989","36238","60063412","60873412","60064412","60313412","reliable_stationary","","0.3,0.3","250","logged_drive_command_bin","0.3"
"ofnis_001627","mmlog_decode_2026-06-08_23-37-25","TestResults/mmlog_decode_2026-06-08_23-37-25/open_floor_main.csv","compact_phase_battery","launch","launch","2","launch","MC_NONE","","2","0.8","36798","37535","36799","37048","60873412","61610412","60874412","61123412","reliable_stationary","","-0.3,-0.3","250","logged_drive_command_bin","-0.3"
