"stage","log_parameter","finite_count","rms_nis","accepted_count","rejected_count","rejected_rate","segment_bucket_count"
"SEC_20_LAUNCH","forward_accel_nis","52167","94.770337864940345","26605","25562","0.49000325876511969","210"
"SEC_20_LAUNCH","right_accel_nis","52167","14.754304870938366","52032","135","0.0025878428891828167","210"
"SEC_20_LAUNCH","yaw_rate_nis","52167","1.2374937803105757","52167","0","0","210"
"SEC_30_STRAIGHT","forward_accel_nis","32803","185.70206474220154","523","32280","0.98405633631070333","18"
"SEC_30_STRAIGHT","right_accel_nis","32803","12.888383284005277","32261","542","0.016522879004969057","18"
"SEC_30_STRAIGHT","yaw_rate_nis","32803","23.374158250457455","32803","0","0","18"
"SEC_40_YAW","forward_accel_nis","11254","4.9445475259392087","11199","55","0.0048871512351164031","1"
"SEC_40_YAW","right_accel_nis","11254","10.034605143794183","11213","41","0.0036431491025413188","1"
"SEC_40_YAW","yaw_rate_nis","11254","16.686811311193729","11254","0","0","1"
"launch","forward_accel_nis","26200","126.45744401748405","7575","18625","0.71087786259541985","90"
"launch","right_accel_nis","26200","10.112149428991176","26138","62","0.0023664122137404581","90"
"launch","yaw_rate_nis","26200","31.314665979219662","26200","0","0","90"
"mixed_launch","forward_accel_nis","77263","140.68804215379643","17555","59708","0.77278904520922043","160"
"mixed_launch","right_accel_nis","77263","6.962811441473554","77128","135","0.0017472787750928646","160"
"mixed_launch","yaw_rate_nis","77263","14.448313102126942","77263","0","0","160"
"straight","forward_accel_nis","1095","134.61559409148236","411","684","0.62465753424657533","1"
"straight","right_accel_nis","1095","29.660360423794693","822","273","0.24931506849315069","1"
"straight","yaw_rate_nis","1095","79.296746753217036","1095","0","0","1"
"yaw_launch","forward_accel_nis","174625","105.41406506130365","136486","38139","0.2184051539012169","278"
"yaw_launch","right_accel_nis","174625","57.502350051907925","153647","20978","0.12013171080887616","278"
"yaw_launch","yaw_rate_nis","174625","150.49056094665161","174625","0","0","278"
