phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,in_shear,in_shear:trial_037,held_out,launch,forward_accel_residual_tail,4500,4322,4500,0,12.0128923252,6.25055140841,1.73205080757,12.0128923252,0,false,178,0.0395555555556
stress_full_rows,in_shear,in_shear:trial_037,held_out,launch,right_accel_residual_tail,4500,4481,4500,0,4.79069718785,4.34033198022,1.73205080757,4.79069718785,0,false,19,0.00422222222222
stress_full_rows,in_shear,in_shear:trial_037,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,20.4227434978,20.4227434978,1.73205080757,20.4227434978,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_037,held_out,yaw_launch,forward_accel_residual_tail,27500,27206,27500,0,6.50584304878,2.81551281165,1.73205080757,6.50584304878,0,false,294,0.0106909090909
stress_full_rows,in_shear,in_shear:trial_037,held_out,yaw_launch,right_accel_residual_tail,27500,27282,27500,0,4.89393669202,2.29481733399,1.73205080757,4.89393669202,0,false,218,0.00792727272727
stress_full_rows,in_shear,in_shear:trial_037,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,141.7729018,141.7729018,1.73205080757,141.7729018,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_037,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11577,11936,0,9.49222859144,4.85790846699,1.73205080757,9.49222859144,0,false,359,0.030077077748
stress_full_rows,in_shear,in_shear:trial_037,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11915,11936,0,3.40888229366,3.09525493394,1.73205080757,3.40888229366,0,false,21,0.00175938337802
stress_full_rows,in_shear,in_shear:trial_037,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,13.4630281976,13.4630281976,1.73205080757,13.4630281976,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_037,validation,launch,forward_accel_residual_tail,6110,5809,6110,0,14.7445238215,5.15484660312,1.73205080757,14.7445238215,0,false,301,0.049263502455
stress_full_rows,in_shear,in_shear:trial_037,validation,launch,right_accel_residual_tail,6110,6077,6110,0,4.790020861,3.92388883835,1.73205080757,4.790020861,0,false,33,0.00540098199673
stress_full_rows,in_shear,in_shear:trial_037,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,153.151453799,153.151453799,1.73205080757,153.151453799,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_037,validation,mixed_launch,forward_accel_residual_tail,18572,16923,18572,0,20.3335905922,6.52436489005,1.73205080757,20.3335905922,0,false,1649,0.0887895757054
stress_full_rows,in_shear,in_shear:trial_037,validation,mixed_launch,right_accel_residual_tail,18572,18206,18572,0,7.44835417249,5.07005704522,1.73205080757,7.44835417249,0,false,366,0.0197070859358
stress_full_rows,in_shear,in_shear:trial_037,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,54.0136795077,54.0136795077,1.73205080757,54.0136795077,0,false,0,0
stress_full_rows,in_shear,in_shear:trial_037,validation,yaw_launch,forward_accel_residual_tail,30986,24324,30986,0,191.0395675,5.69166329484,1.73205080757,191.0395675,0,false,6662,0.215000322726
stress_full_rows,in_shear,in_shear:trial_037,validation,yaw_launch,right_accel_residual_tail,30986,26128,30986,0,58.5106779538,5.18429009979,1.73205080757,58.5106779538,0,false,4858,0.156780481508
stress_full_rows,in_shear,in_shear:trial_037,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,7854.21524846,7854.21524846,1.73205080757,7854.21524846,0,false,0,0
