phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,finite_count,nonfinite_count,rms_nis,accepted_only_rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,launch,forward_accel_residual_tail,4500,4318,4500,0,12.2028531227,6.23984315626,1.73205080757,12.2028531227,0,false,182,0.0404444444444
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,launch,right_accel_residual_tail,4500,4479,4500,0,4.92174054339,4.4014704136,1.73205080757,4.92174054339,0,false,21,0.00466666666667
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,launch,yaw_rate_residual_tail,4500,4500,4500,0,20.5413781011,20.5413781011,1.73205080757,20.5413781011,0,false,0,0
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,yaw_launch,forward_accel_residual_tail,27500,27199,27500,0,6.51914365314,2.78411738163,1.73205080757,6.51914365314,0,false,301,0.0109454545455
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,yaw_launch,right_accel_residual_tail,27500,27275,27500,0,5.08212790985,2.2940765322,1.73205080757,5.08212790985,0,false,225,0.00818181818182
stress_full_rows,shear_rate,shear_rate:trial_106,held_out,yaw_launch,yaw_rate_residual_tail,27500,27500,27500,0,143.413350468,143.413350468,1.73205080757,143.413350468,0,false,0,0
stress_full_rows,shear_rate,shear_rate:trial_106,validation,SEC_20_LAUNCH,forward_accel_residual_tail,11936,11573,11936,0,9.78275878614,4.89210949017,1.73205080757,9.78275878614,0,false,363,0.0304121983914
stress_full_rows,shear_rate,shear_rate:trial_106,validation,SEC_20_LAUNCH,right_accel_residual_tail,11936,11915,11936,0,3.47986882733,3.14191071131,1.73205080757,3.47986882733,0,false,21,0.00175938337802
stress_full_rows,shear_rate,shear_rate:trial_106,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,11936,11936,11936,0,13.602746343,13.602746343,1.73205080757,13.602746343,0,false,0,0
stress_full_rows,shear_rate,shear_rate:trial_106,validation,launch,forward_accel_residual_tail,6110,5815,6110,0,15.0088652691,5.28161573318,1.73205080757,15.0088652691,0,false,295,0.0482815057283
stress_full_rows,shear_rate,shear_rate:trial_106,validation,launch,right_accel_residual_tail,6110,6068,6110,0,4.92276124255,3.92961340989,1.73205080757,4.92276124255,0,false,42,0.00687397708674
stress_full_rows,shear_rate,shear_rate:trial_106,validation,launch,yaw_rate_residual_tail,6110,6110,6110,0,152.487807236,152.487807236,1.73205080757,152.487807236,0,false,0,0
stress_full_rows,shear_rate,shear_rate:trial_106,validation,mixed_launch,forward_accel_residual_tail,18572,16910,18572,0,20.521950938,6.57955309561,1.73205080757,20.521950938,0,false,1662,0.0894895541676
stress_full_rows,shear_rate,shear_rate:trial_106,validation,mixed_launch,right_accel_residual_tail,18572,18200,18572,0,7.55890289963,5.14728557895,1.73205080757,7.55890289963,0,false,372,0.0200301529184
stress_full_rows,shear_rate,shear_rate:trial_106,validation,mixed_launch,yaw_rate_residual_tail,18572,18572,18572,0,55.3537747546,55.3537747546,1.73205080757,55.3537747546,0,false,0,0
stress_full_rows,shear_rate,shear_rate:trial_106,validation,yaw_launch,forward_accel_residual_tail,30986,24140,30986,0,195.936647258,5.73489001316,1.73205080757,195.936647258,0,false,6846,0.22093848835
stress_full_rows,shear_rate,shear_rate:trial_106,validation,yaw_launch,right_accel_residual_tail,30986,26065,30986,0,60.6851102353,5.1529481267,1.73205080757,60.6851102353,0,false,4921,0.158813657781
stress_full_rows,shear_rate,shear_rate:trial_106,validation,yaw_launch,yaw_rate_residual_tail,30986,30986,30986,0,7960.21645525,7960.21645525,1.73205080757,7960.21645525,0,false,0,0
